@relation 'MLC'

@attribute F1_MEAN_on_ACC_V2 numeric
@attribute F2_MEAN_on_filter_BP_on_A_V2 numeric
@attribute F3_VAR_on_ACC_V2 numeric
@attribute F4_VAR_on_filter_BP_on_A_V2 numeric
@attribute F5_ENERGY_on_ACC_V2 numeric
@attribute F6_ENERGY_on_filter_BP_on_A_V2 numeric
@attribute F7_PeakToPeak_on_ACC_V2 numeric
@attribute F8_PeakToPeak_on_filter_BP_on_A_V2 numeric
@attribute F9_ZeroCross_on_ACC_V2 numeric
@attribute F10_ZeroCross_on_filter_BP_on_A_V2 numeric
@attribute F11_PeaKDet_on_ACC_V2 numeric
@attribute F12_PeaKDet_on_filter_BP_on_A_V2 numeric
@attribute F13_MIN_on_ACC_V2 numeric
@attribute F14_MIN_on_filter_BP_on_A_V2 numeric
@attribute F15_MAX_on_ACC_V2 numeric
@attribute F16_MAX_on_filter_BP_on_A_V2 numeric
@attribute class {stationary, walking, running, cycling}

@data
0.999512, -9.94205e-05, 0.000976563, 1.16229e-05, 59.9688, 0.000696182, 0.0522461, 0.0154724, 66, 18, 37, 24, 0.970215, -0.00883484, 1.02246, 0.00663757, stationary
1.00098, 0.00011307, 0, 7.80821e-06, 60.0625, 0.000469446, 0.0551758, 0.0140228, 58, 22, 39, 18, 0.972168, -0.00808716, 1.02734, 0.00593567, stationary
0.999023, -0.00022006, 0, 1.23978e-05, 59.8438, 0.00074625, 0.043457, 0.0127945, 46, 12, 44, 17, 0.978027, -0.0070343, 1.02148, 0.00576019, stationary
1.00098, 5.94258e-05, 0, 5.24521e-06, 59.9688, 0.000313282, 0.0419922, 0.010376, 50, 22, 38, 25, 0.982422, -0.00408936, 1.02441, 0.00628662, stationary
0.99707, -0.000157595, 0.000488281, 6.31809e-06, 59.625, 0.000379324, 0.0483398, 0.0105972, 56, 24, 40, 18, 0.974121, -0.00628662, 1.02246, 0.00430679, stationary
0.999512, -0.000165582, 0, 6.07967e-06, 59.75, 0.000364065, 0.046875, 0.0119171, 66, 20, 41, 23, 0.969727, -0.00694656, 1.0166, 0.00496674, stationary
1, 0.000378609, 0, 7.80821e-06, 59.8125, 0.000475883, 0.0527344, 0.0114288, 54, 16, 48, 17, 0.972656, -0.00549316, 1.02539, 0.00593567, stationary
0.999023, -0.000493526, 0.000488281, 1.0848e-05, 59.875, 0.000664711, 0.046875, 0.0131454, 66, 16, 43, 20, 0.973633, -0.00742722, 1.02051, 0.00571442, stationary
0.998535, -0.00014925, 0, 4.94719e-06, 59.75, 0.000297785, 0.0639648, 0.00918579, 60, 20, 40, 21, 0.955566, -0.00496674, 1.01953, 0.00421906, stationary
0.997559, -0.000181198, 0, 8.82149e-06, 59.625, 0.000531673, 0.0571289, 0.0112991, 60, 22, 40, 18, 0.974121, -0.00597763, 1.03125, 0.00531769, stationary
1.00488, 0.00327492, 0.00195313, 0.000356197, 60.6875, 0.0220032, 0.385742, 0.0928345, 44, 24, 34, 25, 0.807617, -0.0362244, 1.19336, 0.0565796, stationary
1.05762, -0.00574112, 0.0693359, 0.00828552, 71.1875, 0.498535, 1.47852, 0.376465, 46, 20, 29, 17, 0.515625, -0.146851, 1.99414, 0.229614, stationary
1.03516, 0.0012207, 0.0732422, 0.0192566, 68.625, 1.1543, 1.36035, 0.729492, 42, 18, 30, 15, 0.62793, -0.410156, 1.98828, 0.319092, stationary
1.02051, 0.000908852, 0.00195313, 0.000522614, 62.5625, 0.0314026, 0.337402, 0.144043, 48, 16, 37, 11, 0.86377, -0.053009, 1.20117, 0.0910034, stationary
1.01758, -0.00036788, 0, 1.43647e-05, 61.9375, 0.000868797, 0.0366211, 0.0130157, 50, 16, 41, 13, 0.994629, -0.00712204, 1.03125, 0.00588989, stationary
1.01563, 5.22733e-05, 0, 6.49691e-06, 61.5938, 0.000390768, 0.0419922, 0.0137634, 58, 24, 35, 22, 0.991211, -0.00760651, 1.0332, 0.00615311, stationary
1.0166, -0.000403166, 0, 7.03335e-06, 61.8438, 0.000430822, 0.0493164, 0.0105057, 50, 22, 39, 22, 0.98877, -0.00527573, 1.03809, 0.00522995, stationary
1.01855, 9.53078e-05, 0, 6.07967e-06, 62.0938, 0.000363111, 0.0449219, 0.0106354, 60, 26, 37, 20, 0.994141, -0.00430679, 1.03906, 0.00632858, stationary
1.01563, -0.000144243, 0.000976563, 1.07884e-05, 61.9063, 0.000648022, 0.0429688, 0.0122223, 54, 20, 38, 16, 0.989258, -0.00720978, 1.03223, 0.00501251, stationary
1.01953, 0.000189185, 0, 1.16229e-05, 62.25, 0.000700474, 0.0581055, 0.0134506, 58, 22, 39, 18, 0.984863, -0.00624084, 1.04297, 0.00720978, stationary
1.02051, -8.34465e-06, 0, 1.28746e-05, 62.3125, 0.000771999, 0.0537109, 0.0130157, 60, 22, 36, 16, 0.996094, -0.00615311, 1.0498, 0.00685883, stationary
1.02051, -2.81334e-05, 0, 7.689e-06, 62.0938, 0.000462532, 0.0405273, 0.0118256, 56, 14, 44, 15, 0.992676, -0.00668335, 1.0332, 0.00514221, stationary
1.01953, -0.000420332, 0, 4.70877e-06, 62.0938, 0.000291586, 0.0488281, 0.0112991, 64, 28, 43, 21, 0.991211, -0.00571442, 1.04004, 0.0055809, stationary
1.01855, 0.000118017, 0.00292969, 1.43051e-05, 62.3438, 0.000858307, 0.0473633, 0.0172882, 56, 26, 37, 17, 0.992676, -0.00694656, 1.04004, 0.0103302, stationary
1.0166, 0.000136495, 0.000976563, 9.41753e-06, 62, 0.000564575, 0.0634766, 0.0164032, 54, 22, 43, 16, 0.981445, -0.00773621, 1.04492, 0.00865936, stationary
1.01758, -0.000544071, 0, 2.23517e-05, 61.7813, 0.00135803, 0.0566406, 0.0163116, 54, 16, 45, 17, 0.992188, -0.00817871, 1.04883, 0.00813293, stationary
1.01563, 0.000156283, 0, 4.41074e-06, 61.6563, 0.000265598, 0.0419922, 0.0104218, 60, 16, 45, 21, 0.992188, -0.00404358, 1.03418, 0.00637436, stationary
1.0166, 4.35114e-06, 0, 6.67572e-06, 61.9063, 0.000401974, 0.0400391, 0.010994, 64, 20, 45, 22, 0.992188, -0.00619888, 1.03223, 0.00479126, stationary
1.01855, 2.08616e-06, 0, 9.95398e-06, 62.0313, 0.000597477, 0.0478516, 0.0144196, 58, 12, 42, 22, 0.990234, -0.00817871, 1.03809, 0.00624084, stationary
1.0166, 0.000169516, 0, 6.13928e-06, 61.8125, 0.00036788, 0.046875, 0.0110397, 60, 26, 40, 20, 0.994141, -0.0047493, 1.04102, 0.00628662, stationary
1.01758, -0.000239611, 0, 8.88109e-06, 62.0625, 0.000535965, 0.0415039, 0.012352, 46, 26, 39, 18, 0.994629, -0.00650406, 1.03613, 0.00584793, stationary
1.01855, -0.000331402, 0, 8.67844e-05, 62.0313, 0.00521088, 0.192871, 0.0470886, 54, 24, 38, 16, 0.900879, -0.0269928, 1.09375, 0.0200958, stationary
1.10449, 0.0101395, 0.15332, 0.0166626, 82.3125, 1.00586, 2.34766, 0.75293, 36, 16, 30, 14, 0.330078, -0.337646, 2.67773, 0.415039, stationary
1.06543, -0.00880432, 0.0410156, 0.016571, 70.5, 0.998047, 1.34668, 0.805664, 36, 20, 37, 14, 0.442139, -0.470459, 1.78906, 0.335205, stationary
1.00098, 0.00466537, 0.0283203, 0.00412369, 61.75, 0.248535, 0.965332, 0.333008, 18, 20, 28, 14, 0.580566, -0.14209, 1.5459, 0.190918, stationary
1.04004, -0.00967407, 0.0449219, 0.00895691, 67.5625, 0.54248, 1.17969, 0.396973, 24, 18, 29, 17, 0.55127, -0.174438, 1.73047, 0.222412, stationary
0.987793, 0.00233841, 0, 0.000395298, 58.3438, 0.0240326, 0.0654297, 0.108643, 0, 10, 32, 12, 0.955078, -0.0426941, 1.02051, 0.065918, stationary
0.989746, -7.82013e-05, 0, 1.23382e-05, 58.5625, 0.000741482, 0.0649414, 0.0142441, 72, 20, 44, 15, 0.955566, -0.00756073, 1.02051, 0.00668335, stationary
1.00098, -0.000156283, 0.00195313, 0.0003407, 60.1875, 0.0204315, 0.227539, 0.0838623, 46, 12, 35, 15, 0.923828, -0.0475769, 1.15137, 0.0362549, stationary
1.00293, -0.000281811, 0, 0.00127125, 60.3125, 0.0762329, 0.484375, 0.214478, 32, 16, 35, 14, 0.908203, -0.101379, 1.39258, 0.113037, stationary
0.98584, -0.000183105, 0.00146484, 2.71797e-05, 58.3438, 0.0016346, 0.0556641, 0.0221252, 8, 18, 38, 14, 0.958008, -0.0113449, 1.01367, 0.0107727, stationary
0.98584, 0.00023067, 0.000976563, 3.93391e-06, 58.3125, 0.000238299, 0.0444336, 0.0109024, 70, 26, 39, 25, 0.966309, -0.00408936, 1.01074, 0.00681305, stationary
0.987305, -3.9041e-05, 0, 8.88109e-06, 58.3125, 0.000533581, 0.046875, 0.0144653, 70, 28, 43, 18, 0.962891, -0.00813293, 1.00977, 0.00632858, stationary
0.987305, 0.000183344, 0.00146484, 3.99351e-06, 58.5313, 0.000243902, 0.0458984, 0.00910187, 66, 34, 42, 29, 0.967773, -0.0037365, 1.01367, 0.00536346, stationary
0.987793, -0.0003407, 0, 1.00732e-05, 58.25, 0.000612259, 0.0507813, 0.012001, 38, 18, 35, 16, 0.960938, -0.00553894, 1.01172, 0.0064621, stationary
0.988281, -0.000147104, 0, 8.28505e-06, 58.3125, 0.000497818, 0.043457, 0.0136719, 56, 22, 39, 21, 0.964355, -0.00733948, 1.00781, 0.00632858, stationary
0.985352, -5.46575e-05, 0.00341797, 6.49691e-06, 58.4063, 0.000388145, 0.0517578, 0.0141144, 60, 30, 37, 27, 0.958984, -0.00615311, 1.01074, 0.00795746, stationary
0.987305, -0.000140786, 0, 9.59635e-06, 58.3125, 0.000573635, 0.0581055, 0.0143738, 58, 20, 39, 18, 0.960449, -0.00663757, 1.01855, 0.00773621, stationary
0.990723, -0.000104904, 0, 7.09295e-06, 58.5938, 0.000424385, 0.0532227, 0.012352, 64, 24, 39, 20, 0.959473, -0.00698853, 1.0127, 0.00536346, stationary
0.984863, -0.000159979, 0.00390625, 8.64267e-06, 58.375, 0.000518799, 0.0551758, 0.0136337, 52, 22, 43, 19, 0.95752, -0.00677109, 1.0127, 0.00685883, stationary
0.987793, -0.000100315, 0, 6.73532e-06, 58.4063, 0.000403404, 0.0498047, 0.0141068, 70, 28, 41, 23, 0.960938, -0.00931549, 1.01074, 0.00479126, stationary
0.989746, -0.000116646, 0, 1.46031e-05, 58.4688, 0.000876427, 0.0581055, 0.0129242, 48, 20, 39, 17, 0.958496, -0.00681305, 1.0166, 0.00611115, stationary
0.987305, -3.51071e-05, 0, 6.67572e-06, 58.25, 0.00039959, 0.050293, 0.0116959, 58, 18, 41, 20, 0.964355, -0.00624084, 1.01465, 0.0054512, stationary
0.987305, -4.46439e-05, 0, 7.7486e-06, 58.2188, 0.000465393, 0.0498047, 0.0114746, 64, 32, 43, 18, 0.958984, -0.00619888, 1.00879, 0.00527573, stationary
0.988281, 5.8949e-05, 0, 6.91414e-06, 58.4688, 0.000415087, 0.0463867, 0.0118713, 66, 18, 40, 18, 0.959473, -0.00690079, 1.00586, 0.00496674, stationary
