A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
316	888	-679	-7.42875	-283.465	86.5725
696	791	-588	-8.63625	-235.104	76.1075
473	945	-470	-1.5575	-139.878	45.0013
456	957	-418	-4.41	-69.0375	8.75875
264	884	-384	-7.1225	-12.6613	-10.3338
175	922	-356	-3.605	20.895	-14.2188
113	936	-334	-2.14375	41.0113	-13.685
173	910	-345	0.60375	54.8975	-14.6825
320	901	-380	6.39625	79.625	-22.3825
341	898	-439	11.6463	122.045	-37.9225
307	875	-489	13.2825	169.838	-55.7813
166	834	-525	14.525	206.535	-64.995
115	828	-563	18.3925	226.914	-69.7463
179	863	-610	20.895	241.29	-71.7588
152	830	-710	17.2113	266.963	-78.12
-439	812	-545	16.6075	274.908	-81.305
-901	1032	-243	22.1375	191.896	-63.4463
-599	1139	-198	12.005	53.2875	-21.7
-468	966	-246	-6.685	-51.6425	10.0538
-355	994	-316	-8.575	-129.159	32.5588
-308	897	-413	-11.97	-187.136	64.785
-325	856	-559	-11.6638	-240.608	90.5538
-153	855	-695	-15.5925	-281.496	105.665
89	854	-748	-27.5275	-286.685	109.331
406	777	-679	-35.7613	-279.991	102.261
435	822	-533	-29.7588	-225.715	89.67
576	869	-478	-24.4825	-165.06	58.0038
652	785	-376	-14.8488	-81.3663	20.7813
340	878	-355	2.9925	-2.6075	-5.075
259	926	-368	12.285	39.7688	-19.5475
170	950	-358	12.3375	67.2088	-26.6963
117	940	-372	9.80875	80.2463	-28.3938
204	901	-386	9.23125	91.5513	-31.815
247	937	-424	9.8525	113.741	-40.5388
296	918	-444	6.22125	143.579	-54.1713
290	848	-510	2.89625	181.265	-64.0063
234	821	-606	7.00875	226.24	-71.3913
67	876	-566	11.5325	256.375	-68.25
4	874	-547	10.5	261.205	-63.6738
-219	839	-447	10.22	247.004	-63.6125
-598	897	-266	17.0625	192.841	-61.7925
-710	1090	-156	22.2775	86.5638	-42.0088
-607	1074	-202	10.1763	-32.9088	-3.815
-544	1001	-317	-0.69125	-131.154	27.3525
-409	926	-472	-5.495	-215.023	60.2438
-221	827	-615	-9.59	-271.898	81.0863
-61	825	-699	-8.75875	-286.545	96.6175
277	823	-717	-13.7725	-285.609	99.3825
390	822	-569	-14.455	-249.69	92.0413
373	921	-497	-12.3375	-192.929	75.9063
514	895	-435	-15.6713	-134.68	51.905
382	855	-363	-10.745	-65.7125	30.1263
285	913	-340	-0.79625	-15.7763	8.8025
240	929	-328	2.5725	17.08	-6.37
218	902	-345	4.61125	42.3675	-16.3712
230	914	-359	9.10875	66.71	-27.2038
216	942	-376	10.08	91.8925	-34.8163
192	903	-386	8.81125	114.818	-43.8025
202	891	-403	9.75625	136.973	-52.675
199	854	-445	12.9063	161.298	-58.275
152	865	-463	18.795	186.533	-62.2388
121	831	-520	23.5638	208.898	-64.33
97	842	-581	31.3338	228.191	-65.905
-32	885	-558	34.58	238.166	-65.7475
-338	945	-474	29.7063	218.724	-61.1538
-739	1068	-299	18.7425	140.254	-43.89
-597	1108	-266	-1.575	12.1713	-15.1113
-418	993	-335	-20.8075	-90.7288	9.485
-398	950	-416	-26.2325	-162.619	36.3738
-285	897	-523	-28.2188	-224.814	66.0188
-134	833	-613	-30.1788	-266.105	85.7413
-33	866	-633	-31.5613	-283.465	97.3963
103	799	-616	-36.0675	-282.529	99.0238
633	839	-565	-30.8788	-253.251	95.6288
408	790	-385	-24.6925	-165.865	73.4125
484	892	-321	-9.05625	-106.479	40.1013
368	841	-275	1.44375	-50.5925	8.05875
271	878	-304	16.38	-11.2088	-11.3663
152	952	-331	24.6575	14.7963	-18.9088
144	981	-360	21.2975	28.2275	-19.4163
141	959	-379	14.6738	41.1075	-21.6038
254	967	-405	8.96875	58.8175	-25.4363
299	900	-427	4.4625	93.03	-33.9238
255	883	-444	6.0725	132.09	-46.0075
145	893	-450	6.44	161.508	-56.2625
164	880	-488	5.04	179.541	-62.3088
192	889	-513	5.62625	198.765	-61.075
283	949	-628	-0.2625	228.086	-64.1463
-102	812	-554	-10.85	258.431	-74.83
-377	863	-358	-6.01125	232.768	-70.8925
-646	882	-207	1.65375	164.01	-55.2475
-737	1041	-120	14.8488	58.2313	-28.6475
-667	1051	-182	11.2263	-60.8475	12.4688
-496	954	-332	3.885	-159.994	45.6838
-401	876	-515	1.89875	-237.86	73.3075
-96	842	-669	-0.7	-282.949	91.49
94	892	-681	-6.48375	-286.641	94.1413
315	907	-662	-19.7488	-270.533	90.3525
322	850	-531	-25.6113	-220.885	82.0488
350	872	-448	-23.345	-172.944	72.2138
446	907	-386	-19.9938	-121.126	52.5263
411	897	-328	-16.3188	-62.0813	28.9275
267	912	-292	-10.71	-13.755	9.1875
244	934	-265	-5.39875	16.6688	-3.9725
104	930	-243	-1.26	36.3475	-11.2088
129	937	-255	3.9375	39.725	-13.6938
209	922	-279	9.0825	48.7813	-18.6113
210	927	-308	14.1138	69.0375	-25.97
243	932	-338	16.1088	92.8025	-34.3525
288	899	-384	17.8238	124.11	-40.7925
167	905	-413	21.0788	157.159	-47.7138
163	911	-453	21.175	179.043	-57.19
163	911	-488	19.1888	199.01	-60.6988
256	917	-597	14.3413	223.93	-64.6013
94	872	-609	6.86	258.703	-69.4488
-207	815	-485	4.75125	265.423	-70.665
-646	930	-292	13.3	218.846	-60.9875
-786	1079	-144	16.3538	107.538	-31.1675
-711	1062	-152	5.74	-20.615	-1.61
-525	1017	-272	-1.91625	-132.09	33.8013
-299	878	-446	-7.77	-211.986	65.4588
-163	832	-554	-6.69375	-260.741	76.965
20	840	-646	-3.78875	-283.911	81.8913
21	896	-647	-8.42625	-285.565	89.74
366	845	-633	-17.7188	-271.661	88.1038
564	860	-531	-17.2812	-207.716	69.7988
372	905	-422	-14.1838	-131.451	45.5175
412	909	-366	-11.6638	-73.7013	22.1375
220	895	-320	-6.02875	-22.4	8.77625
176	943	-311	0.35875	4.3575	-1.2075
130	940	-303	1.49625	23.3275	-6.85125
36	945	-290	2.75625	31.745	-7.69125
76	968	-294	2.89625	29.5225	-7.83125
130	959	-313	0.91875	32.5588	-9.3975
208	923	-338	-0.00875	47.0225	-15.3825
278	923	-353	2.35375	73.3163	-25.5588
240	903	-385	4.095	108.806	-39.1038
247	924	-413	4.9525	140.298	-50.1025
282	892	-467	2.75625	177.083	-58.1963
288	883	-582	2.765	221.296	-65.8263
160	858	-650	0.7525	267.846	-72.8525
-81	821	-570	-0.245	286.029	-72.8525
-502	796	-431	5.87125	271.889	-73.7538
-1061	1054	-137	19.005	181.703	-49.0438
-781	1121	-81	15.645	21.8488	-3.5525
-579	972	-209	2.6075	-102.218	28.0963
-403	895	-355	4.10375	-189.376	50.8463
-311	843	-533	7.805	-252.411	71.4088
-60	866	-662	7.56875	-284.699	86.065
8	891	-677	1.35625	-286.685	94.9375
297	843	-682	-10.8763	-277.76	93.8175
407	849	-564	-11.3138	-230.169	80.71
424	936	-480	-12.0225	-166.801	62.1688
462	892	-409	-14.2888	-99.4788	35.07
329	885	-351	-9.4325	-35.4113	13.9213
179	943	-322	-3.9375	5.7925	-0.91875
126	951	-300	-3.43875	26.1713	-8.84625
69	937	-292	-2.75625	37.1613	-12.4688
125	947	-304	-0.245	44.1875	-17.0538
90	933	-299	1.58375	58.275	-18.305
67	954	-296	3.99875	65.9225	-16.9838
74	945	-310	4.45375	71.5488	-19.88
177	979	-335	3.3425	79.1613	-22.3475
199	902	-358	0.04375	102.156	-28.8225
198	933	-377	2.82625	128.564	-35.8925
108	878	-371	3.35125	153.046	-42.9188
143	909	-405	8.155	167.764	-47.5825
155	929	-446	8.98625	188.081	-56.8925
166	924	-508	1.7675	211.593	-66.5175
-66	812	-476	-4.1125	230.729	-72.3363
-450	878	-306	4.24375	209.353	-60.9788
-750	999	-132	15.12	129.036	-37.7563
-699	1053	-128	15.0325	15.2688	-9.555
-683	1050	-219	9.45	-94.0363	24.78
-492	941	-387	1.155	-192.115	57.4875
-323	832	-561	-1.7325	-260.785	77.84
-117	842	-676	-0.2275	-285.81	90.5538
177	889	-696	-6.23875	-286.528	102.051
439	764	-595	-13.3088	-261.013	95.4188
357	917	-487	-5.915	-198.109	77.945
542	892	-426	-8.47	-138.294	56.49
409	860	-356	-3.29	-62.2388	29.575
203	934	-331	5.55625	-11.9	8.26
180	958	-323	5.7925	10.7625	-4.6725
80	938	-313	3.36	25.55	-8.56625
57	985	-309	1.96	27.37	-6.13375
135	962	-314	-2.59875	28.7963	-6.06375
211	934	-328	-3.78875	41.6588	-11.6375
245	914	-344	-2.31875	66.7275	-22.9513
221	903	-343	1.04125	94.9288	-33.11
155	903	-358	4.71625	119.543	-41.1688
146	931	-363	7.30625	134.995	-46.025
240	897	-425	6.44875	155.409	-53.7688
217	882	-470	7.84875	187.373	-62.475
276	901	-584	5.25	224.333	-71.75
-94	796	-548	1.015	259.123	-74.9
-521	894	-336	10.15	236.329	-60.9613
-577	954	-202	17.9988	157.588	-42.105
-591	1015	-142	23.4763	65.17	-23.065
-646	1066	-167	21.0613	-30.835	6.50125
-524	1006	-289	12.4163	-125.493	42.875
-514	903	-453	4.55	-206.535	73.78
-302	846	-647	0.16625	-272.396	93.6338
-106	832	-760	-6.4925	-286.685	104.571
257	847	-768	-16.1263	-286.344	112.709
388	758	-655	-21.8575	-265.283	96.0575
469	901	-528	-15.3388	-202.956	77.175
470	899	-451	-16.5463	-130.104	46.095
363	873	-383	-13.6238	-64.0238	21.8663
261	930	-338	-7.34125	-15.9338	4.4625
149	920	-314	-4.83875	16.9138	-8.1025
42	929	-293	-1.40875	32.3225	-11.095
88	965	-300	1.19875	35.8575	-10.4038
79	957	-308	0.93625	42.9538	-10.8675
118	955	-310	0.60375	51.2575	-12.9675
167	939	-330	0.0175	64.5925	-18.445
135	910	-334	1.63625	83.1075	-23.9488
292	929	-371	4.1475	101.605	-27.8513
193	910	-394	3.6925	134.943	-39.8738
321	924	-434	1.2075	162.706	-53.7775
224	783	-519	1.2775	208.46	-69.5538
175	907	-572	8.51375	241.71	-81.0688
-57	763	-604	2.345	271.031	-90.9738
-606	859	-378	13.125	254.861	-71.715
-654	965	-202	26.005	170.468	-44.0475
-667	1054	-146	29.6713	67.97	-18.6638
-691	1037	-182	22.3213	-36.75	12.2413
-612	992	-325	15.575	-139.466	40.425
-428	900	-517	7.7875	-224.831	73.675
-296	852	-677	0.55125	-276.815	91.84
-75	848	-764	-7.665	-286.685	104.055
134	839	-736	-18.0338	-286.405	115.238
419	818	-653	-24.5438	-263.935	102.279
383	894	-508	-23.905	-196.455	87.3688
408	892	-419	-24.15	-130.235	65.1263
375	879	-361	-19.1538	-69.6238	38.9725
320	885	-316	-11.3925	-17.5438	14.2975
198	918	-285	-3.4825	20.5188	-1.7325
182	911	-289	2.415	42.525	-12.5388
172	940	-303	8.77625	63.2363	-18.9175
195	935	-329	12.075	84.2625	-25.9613
152	916	-334	14.595	107.975	-34.2913
144	961	-361	17.5875	124.268	-35.3938
117	967	-393	15.3125	141.479	-34.02
266	921	-436	10.43	158.279	-29.2688
302	786	-491	15.4088	194.469	-39.5325
269	867	-530	28.7088	231.788	-55.7025
151	856	-607	26.5825	262.728	-78.0763
-424	903	-486	22.5838	265.606	-84.1925
-763	1083	-223	16.4938	179.27	-41.9738
-449	1027	-163	5.69625	65.03	-10.6838
-401	1005	-176	2.5375	-18.655	8.46125
-337	1005	-238	-0.62125	-90.4225	35.3675
-382	955	-340	-6.895	-158.078	60.0338
-294	871	-502	-13.9563	-231.403	81.48
-154	818	-665	-19.5213	-280.464	92.9163
119	818	-765	-24.2638	-286.685	100.695
417	861	-726	-30.1088	-284.069	86.905
512	887	-574	-33.6438	-246.269	74.0863
722	761	-450	-25.4888	-163.721	48.2125
397	856	-384	-0.6125	-64.5575	20.0988
322	949	-390	11.935	-7.21	7.3325
223	901	-377	9.84375	28.8488	-4.165
139	893	-387	9.02125	45.29	-9.8
194	914	-381	8.91625	51.7038	-10.3425
223	909	-387	7.00875	64.6888	-18.1125
228	930	-400	5.69625	79.7825	-30.1263
395	928	-429	2.2925	104.72	-43.33
214	845	-431	1.63625	144.961	-54.8975
255	845	-474	8.61875	170.196	-64.0675
104	860	-466	14.385	195.143	-68.0575
167	897	-512	17.1675	203.936	-68.5563
143	854	-566	13.72	224.123	-74.5413
36	881	-520	12.8363	234.369	-72.0213
-116	899	-454	8.855	223.685	-67.6025
-399	897	-320	4.865	185.483	-66.43
-483	1032	-202	6.0375	108.465	-54.4513
-503	1021	-168	-3.05375	23.6338	-29.4438
-416	971	-192	-3.3775	-55.0725	-2.28375
-496	963	-240	3.33375	-118.983	32.0688
-470	921	-362	7.51625	-189.551	64.5575
-393	840	-545	7.14875	-257.583	92.1813
-174	781	-726	4.8475	-285.994	109.436
117	836	-784	-0.41125	-286.685	115.579
502	853	-733	-12.145	-278.81	103.635
532	866	-557	-16.6775	-219.284	82.4425
616	866	-471	-15.8288	-133.744	44.6688
409	798	-372	-5.6175	-48.65	6.8425
255	860	-362	12.7663	4.935	-18.5413
60	992	-375	20.475	35.5338	-25.235
5	965	-370	13.2125	40.0575	-18.3575
21	949	-373	7.525	38.0275	-11.1475
20	955	-370	4.12125	36.085	-5.48625
101	927	-378	1.44375	36.855	-4.54125
