A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
255	883	-301	13.9038	26.8713	63.9188
284	884	-311	11.865	19.355	46.0075
319	892	-315	8.89875	12.6963	30.8788
312	875	-316	5.355	7.76125	18.2175
321	868	-316	3.63125	1.32125	5.74875
330	873	-319	2.7475	-3.82375	-1.96
312	888	-328	1.3825	-7.56875	-8.51375
293	893	-331	-0.63875	-12.95	-21.8838
277	894	-327	-3.7275	-19.2413	-40.4513
266	891	-330	-7.20125	-24.6313	-59.5963
201	898	-325	-10.6663	-28.6913	-80.4038
138	914	-311	-14.8225	-36.0325	-106.645
58	879	-300	-20.4488	-44.6688	-135.144
-150	899	-270	-23.9663	-51.9838	-161.595
-202	920	-279	-26.4338	-58.6163	-177.345
-324	1024	-277	-28.665	-42.3763	-131.04
-556	941	-242	-28	-15.5925	-56.9363
-505	944	-205	-19.95	1.28625	-9.7125
-464	904	-180	-7.76125	20.8688	35.105
-380	903	-185	5.4075	33.4688	69.4313
-315	905	-204	16.8788	41.4575	98.5075
-204	917	-226	25.9875	44.4763	124.863
-93	949	-250	29.8638	45.22	142.161
-24	905	-270	29.8288	42.0875	144.148
142	906	-296	29.2688	32.06	128.328
189	897	-318	25.165	24.5	105.543
263	894	-343	18.6025	13.5975	73.9988
331	878	-355	11.515	5.285	46.6725
348	875	-353	6.0375	1.155	30.485
341	869	-354	1.085	-2.26625	14.9363
356	861	-353	-2.23125	-5.5125	-0.735
341	865	-348	-4.22625	-5.6175	-9.33625
300	883	-347	-6.13375	-6.50125	-18.1125
271	896	-344	-8.98625	-11.7863	-34.8425
269	897	-334	-12.74	-18.2963	-51.3713
204	896	-322	-17.3863	-24.5613	-66.6838
161	889	-316	-22.1725	-35.8575	-94.4738
120	885	-301	-25.2875	-46.7863	-123.734
-11	891	-277	-28.6738	-53.2525	-146.029
-124	883	-237	-31.325	-56.9363	-164.824
-306	961	-238	-33.9413	-52.5438	-169.356
-459	959	-209	-32.8388	-35.7525	-115.124
-698	956	-174	-24.43	-13.195	-44.5288
-538	923	-152	-11.235	0.35	13.0988
-455	939	-152	1.70625	19.6438	61.5388
-381	918	-172	13.4138	35.7525	107.048
-203	916	-194	23.0738	46.6375	143.71
-109	905	-206	32.3225	59.4738	181.423
-55	904	-221	37.1613	57.8025	173.031
185	908	-259	33.285	39.935	126.324
218	889	-286	25.445	30.8788	91.6475
251	877	-304	19.775	18.7863	60.41
304	892	-319	15.1025	7.2625	32.48
314	899	-330	9.80875	1.21625	12.775
307	899	-334	5.0925	-1.75875	0.105
286	899	-333	1.30375	-3.4125	-7.4375
268	906	-329	-1.4875	-5.24125	-14.21
235	911	-325	-4.45375	-7.735	-23.975
228	911	-317	-6.48375	-14.0088	-40.8888
204	899	-308	-8.89875	-20.1338	-58.5025
137	903	-293	-11.4275	-27.7375	-79.2838
58	888	-285	-14.5513	-39.3488	-110.093
-28	877	-263	-15.5925	-52.2725	-142.529
-139	913	-246	-17.3338	-61.1013	-168.971
-219	910	-269	-19.215	-57.5138	-167.361
-431	952	-255	-16.5375	-37.625	-120.181
-655	950	-250	-9.59	-15.7938	-52.9463
-584	986	-250	-1.63625	-0.06125	8.14625
-495	940	-239	3.395	18.4888	59.465
-343	911	-237	10.1325	33.7138	100.03
-244	918	-253	17.2638	46.4888	133.718
-111	909	-256	19.88	53.83	155.155
6	890	-264	20.4225	54.8363	157.395
108	895	-279	19.1888	48.265	141.33
145	893	-289	14	35.35	105.131
267	882	-308	8.505	18.865	63.3763
301	872	-318	5.7925	9.80875	34.4313
282	886	-316	4.9875	3.8325	13.93
274	890	-317	3.5875	-1.33875	-1.4525
264	894	-317	2.37125	-5.11	-9.63375
250	909	-322	0.35875	-8.53125	-18.585
233	911	-322	-2.24875	-12.4075	-31.9725
209	913	-315	-4.20875	-17.08	-47.3463
156	898	-306	-6.11625	-23.1613	-65.0388
89	896	-300	-7.07875	-33.5213	-90.23
-2	908	-298	-8.28625	-45.5525	-120.741
-61	912	-291	-12.3375	-54.3375	-146.834
-125	871	-278	-17.4563	-56.6388	-159.696
-293	893	-260	-20.5013	-53.3575	-159.976
-511	945	-269	-21.4463	-41.3175	-124.381
-656	940	-252	-16.9575	-25.8038	-54.3288
-685	973	-236	-13.4488	-9.8	1.56625
-587	903	-215	-10.3688	8.4175	51.0038
-428	870	-200	-1.365	26.9063	85.435
-288	882	-211	8.88125	44.1175	111.081
-235	861	-215	18.2175	58.2663	139.991
-67	893	-236	25.2088	59.7363	146.318
41	902	-260	26.8013	59.36	145.058
89	898	-277	24.325	52.4563	127.426
174	903	-299	20.5713	37.9488	99.6888
191	914	-319	15.3475	24.2638	72.5288
224	919	-329	9.8175	9.9225	42.63
267	911	-333	4.7425	-0.67375	18.7425
271	893	-331	1.1725	-6.405	4.13
281	885	-329	-0.34125	-9.625	-3.5875
257	890	-328	-1.61	-10.9025	-9.6775
236	906	-327	-3.07125	-14.9713	-22.8375
212	909	-321	-5.67875	-21.2013	-39.4188
189	912	-315	-8.67125	-29.6275	-60.7075
186	911	-315	-11.3925	-37.8175	-83.3088
88	906	-303	-14.6388	-42.1488	-100.643
-27	900	-284	-17.955	-47.425	-118.878
-110	876	-267	-20.8338	-53.4188	-136.92
-273	907	-257	-22.54	-56.5425	-153.064
-388	934	-259	-24.2725	-52.4913	-150.43
-448	937	-243	-21.1488	-35.2188	-101.054
-667	935	-224	-14.21	-8.82	-33.6875
-562	915	-201	-5.425	7.735	21.2013
-479	918	-205	0.60375	25.2175	58.0388
-408	898	-218	7.74375	40.9413	94.5963
-280	910	-229	14.84	51.3713	124.023
-165	913	-241	19.775	59.4738	148.733
-45	894	-257	23.135	61.2063	156.223
50	910	-271	24.9813	58.5813	150.596
113	900	-280	23.1088	48.4313	123.848
221	899	-299	18.3575	32.725	87.8238
264	898	-313	13.09	20.3088	58.1
307	887	-324	8.19875	9.135	34.4225
315	881	-325	4.96125	1.365	17.1938
313	876	-326	2.2925	-3.78	4.865
307	877	-327	0.4025	-7.5075	-5.34625
306	886	-329	-1.2425	-10.2988	-15.0325
272	894	-327	-2.6775	-12.7138	-25.6813
243	902	-323	-4.48	-17.3513	-39.97
200	905	-317	-7.51625	-24.605	-60.1913
188	909	-309	-11.7338	-33.6963	-85.5225
115	884	-298	-16.2488	-40.7488	-110.163
-25	859	-277	-17.15	-48.5625	-134.05
-110	841	-262	-14.6038	-57.89	-154.998
-257	972	-273	-14.0175	-59.4125	-164.386
-388	921	-275	-18.0075	-47.7488	-132.16
-504	939	-253	-14.3063	-31.1238	-75.1363
-706	929	-233	-6.85125	-14.8313	-19.6963
-513	923	-238	2.49375	-8.26	18.2788
-447	951	-245	7.98875	10.0625	56.8225
-385	913	-259	13.8425	31.15	103.985
-201	927	-279	21.0875	46.8475	143.264
-126	931	-285	24.1763	62.65	180.338
-91	877	-269	24.6225	61.0138	168.07
173	894	-292	21.8925	44.5463	119.219
142	866	-303	16.5988	37.9838	82.705
194	886	-310	13.6675	22.61	46.5588
288	891	-325	10.1238	10.9725	21.35
277	895	-337	6.86875	7.30625	13.7025
264	899	-343	4.17375	3.2725	7.18375
258	894	-341	1.37375	-1.0675	-1.9075
240	893	-337	-1.04125	-5.1275	-10.5438
195	902	-337	-3.115	-11.2963	-24.9725
188	915	-334	-6.1075	-22.26	-51.3625
157	903	-325	-9.91375	-31.1938	-73.9463
83	919	-310	-12.0488	-38.6138	-88.41
48	922	-312	-14.84	-47.3113	-102.419
2	880	-302	-17.4213	-54.2588	-113.619
-128	891	-274	-18.2088	-59.1325	-128.634
-214	925	-292	-22.1375	-58.0825	-141.426
-314	943	-271	-25.0775	-41.0375	-109.979
-601	897	-239	-24.1588	-16.765	-63.2275
-520	927	-223	-16.8613	-5.3375	-29.6363
-548	910	-214	-11.7425	11.4538	3.22875
-442	914	-220	-2.68625	25.6725	42.56
-373	960	-230	7.875	44.415	97.3263
-374	926	-231	15.47	60.865	156.651
-193	916	-233	21.77	60.27	175.578
-36	922	-250	24.9113	56.7788	170.993
13	901	-275	23.6688	44.7038	133.56
154	910	-301	16.135	25.6025	76.8338
238	882	-302	7.25375	14.1663	37.2575
289	884	-308	3.07125	7.28875	21.9013
282	897	-312	0.2975	2.345	14.1925
247	906	-304	-1.7675	-3.5175	1.925
244	904	-303	-3.605	-8.35625	-11.1475
210	911	-299	-3.605	-10.1413	-19.4163
168	929	-302	-3.92	-12.7925	-30.905
169	923	-298	-5.24125	-19.1975	-52.535
142	911	-290	-7.455	-24.5525	-73.0275
60	891	-278	-9.555	-32.0075	-98.735
-11	886	-270	-10.4738	-42.0788	-129.518
-104	910	-269	-12.705	-46.55	-145.224
-198	861	-247	-14.8488	-45.9288	-143.78
-435	1001	-259	-18.2963	-38.5	-132.816
-583	952	-247	-21.105	-23.8175	-77.3063
-630	955	-218	-14.9538	-7.41125	-12.5213
-505	921	-206	-7.63	7.3675	33.2588
-403	926	-205	2.1525	24.9113	76.2738
-312	913	-216	10.01	39.2088	112.604
-208	914	-221	17.0975	50.05	147.263
-97	908	-224	22.2775	54.5388	165.183
39	903	-241	23.9488	49.8838	155.584
140	883	-264	22.9163	40.005	129.001
202	887	-285	20.7463	28.035	96.4688
264	897	-302	17.2725	15.9075	60.9963
332	894	-320	12.6	8.19875	31.3775
330	888	-326	9.03875	6.37	11.8475
277	892	-323	6.44875	3.3775	-0.28875
261	897	-325	3.56125	-3.03625	-9.66
235	900	-327	0.4375	-9.80875	-19.8013
236	907	-329	-2.52875	-18.4013	-33.9588
215	926	-332	-6.29125	-26.5825	-47.8888
183	926	-336	-12.6175	-35.6562	-58.66
124	903	-322	-19.1188	-46.83	-71.19
86	913	-301	-24.4213	-57.995	-92.925
-7	929	-283	-29.645	-59.4563	-128.275
-50	867	-265	-32.1562	-53.235	-158.463
-213	913	-236	-28.7438	-38.0363	-158.27
-421	896	-212	-20.2913	-17.1413	-117.416
-561	966	-222	-8.75	0.2975	-63.8838
-599	970	-213	0.11375	13.7725	0.91875
-470	944	-219	3.50875	19.6088	44.8963
-389	915	-225	5.71375	25.9525	76.4313
-309	932	-233	8.96	30.9575	100.853
-194	920	-234	11.9525	36.7063	121.66
-110	927	-242	16.9925	42.2013	137.673
1	932	-257	20.3613	43.0675	139.746
83	931	-269	19.355	39.9875	126.061
179	914	-282	14.9188	31.4825	99.9163
230	896	-290	9.94	22.1813	76.8863
288	891	-293	6.02	13.8863	58.3275
324	875	-294	2.5375	7.7525	37.695
373	854	-292	2.065	1.9775	18.7863
341	856	-293	2.82625	-1.0675	7.14
326	869	-301	2.66	-5.9675	-6.44
