A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
58	976	-472	2.94875	-71.2163	-12.53
14	881	-396	9.66	-57.4	4.48875
59	844	-337	13.1863	-48.5188	16.9225
102	826	-319	11.5763	-42.3763	23.3013
116	799	-333	5.76625	-35.315	24.0538
88	835	-336	4.7075	-30.9488	22.0325
99	882	-340	6.11625	-26.0138	21.8838
110	855	-332	8.42625	-22.2425	20.8075
76	856	-339	8.75875	-20.7463	15.19
85	894	-353	8.82	-17.7538	7.7875
78	906	-348	6.29125	-16.3712	-5.4425
96	1019	-336	4.59375	-19.4775	-13.2125
204	1180	-340	-1.67125	-13.755	-4.19125
131	1157	-273	-13.8863	-4.73375	-8.46125
78	1060	-148	-27.4663	-1.04125	-24.955
11	943	-111	-36.3825	1.785	-24.8238
-56	942	-100	-35.0525	-1.2075	-13.0813
-44	962	-123	-27.4225	-8.96	-1.61875
-33	851	-154	-19.2238	-12.1975	8.89
7	790	-186	-12.7575	-11.4538	16.205
69	810	-217	-10.2113	-12.3638	12.6525
63	840	-249	-11.1213	-14.175	6.90375
55	888	-277	-12.6875	-14.0438	7.7525
65	912	-303	-16.8175	-10.92	7.95375
69	932	-329	-19.2675	-8.085	3.45625
81	992	-359	-19.6438	-9.6425	-1.155
71	950	-380	-16.1525	-13.3175	0.91875
61	950	-408	-11.27	-14.0438	14.4463
61	1106	-505	-4.2175	-12.8975	27.265
37	1111	-561	2.52	-18.9525	19.7313
-46	958	-586	8.2775	-29.3475	-3.3775
14	936	-610	15.2163	-34.8513	-17.8763
21	917	-598	19.04	-29.8288	-12.1363
-40	895	-536	17.3688	-21.7875	-0.315
-38	854	-452	13.405	-17.7888	4.165
-30	789	-393	7.53375	-15.8725	4.48875
-3	762	-362	3.0625	-13.5888	5.6175
53	789	-357	2.68625	-10.115	7.4375
67	814	-362	6.3175	-5.41625	9.31
73	852	-365	9.205	-1.785	8.19875
60	818	-344	11.8388	1.68	2.26625
-6	873	-357	11.1038	5.0225	-3.31625
-10	1008	-345	16.8875	2.1	0.48125
94	1096	-391	15.8813	1.785	7.0525
168	1161	-353	0.91	7.805	-5.08375
122	1183	-230	-15.96	12.8538	-22.9775
168	1026	-145	-29.505	18.0863	-18.8738
134	910	-101	-32.3838	17.185	-2.6425
136	934	-97	-26.25	6.2475	8.61
108	932	-104	-18.4888	-4.12125	14.6213
101	825	-132	-12.0488	-7.3325	15.4175
