A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
336	798	134	-55.1075	59.6838	8.0325
327	757	222	-43.61	43.8988	5.985
255	738	302	-27.1863	24.22	3.85
317	736	297	-6.0025	-1.79375	1.88125
365	775	270	14.3238	-18.3488	3.4125
333	765	213	28.0788	-31.395	5.53
409	798	147	42.105	-47.4513	6.65
435	808	84	49.6125	-54.8975	4.15625
472	800	12	54.7925	-57.2338	2.135
433	812	-55	60.0863	-56.8313	2.02125
465	859	-124	62.2125	-59.675	1.4525
430	842	-181	58.3975	-59.815	-0.70875
478	860	-229	55.1425	-61.3375	-1.925
441	825	-273	49.98	-55.9913	-2.49375
423	835	-306	48.685	-54.7138	-0.56875
466	848	-340	44.4063	-52.395	0.39375
382	782	-373	40.215	-45.0275	-1.54
399	774	-397	43.295	-46.5063	0.2625
360	776	-425	44.8175	-46.1475	3.10625
309	729	-461	45.535	-49.035	3.815
334	730	-503	49.7613	-57.6188	6.8775
317	735	-553	49.8313	-61.5913	8.58375
322	735	-615	45.6575	-62.9563	7.98875
363	784	-695	38.0713	-60.1913	8.6275
420	817	-768	22.435	-45.5263	5.8275
395	822	-802	2.695	-19.5825	-1.26
370	817	-768	-19.0925	6.58	-6.25625
348	722	-701	-35.3938	28.5163	-6.81625
333	739	-648	-40.7838	45.3513	-6.60625
327	755	-591	-45.3338	56.7875	-7.21875
332	753	-548	-49.455	62.3525	-6.09875
338	755	-492	-50.6625	65.485	-7.20125
355	791	-446	-50.6538	65.7913	-6.01125
371	804	-402	-51.94	66.5963	-6.1425
346	783	-345	-52.255	65.5025	-7.62125
397	811	-301	-48.9563	61.0225	-8.82875
378	840	-267	-47.2325	60.9788	-5.6175
409	848	-225	-48.1513	59.8325	-2.66875
386	853	-173	-48.8338	60.0775	-2.12625
404	870	-129	-48.9388	56.7613	-1.575
418	859	-87	-50.54	55.2388	-2.17875
383	862	-33	-51.2225	53.4188	-0.67375
393	854	18	-50.4875	48.1688	0.42875
436	861	56	-48.5275	45.2813	1.1725
448	865	89	-48.2213	47.495	4.76
403	785	149	-46.3138	52.115	0.49
