A_X [mg]	A_Y [mg]	A_Z [mg]
-1272	-3827	-973
-1604	-2751	-1074
-647	-1126	36
-714	-206	264
-554	455	-185
-659	594	76
-117	603	439
-363	390	108
-63	-83	273
-510	-1358	59
-2471	-3160	-661
-1329	-2762	110
-104	-1497	276
11	-961	-153
263	-577	-154
373	-490	-331
911	-405	-752
680	-370	-593
345	-1014	-542
-350	-2840	-961
-1895	-3797	-447
-1421	-2159	-281
-457	-494	226
-78	35	333
-83	253	127
-559	303	35
-220	421	249
-346	346	107
-253	-31	153
53	-1010	125
-2189	-2960	-718
-1939	-3019	-541
-212	-1578	100
52	-1016	15
125	-624	-92
340	-421	-187
670	-372	-509
862	-280	-692
199	-536	-301
382	-1628	-776
-622	-3234	-1165
-1641	-3125	-385
-854	-1346	-183
-215	-271	177
-139	85	168
-356	276	33
-448	306	174
-190	283	299
-390	-3	202
244	-605	294
-1454	-2183	-611
-2216	-3105	-1009
-793	-2126	-371
-110	-1193	-15
134	-556	-94
292	-247	-177
417	-134	-351
946	-160	-518
519	-288	-547
388	-1116	-567
-314	-2857	-1012
-1566	-3745	-895
-1583	-2423	-694
-687	-595	135
-268	107	267
-210	367	173
-442	442	138
-103	453	281
-287	344	271
123	-62	329
-890	-1437	-266
-2548	-3135	-844
-1680	-2746	-502
-302	-1452	-78
102	-798	-24
240	-429	-73
428	-360	-216
681	-362	-445
580	-305	-515
260	-707	-359
-120	-2322	-860
-1541	-3676	-987
-1655	-2662	-629
-758	-924	-43
-463	-87	114
-309	307	86
-486	456	154
-369	490	341
-169	450	336
-190	128	259
51	-721	87
-2043	-2522	-701
-2392	-3126	-832
-719	-1948	-290
-120	-1185	-46
-39	-715	-119
177	-437	-251
438	-334	-452
882	-237	-663
307	-291	-516
276	-1061	-397
-17	-2627	-943
-1462	-3320	-579
-1351	-2140	-341
-453	-699	159
-342	-214	411
-311	106	238
-535	313	146
-135	417	317
-220	374	174
187	-26	392
-477	-1292	-184
-2664	-3166	-748
-1555	-2761	-235
-175	-1516	-36
-32	-954	-11
233	-502	-89
246	-373	-317
658	-319	-463
707	-245	-585
374	-514	-374
278	-1811	-631
-1068	-3270	-845
-1820	-2952	-680
-720	-1236	-237
-317	-380	295
-259	-38	285
-388	200	199
-611	317	225
-89	409	291
-495	159	168
105	-507	257
-1212	-2151	-541
-2883	-3392	-1098
-1090	-2252	-363
-86	-1165	188
95	-660	-141
354	-386	-271
508	-348	-325
660	-336	-574
240	-476	-435
-5	-1241	-679
-603	-2732	-982
-1390	-3289	-731
-1136	-2014	-506
-473	-736	232
-299	-124	260
-310	190	84
-395	297	117
-132	334	285
-276	274	123
-82	-49	176
-285	-1098	-75
-1829	-2671	-758
-1461	-2784	-607
-335	-1744	-244
15	-1111	-126
73	-656	-95
166	-372	-204
450	-299	-395
672	-250	-540
476	-390	-364
189	-1506	-657
-595	-2891	-833
-1166	-3140	-753
-1058	-1929	-539
-418	-620	195
-257	11	119
-218	299	25
-430	320	172
-202	293	362
-402	141	192
-134	-221	143
-786	-1343	-367
-1945	-2822	-834
