STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.012017000	  -0.037027000	   1.014430000	 157.500000000	-848.750000000	-420.000000000	
  -0.004026000	  -0.028060000	   1.009062000	 113.750000000	-1006.250000000	-490.000000000	
   0.003904000	  -0.032208000	   1.015284000	 157.500000000	-945.000000000	-402.500000000	
  -0.009516000	  -0.040199000	   1.014491000	  96.250000000	-778.750000000	-428.750000000	
  -0.006344000	  -0.028060000	   1.014979000	 166.250000000	-1023.750000000	-542.500000000	
   0.000976000	  -0.029097000	   1.009550000	 218.750000000	-971.250000000	-420.000000000	
  -0.003965000	  -0.037881000	   1.016077000	 140.000000000	-857.500000000	-393.750000000	
  -0.013603000	  -0.033123000	   1.014918000	 140.000000000	-953.750000000	-516.250000000	
   0.001159000	  -0.027877000	   1.012295000	 175.000000000	-988.750000000	-437.500000000	
  -0.000915000	  -0.033794000	   1.013820000	 122.500000000	-761.250000000	-393.750000000	
  -0.012993000	  -0.033977000	   1.012295000	 236.250000000	-901.250000000	-490.000000000	
  -0.002135000	  -0.032269000	   1.015406000	 262.500000000	-997.500000000	-551.250000000	
  -0.002623000	  -0.033184000	   1.018090000	 245.000000000	-988.750000000	-393.750000000	
  -0.007442000	  -0.033794000	   1.009001000	 113.750000000	-848.750000000	-472.500000000	
  -0.003599000	  -0.031415000	   1.014064000	 227.500000000	-980.000000000	-507.500000000	
  -0.004758000	  -0.031537000	   1.013149000	 183.750000000	-971.250000000	-385.000000000	
  -0.007259000	  -0.032330000	   1.010343000	 148.750000000	-901.250000000	-428.750000000	
  -0.003904000	  -0.032757000	   1.017419000	 105.000000000	-971.250000000	-446.250000000	
  -0.003172000	  -0.032574000	   1.010953000	 166.250000000	-910.000000000	-420.000000000	
  -0.007869000	  -0.032513000	   1.016504000	 183.750000000	-866.250000000	-420.000000000	
  -0.004941000	  -0.031659000	   1.012356000	 148.750000000	-1006.250000000	-533.750000000	
