A_X [mg]	A_Y [mg]	A_Z [mg]
-246	-1722	205
-297	-1628	166
-322	-1471	-30
-365	-1398	-172
-407	-1417	-242
-351	-1541	-238
-281	-1460	-205
-181	-1212	-282
48	-1023	-239
309	-819	-215
230	-657	-279
-2	-966	-168
-232	-1333	-89
-401	-1435	-3
-412	-1514	87
-431	-1564	99
-360	-1722	-84
-658	-2112	174
-1025	-1861	656
-1029	-1517	732
-818	-1190	641
-770	-1296	376
-755	-1117	104
-630	-1266	65
-547	-1568	138
-506	-1555	84
-431	-1500	-39
-413	-1449	-171
-387	-1435	-224
-307	-1433	-206
-259	-1486	-162
-234	-1402	-155
-161	-1173	-154
274	-874	-107
509	-673	-178
112	-818	-67
-236	-1267	74
-257	-1626	2
-295	-1704	-122
-475	-1644	-31
-458	-1467	-57
-739	-1461	58
-934	-1581	200
-790	-1478	251
-720	-1443	429
-804	-1131	316
-889	-1105	277
-874	-1165	160
-714	-1377	47
-580	-1669	28
-471	-1646	4
-418	-1568	-45
-374	-1435	-120
-317	-1329	-158
-296	-1259	-164
-252	-1321	-154
-262	-1384	-137
-197	-1300	-172
96	-982	-215
280	-849	-202
228	-881	-216
42	-1029	-311
-235	-1403	-232
-390	-1590	-152
-457	-1672	-126
-577	-1631	45
-608	-1535	-48
-698	-1675	-74
-774	-1730	232
-724	-1471	669
-782	-1220	647
-948	-1137	439
-839	-1202	252
-575	-1287	123
-475	-1782	92
-457	-1760	112
-448	-1660	95
-434	-1555	-36
-417	-1428	-155
-347	-1326	-179
-242	-1274	-151
-201	-1206	-126
-218	-1090	-184
-103	-906	-256
-40	-970	-252
11	-878	-313
-213	-824	-210
-356	-1099	-44
-316	-1173	-56
-362	-1243	-76
-406	-1372	47
-453	-1543	30
-470	-1788	-72
-795	-1981	160
-1016	-1650	393
-917	-1491	407
-765	-1197	428
-767	-1225	365
-722	-1110	210
-683	-1360	114
-566	-1452	71
-422	-1446	52
-344	-1408	-8
-339	-1345	-118
-334	-1364	-180
-304	-1401	-188
-310	-1487	-175
-278	-1477	-199
-277	-1245	-277
-96	-1212	-259
-49	-1176	-290
1	-779	-191
64	-747	53
-181	-865	140
-147	-950	88
-200	-1158	12
-283	-1520	-9
-419	-1818	-315
-907	-2245	-208
-1366	-1655	-107
-923	-1437	100
-796	-1280	375
-891	-1057	502
-710	-1057	393
-683	-1280	134
-586	-1584	8
-331	-1601	61
-242	-1543	125
-315	-1380	3
-385	-1337	-129
-412	-1312	-212
-362	-1362	-217
-265	-1300	-179
-217	-1169	-206
-80	-979	-201
95	-923	-134
131	-811	-165
-105	-739	-51
-306	-1051	137
-240	-1264	96
-272	-1386	-24
-384	-1492	44
-464	-1594	44
-600	-1720	56
-908	-1632	203
-893	-1415	312
-766	-1423	258
-762	-1119	164
-845	-1179	169
-837	-1038	109
-762	-1353	17
-583	-1448	-23
-392	-1478	-52
-331	-1421	-53
-331	-1359	-100
-308	-1336	-139
-306	-1317	-158
-279	-1341	-143
-292	-1362	-195
-189	-1257	-251
223	-1034	-176
389	-908	-234
113	-865	-113
-259	-1149	50
-271	-1379	27
-307	-1412	-93
-481	-1453	-39
-510	-1429	-35
-588	-1432	-76
-790	-1446	125
-850	-1349	326
-802	-1396	418
-768	-1206	246
-740	-1140	215
-708	-1172	229
-655	-1218	129
-637	-1608	54
-512	-1575	-27
-399	-1481	-81
-328	-1293	-107
-303	-1183	-110
-306	-1219	-123
-296	-1346	-137
-257	-1370	-132
-230	-1229	-160
-105	-980	-176
-47	-944	-144
-41	-932	-147
-180	-998	-111
-344	-1203	-24
-296	-1130	5
-281	-1088	12
-337	-1180	71
-408	-1377	-69
-541	-1847	-369
-1101	-2269	-402
-1292	-1648	-178
-1085	-1216	98
-1172	-1136	288
-1193	-1099	146
-786	-1134	41
-551	-1544	-6
-354	-1627	9
-311	-1623	88
-395	-1498	23
-365	-1425	-124
-387	-1350	-195
-381	-1418	-198
-352	-1524	-197
-308	-1462	-202
-184	-1260	-244
53	-1142	-178
325	-872	-292
158	-613	-237
-120	-854	33
-180	-1142	-15
-311	-1380	-130
-474	-1716	-33
-596	-1828	-58
-657	-1977	-129
-1113	-1848	4
-946	-1605	350
-730	-1462	643
-751	-1076	657
-749	-1185	498
-718	-1156	253
-577	-1543	96
-377	-1753	116
-290	-1687	148
-349	-1493	33
-378	-1411	-129
-427	-1368	-217
-396	-1458	-249
-301	-1478	-214
-244	-1331	-238
-113	-1140	-283
161	-996	-213
324	-772	-280
32	-743	-257
-209	-1072	-22
-191	-1337	52
-271	-1581	-17
-420	-1752	71
-435	-1699	14
-523	-1807	-35
-962	-1821	410
-969	-1651	722
-762	-1460	661
-702	-1109	486
-696	-1247	348
-633	-1141	191
-562	-1488	88
-521	-1626	49
-489	-1596	-2
-431	-1521	-80
-396	-1444	-182
-364	-1356	-203
-306	-1366	-206
-267	-1381	-174
-236	-1314	-138
-42	-1011	-121
201	-794	-118
268	-873	-166
66	-991	-104
-190	-1268	7
-236	-1334	42
-318	-1361	-4
-373	-1411	-1
-427	-1521	-70
-516	-1811	-108
-843	-1958	56
-1062	-1710	205
-1006	-1477	328
-849	-1129	453
-777	-1222	374
-692	-1148	220
-593	-1425	147
-476	-1481	116
-430	-1551	128
-452	-1509	48
-442	-1525	-100
-410	-1512	-181
-395	-1472	-181
-346	-1412	-138
-121	-1193	-152
111	-849	-313
174	-856	-239
152	-1008	-222
-15	-1108	-310
-271	-1425	-167
-330	-1521	-95
-412	-1514	-105
-517	-1503	-20
-527	-1475	-74
-657	-1566	-34
-878	-1638	172
-884	-1579	405
-848	-1364	507
-839	-1111	522
-857	-1284	363
-707	-1296	182
-538	-1629	114
-378	-1712	101
-385	-1687	40
-390	-1524	-73
-347	-1385	-165
-355	-1281	-203
-291	-1262	-222
-249	-1302	-232
-263	-1438	-316
-151	-1332	-460
229	-1002	-328
245	-791	-242
104	-622	-158
-117	-935	16
-268	-1413	-12
-333	-1779	-126
-600	-1974	-22
-621	-1733	2
-801	-1504	-65
-715	-1560	12
-598	-1532	201
-727	-1425	514
-813	-1144	460
-949	-1153	410
-852	-1196	262
-564	-1415	167
-346	-1716	143
-352	-1739	78
-393	-1686	-9
-370	-1450	-136
-362	-1314	-213
-337	-1241	-241
-285	-1307	-265
-240	-1319	-270
-225	-1243	-314
-34	-1081	-262
241	-898	-144
357	-710	-292
89	-1018	-294
-277	-1484	-49
-274	-1545	65
-209	-1576	56
-257	-1636	26
-385	-1692	-85
-721	-1898	60
-1063	-1771	237
-978	-1483	417
-788	-1224	503
-788	-1121	482
-836	-1224	310
-716	-1365	109
-516	-1679	1
-360	-1719	19
-362	-1682	20
-372	-1560	-119
-372	-1469	-214
-387	-1404	-218
-312	-1400	-213
-288	-1410	-189
-207	-1304	-267
74	-1065	-259
540	-829	-395
315	-726	-350
-189	-1121	-28
-192	-1448	-40
-282	-1575	-229
-451	-1755	-113
-603	-1709	48
-556	-1574	-100
