A_X [mg]	A_Y [mg]	A_Z [mg]
545	896	51
2717	2137	-505
4111	1905	-22
1830	521	44
792	-269	33
534	-457	332
340	-704	432
130	-1093	350
270	-843	210
1390	-543	-218
3988	630	-490
3779	2636	-880
1429	1647	-704
497	1120	-462
-231	674	-288
-935	582	25
-1145	531	252
-934	740	74
-299	801	59
2342	1863	-295
4515	2467	-518
2542	1071	158
861	-239	-189
311	-663	39
204	-794	238
281	-1097	270
439	-1045	254
1011	-482	-70
3246	-167	-441
3912	2236	-819
2206	1629	-653
741	1231	-591
-220	513	-210
-794	324	-68
-1292	454	127
-952	637	-32
-350	937	136
1673	1623	-411
3552	2529	-580
3146	1724	276
1354	212	-244
799	-495	-167
520	-716	314
502	-1112	325
597	-1085	273
1016	-551	203
2640	-168	-172
4415	2422	-450
2597	1945	-605
660	1472	-691
-290	853	-345
-1009	458	-162
-1382	533	113
-990	679	53
-410	925	259
1601	1451	-185
3909	2284	-342
3329	1548	668
1324	207	-72
488	-454	-15
284	-666	464
267	-1003	344
348	-1180	216
873	-644	196
2520	-230	-346
3995	2359	-722
2213	1541	-392
679	1155	-496
-105	606	-191
-597	340	-63
-901	526	135
-754	554	39
-419	742	88
1232	1060	-299
3290	2470	-343
3100	1682	183
1325	267	10
565	-482	49
424	-656	406
324	-991	251
412	-1203	92
935	-635	110
2842	-137	-592
3985	2465	-831
2011	1523	-538
633	1149	-420
-115	631	-79
-592	454	39
-824	582	187
-812	525	34
-562	684	63
819	745	-116
3110	2129	-729
3876	1911	38
1785	580	-147
649	-257	-43
301	-490	203
408	-874	203
550	-1323	143
880	-852	193
1953	-585	-272
4149	1336	-895
2784	2122	-549
956	1395	-689
-106	853	-411
-655	438	-162
-849	465	-21
-708	453	32
-489	644	49
580	873	21
2570	1962	-340
3591	2146	193
2018	787	156
779	-171	-24
434	-552	167
509	-781	255
448	-1114	167
570	-844	251
1456	-452	-38
3487	710	-599
3504	2090	-503
1676	1381	-661
379	846	-507
-278	535	-230
-717	526	-211
-922	559	-28
-749	648	-76
-383	775	103
931	935	-164
3629	2415	-507
3800	1399	-82
1693	199	-145
457	-442	-62
221	-821	141
499	-986	273
450	-1035	284
731	-733	38
2822	-554	-538
4332	1672	-669
2611	1501	-392
677	1299	-750
-378	985	-630
-813	690	-310
-885	707	-109
-659	550	-33
-27	416	195
1619	570	76
3038	1577	348
3382	1473	-11
1870	537	-181
664	-14	-125
209	-402	26
249	-731	384
456	-947	585
639	-890	360
2082	-724	12
4362	1390	-646
3239	1672	-650
1096	1494	-919
-32	1095	-580
-686	900	-319
-1042	595	48
-1122	585	91
-829	729	153
-224	678	107
1707	2007	-434
4535	2978	-815
3128	1370	-455
1073	135	-72
344	-600	226
410	-854	491
396	-1193	432
532	-890	232
1462	-382	-239
3896	1442	-865
3239	2611	-868
1418	1916	-944
152	1246	-503
-464	600	-202
-975	365	30
-1025	295	228
-830	432	59
-261	849	172
1843	2076	-190
4517	2826	-74
1870	1359	575
635	100	420
921	-553	77
481	-936	183
308	-966	324
538	-824	353
910	-538	190
2571	-197	90
3522	1714	-790
2016	2007	-204
665	1252	-326
61	734	-403
-701	525	-138
-1046	456	32
-853	523	87
-538	748	66
1310	1398	-239
3950	2715	-166
3093	1452	252
1167	47	-37
521	-532	26
394	-778	400
397	-1029	479
441	-1017	293
925	-633	92
3094	-184	-477
4012	2109	-496
2065	1527	-572
369	1290	-707
-482	820	-359
-917	623	-133
-859	655	87
-600	723	0
-164	1004	119
1243	1402	-132
2973	2429	-531
3175	1934	10
1502	660	-90
715	-15	-5
638	-330	318
505	-703	446
351	-1192	441
596	-778	342
1973	-405	116
3725	1204	-701
3054	1869	-392
1330	1547	-683
344	959	-635
-250	635	-532
-810	742	-369
-1071	607	-95
-853	812	-65
98	905	283
2005	1547	-105
4135	2153	65
2728	982	241
1003	-29	-68
405	-554	71
347	-679	277
224	-966	357
294	-990	338
1020	-592	123
3439	171	-76
3714	2342	-152
1677	1338	-467
638	925	-435
1	558	-301
-522	488	-216
-742	549	-63
-644	641	-120
-180	914	69
1205	1240	-299
2849	1788	-61
2413	1576	392
1367	750	250
1117	137	128
682	-309	22
376	-718	68
369	-1008	196
470	-695	357
1186	235	317
2182	1578	-109
1929	1673	-644
783	1448	-375
454	930	-179
276	569	-117
-6	351	-28
-255	245	-55
-137	407	-214
337	753	-526
1740	1301	-691
1753	1433	-476
1463	1020	-140
955	256	153
852	-163	281
494	-385	103
128	-523	-48
63	-336	41
640	92	-36
1875	978	-547
2151	1438	-1147
1376	1340	-424
905	881	-53
457	436	-120
28	150	-144
-371	20	-140
-273	273	-385
386	657	-738
1594	1247	-590
2030	1983	498
1336	1075	-171
1131	456	-432
816	-115	-341
678	-381	177
306	-496	353
-100	-366	64
549	59	97
2211	1213	-737
1855	1218	-517
720	948	183
498	560	109
310	270	-5
-72	94	-45
-400	76	-211
-20	440	-267
1012	898	-595
1787	1459	355
1332	811	16
721	187	-304
656	-412	-135
708	-453	484
197	-498	332
192	-335	81
1631	153	-321
2477	1280	-895
1165	1008	-274
530	828	248
-50	409	40
-307	174	-15
-392	142	-245
154	440	-587
1122	790	-726
1935	1235	-524
1189	1145	434
807	252	-395
627	-244	-301
555	-397	255
373	-506	430
189	-384	46
1024	144	-222
2065	1014	-672
1746	1075	-382
1302	1052	265
420	524	-33
192	205	-127
-175	11	-265
-1	204	-381
771	610	-540
1421	1053	-592
1342	1666	433
1672	1126	364
1175	392	58
577	-292	93
345	-338	172
4	-386	100
261	-234	33
1775	265	-313
2610	1650	-686
1676	1208	-374
872	935	34
799	704	235
-252	77	-97
-451	5	-173
-225	317	-438
949	732	-651
1990	1537	-93
2247	1457	217
1696	907	-164
765	335	-348
454	-91	-221
239	-465	415
-10	-547	175
649	-300	-129
2464	597	-776
2367	1453	-849
1300	1222	-339
728	939	155
542	593	40
263	265	-99
-483	145	-227
-145	492	-374
1180	986	-743
2422	1793	-433
1771	1532	638
1283	720	29
556	48	-294
402	-366	-296
348	-548	-57
494	-380	253
1797	35	-258
2658	1472	-941
1737	1363	-679
888	1112	-424
369	878	196
398	535	238
47	244	48
-364	36	-22
340	1047	-1093
2153	2204	-1153
1608	2026	-14
1464	908	245
920	-62	-491
810	-783	-568
629	-857	-312
350	-746	261
105	-478	437
2598	1081	-564
2419	1799	-739
1379	1152	-457
625	725	-375
307	494	-91
-235	297	121
-362	93	78
-357	336	-243
303	910	-550
2125	1888	1
1904	1127	-45
953	575	-449
479	-87	-539
468	-433	-362
568	-627	199
454	-553	707
515	-245	417
2095	519	-238
1281	1190	-346
865	724	-200
474	90	-330
-92	97	-275
-533	46	-217
-338	338	-192
-36	892	-321
518	915	-344
1827	1576	387
997	798	218
983	146	119
1057	-106	308
1048	-666	349
937	-1099	243
1023	-815	235
1823	-331	163
3297	1037	87
2699	2009	-88
312	962	-258
-218	586	-249
-665	551	-122
-780	466	71
-563	663	1
97	951	115
1837	1341	-65
3249	1996	324
2397	946	33
678	-416	-129
510	-682	89
455	-1013	306
357	-1172	276
703	-672	107
2874	-342	-119
4229	2121	-238
2321	1389	-450
850	1140	-449
-307	548	-280
-737	631	-135
-836	548	-34
-584	778	-8
770	999	-15
2703	1877	-112
3422	1688	244
1871	459	25
830	-227	-56
321	-752	307
288	-1030	398
364	-898	258
1053	-493	-2
3265	273	-77
3853	2364	-248
1722	1385	-339
402	941	-371
-173	483	-253
-597	431	-105
-467	520	-53
-28	830	44
1483	1153	-175
2769	1778	-41
2689	1298	240
1404	356	47
728	-339	-31
528	-636	303
341	-981	218
572	-674	167
2074	-333	59
4310	1711	-219
2632	1684	-333
955	1169	-522
112	766	-380
-365	424	-282
-730	508	-169
-624	520	-44
85	687	220
1898	1629	-207
3780	2263	38
2612	1143	205
1091	83	-100
505	-528	-70
410	-756	275
462	-1055	362
1295	-574	230
3455	444	-38
3396	2301	-219
1610	1441	-461
438	1040	-411
-98	531	-258
-502	453	-227
-680	487	-46
-598	505	-78
1078	1042	-24
3204	2284	-115
3033	1618	-24
1411	440	19
592	-179	20
364	-435	308
481	-831	461
467	-1160	276
788	-791	142
3947	1505	-455
2850	1915	-468
1032	1442	-639
5	886	-432
-405	473	-258
-683	463	-109
-760	505	-8
-645	598	-12
82	772	168
3781	2200	-328
2473	993	-91
1126	80	-184
467	-348	-89
235	-537	238
299	-907	392
391	-1105	261
1051	-988	38
2997	-86	-626
1991	1722	-821
485	1240	-735
-265	675	-269
-664	396	-85
-818	418	86
-722	515	43
-508	773	172
220	826	-62
2493	2255	-524
2278	995	-499
981	-35	-269
474	-454	290
472	-727	513
457	-1175	401
608	-902	284
1453	-392	-200
3568	884	-348
3598	2604	-528
307	1265	-667
-300	703	-496
-925	555	-340
-1215	412	6
-1078	586	13
-516	670	31
1034	1877	-16
3437	3258	-356
3386	2018	-260
564	-527	-92
620	-773	160
619	-974	400
597	-859	397
1047	-424	206
2766	195	62
3961	2810	-383
2317	2194	-595
757	1530	-659
-617	477	-243
-966	430	-67
-999	491	69
-784	696	24
-54	898	-29
2219	2430	-314
3894	2603	-538
2243	965	-90
909	-200	-149
607	-898	320
519	-1247	205
820	-873	163
1746	-399	-115
3965	1436	-954
3061	2546	-648
1183	1654	-774
27	1038	-524
-565	557	-241
-803	385	133
-675	514	62
-296	708	36
1223	1500	-236
3661	2968	-576
3077	1583	-218
1233	213	-44
557	-378	139
501	-696	429
584	-1106	212
1061	-623	-6
3458	447	-636
3876	2484	-496
2006	1891	-768
432	1389	-624
-306	821	-360
-816	599	-197
-1108	567	38
-969	535	7
-571	729	106
1037	1069	133
3163	2699	-331
3444	2299	36
1591	671	68
750	-310	-243
555	-680	173
460	-1097	553
385	-1375	345
2825	-51	-195
4642	3198	-504
2334	2176	-447
613	1530	-682
-297	913	-411
-990	454	-278
-1336	526	8
-1193	505	40
-703	743	13
3432	2958	-475
3595	2230	26
1738	500	104
742	-383	138
396	-600	345
414	-724	420
500	-1114	365
1003	-880	241
2535	-294	-204
2720	1989	-665
755	1566	-777
-222	852	-445
-875	431	-176
-1180	463	93
-890	373	124
-490	621	-12
550	1205	166
1942	1368	-1236
1551	1127	257
745	99	-82
476	-362	80
456	-692	280
434	-1113	244
659	-1043	149
1281	-595	-94
3244	-7	-693
4225	2517	-818
358	1583	-641
-505	944	-427
-974	502	-120
-1232	416	66
-908	462	44
-315	717	182
1499	1370	-34
3620	2692	-353
3089	1709	381
1291	386	147
538	-289	236
470	-467	481
491	-863	562
453	-1135	492
925	-567	350
3109	-116	265
3914	2581	31
1984	1588	-495
440	1178	-476
-809	340	-64
-907	432	39
-763	341	-58
-424	602	21
669	874	-106
2750	2503	-661
3625	2483	-229
2096	844	-160
681	-103	65
493	-939	278
458	-1392	251
723	-874	103
1944	-495	-398
4753	1891	-828
3439	2396	-566
976	1809	-809
-245	1195	-470
-816	686	-346
-1242	368	33
-858	636	10
-138	732	28
2488	2398	-263
4619	2845	-352
2591	1088	58
836	-63	4
417	-584	231
568	-818	405
618	-1013	195
1860	-477	-87
4229	1758	-597
3003	2417	-513
1194	1713	-698
-18	1036	-401
-597	409	-233
-931	310	-63
-967	337	173
-320	701	108
1673	1674	-123
4350	3168	-444
2788	1401	64
985	59	-140
238	-504	-11
357	-789	281
595	-1296	267
598	-1261	185
3152	-265	-541
4313	2435	-680
2242	1813	-614
478	1337	-623
-285	849	-305
-920	731	-176
-1169	635	19
-964	621	36
-512	726	184
2734	2782	18
3376	2384	-32
1972	1061	224
1006	-74	160
978	-691	168
766	-1260	427
550	-1246	407
762	-722	368
2126	-122	323
2425	2164	-257
697	1569	-588
-12	767	-445
-609	392	-307
-1055	439	-120
-1022	370	-26
-832	586	3
49	932	95
2386	2694	-414
2224	1107	82
968	-76	36
649	-449	452
601	-861	451
454	-1084	355
816	-542	366
2210	-285	0
4131	2023	-465
3090	2190	-294
178	952	-544
-474	648	-502
-1061	770	-287
