A_X [mg] A_Y [mg] A_Z [mg]
227 	 -586 	 -410
278 	 -580 	 -646
343 	 -594 	 -837
383 	 -624 	 -802
362 	 -658 	 -766
315 	 -656 	 -619
260 	 -591 	 -740
279 	 -542 	 -781
335 	 -650 	 -771
317 	 -680 	 -866
279 	 -658 	 -731
274 	 -579 	 -761
209 	 -518 	 -768
214 	 -559 	 -788
111 	 -605 	 -764
27 	 -629 	 -794
89 	 -600 	 -943
113 	 -798 	 -698
76 	 -922 	 -541
-34 	 -778 	 -630
-79 	 -788 	 -511
-188 	 -794 	 -511
-219 	 -718 	 -738
-141 	 -699 	 -988
-114 	 -729 	 -982
-151 	 -722 	 -859
-93 	 -734 	 -848
62 	 -688 	 -867
78 	 -607 	 -732
35 	 -578 	 -687
45 	 -544 	 -764
92 	 -554 	 -597
70 	 -639 	 -566
108 	 -603 	 -812
205 	 -595 	 -912
262 	 -645 	 -684
270 	 -621 	 -644
302 	 -654 	 -673
225 	 -674 	 -764
199 	 -710 	 -934
199 	 -806 	 -906
109 	 -819 	 -838
-40 	 -677 	 -624
-35 	 -598 	 -656
-65 	 -603 	 -761
-158 	 -601 	 -709
-22 	 -680 	 -636
37 	 -686 	 -819
-115 	 -665 	 -745
-143 	 -693 	 -755
-135 	 -554 	 -864
-102 	 -634 	 -666
-63 	 -663 	 -907
-143 	 -600 	 -974
-191 	 -702 	 -527
-263 	 -709 	 -812
-243 	 -565 	 -958
-137 	 -693 	 -666
35 	 -804 	 -771
7 	 -673 	 -855
21 	 -700 	 -924
-34 	 -581 	 -996
-73 	 -512 	 -719
86 	 -618 	 -717
100 	 -494 	 -862
102 	 -521 	 -757
198 	 -561 	 -729
204 	 -532 	 -743
181 	 -453 	 -792
243 	 -457 	 -792
364 	 -524 	 -845
426 	 -562 	 -763
392 	 -675 	 -639
249 	 -645 	 -747
180 	 -624 	 -859
236 	 -717 	 -850
182 	 -685 	 -854
60 	 -605 	 -914
-22 	 -595 	 -845
-104 	 -564 	 -828
-172 	 -519 	 -892
-202 	 -498 	 -943
-221 	 -495 	 -893
-247 	 -486 	 -947
-262 	 -498 	 -917
-132 	 -561 	 -891
-55 	 -555 	 -993
-52 	 -492 	 -974
-71 	 -489 	 -816
-69 	 -488 	 -850
-49 	 -482 	 -950
-35 	 -485 	 -936
-22 	 -490 	 -899
-19 	 -454 	 -906
-7 	 -482 	 -939
16 	 -482 	 -1028
10 	 -456 	 -1004
-19 	 -379 	 -1000
3 	 -304 	 -1018
49 	 -394 	 -832
66 	 -459 	 -736
55 	 -524 	 -696
24 	 -657 	 -720
9 	 -659 	 -915
-61 	 -646 	 -999
-123 	 -561 	 -1013
-192 	 -526 	 -819
-239 	 -508 	 -740
-277 	 -534 	 -715
-326 	 -468 	 -921
-363 	 -454 	 -927
-415 	 -541 	 -793
-384 	 -518 	 -960
-318 	 -484 	 -1070
-343 	 -435 	 -918
-307 	 -421 	 -759
-205 	 -469 	 -812
-187 	 -505 	 -811
-185 	 -543 	 -848
-216 	 -562 	 -881
-267 	 -622 	 -933
-232 	 -655 	 -1153
-243 	 -642 	 -1091
-241 	 -594 	 -1027
-193 	 -539 	 -977
-120 	 -523 	 -917
-63 	 -468 	 -911
-66 	 -420 	 -797
-55 	 -477 	 -676
-100 	 -503 	 -755
-132 	 -600 	 -750
-201 	 -618 	 -1057
-250 	 -590 	 -1099
-274 	 -644 	 -984
-301 	 -468 	 -1134
-306 	 -449 	 -942
-267 	 -514 	 -870
-186 	 -410 	 -1055
-221 	 -333 	 -889
-258 	 -467 	 -659
-186 	 -568 	 -803
-208 	 -550 	 -1232
-288 	 -375 	 -1256
-187 	 -359 	 -800
-72 	 -480 	 -671
-118 	 -520 	 -702
-153 	 -589 	 -849
-77 	 -622 	 -914
-67 	 -558 	 -928
-129 	 -494 	 -807
-175 	 -607 	 -804
-105 	 -586 	 -865
-61 	 -502 	 -894
-140 	 -470 	 -801
-148 	 -530 	 -674
-71 	 -616 	 -679
-118 	 -636 	 -720
-189 	 -679 	 -923
-175 	 -537 	 -1206
-104 	 -366 	 -1069
-46 	 -315 	 -733
-16 	 -391 	 -564
-61 	 -506 	 -593
-83 	 -721 	 -950
61 	 -620 	 -1623
-70 	 -364 	 -1391
-115 	 -444 	 -883
-20 	 -495 	 -770
-12 	 -487 	 -778
-93 	 -490 	 -789
-68 	 -466 	 -977
-11 	 -348 	 -1029
-50 	 -364 	 -801
-63 	 -425 	 -682
-105 	 -524 	 -667
-42 	 -613 	 -967
-3 	 -561 	 -1383
-63 	 -396 	 -1266
-78 	 -381 	 -884
-46 	 -394 	 -707
-43 	 -471 	 -715
-23 	 -464 	 -950
-133 	 -479 	 -973
-53 	 -509 	 -1086
-26 	 -502 	 -1153
-18 	 -490 	 -1146
41 	 -447 	 -1048
68 	 -405 	 -869
70 	 -414 	 -692
87 	 -517 	 -622
45 	 -560 	 -709
32 	 -576 	 -945
-56 	 -484 	 -1215
-101 	 -428 	 -1119
-61 	 -454 	 -849
-132 	 -511 	 -739
-130 	 -529 	 -953
-92 	 -533 	 -1182
-49 	 -445 	 -1308
-67 	 -341 	 -1140
-20 	 -349 	 -864
21 	 -384 	 -829
54 	 -445 	 -938
131 	 -507 	 -951
120 	 -449 	 -1068
10 	 -315 	 -1182
118 	 -273 	 -1106
209 	 -266 	 -861
172 	 -303 	 -579
135 	 -424 	 -453
4 	 -455 	 -562
-16 	 -512 	 -936
97 	 -481 	 -1481
-49 	 -379 	 -1174
-65 	 -357 	 -807
-104 	 -396 	 -688
-107 	 -484 	 -808
-59 	 -558 	 -1187
-20 	 -447 	 -1577
-107 	 -360 	 -1271
45 	 -443 	 -911
91 	 -496 	 -631
117 	 -447 	 -876
96 	 -364 	 -1034
131 	 -429 	 -915
176 	 -465 	 -895
61 	 -487 	 -946
6 	 -487 	 -1053
103 	 -696 	 -1189
182 	 -347 	 -1738
-30 	 -123 	 -1108
68 	 -297 	 -543
88 	 -407 	 -518
72 	 -541 	 -755
-20 	 -567 	 -1006
-99 	 -477 	 -1263
-54 	 -541 	 -1094
-13 	 -571 	 -991
-49 	 -410 	 -946
-19 	 -265 	 -704
-3 	 -320 	 -657
-6 	 -352 	 -668
-113 	 -378 	 -673
-118 	 -384 	 -907
-33 	 -507 	 -1098
-21 	 -430 	 -1286
-39 	 -363 	 -1161
-39 	 -328 	 -1031
-48 	 -273 	 -991
-18 	 -313 	 -987
-8 	 -408 	 -1005
22 	 -468 	 -1025
65 	 -498 	 -994
77 	 -570 	 -1026
124 	 -489 	 -1143
104 	 -412 	 -927
56 	 -378 	 -777
42 	 -326 	 -798
36 	 -320 	 -834
10 	 -341 	 -904
-48 	 -434 	 -961
64 	 -517 	 -1371
53 	 -285 	 -1267
-33 	 -272 	 -905
-19 	 -382 	 -842
7 	 -518 	 -878
45 	 -483 	 -933
-21 	 -497 	 -895
-28 	 -534 	 -1044
-18 	 -463 	 -1082
33 	 -417 	 -1011
106 	 -407 	 -759
127 	 -338 	 -854
27 	 -290 	 -936
31 	 -353 	 -1100
-167 	 -328 	 -908
-361 	 -376 	 -563
-103 	 -575 	 -796
44 	 -587 	 -1146
-90 	 -502 	 -1117
-93 	 -522 	 -944
36 	 -438 	 -1161
35 	 -350 	 -1150
90 	 -508 	 -849
52 	 -538 	 -835
5 	 -538 	 -908
13 	 -624 	 -691
52 	 -539 	 -1006
106 	 -400 	 -1027
82 	 -499 	 -721
64 	 -578 	 -650
16 	 -424 	 -867
115 	 -398 	 -1009
182 	 -393 	 -1028
155 	 -357 	 -1042
117 	 -429 	 -823
144 	 -509 	 -940
172 	 -399 	 -1077
152 	 -409 	 -997
121 	 -423 	 -1090
109 	 -419 	 -1010
135 	 -491 	 -786
127 	 -448 	 -829
156 	 -412 	 -936
158 	 -431 	 -686
134 	 -484 	 -801
166 	 -432 	 -1035
183 	 -514 	 -836
208 	 -558 	 -975
187 	 -434 	 -1272
213 	 -443 	 -1048
230 	 -515 	 -734
228 	 -467 	 -873
235 	 -421 	 -788
175 	 -474 	 -741
192 	 -496 	 -924
201 	 -515 	 -976
181 	 -568 	 -778
170 	 -546 	 -763
145 	 -480 	 -905
199 	 -467 	 -927
215 	 -458 	 -1009
202 	 -465 	 -846
211 	 -500 	 -904
252 	 -498 	 -955
262 	 -542 	 -1007
197 	 -497 	 -1030
216 	 -610 	 -758
219 	 -614 	 -874
180 	 -540 	 -1015
173 	 -564 	 -947
201 	 -533 	 -980
190 	 -418 	 -750
94 	 -467 	 -447
1 	 -455 	 -730
68 	 -457 	 -849
118 	 -620 	 -881
64 	 -599 	 -1091
13 	 -663 	 -815
79 	 -795 	 -696
140 	 -684 	 -1017
134 	 -608 	 -976
123 	 -595 	 -864
112 	 -540 	 -864
132 	 -617 	 -747
127 	 -640 	 -696
101 	 -584 	 -776
124 	 -604 	 -774
182 	 -619 	 -811
201 	 -588 	 -769
210 	 -574 	 -728
210 	 -591 	 -748
203 	 -597 	 -732
219 	 -649 	 -713
180 	 -629 	 -837
158 	 -697 	 -838
191 	 -695 	 -948
261 	 -676 	 -1024
342 	 -615 	 -919
299 	 -586 	 -687
299 	 -496 	 -675
334 	 -476 	 -749
227 	 -567 	 -775
-62 	 -701 	 -659
-19 	 -700 	 -925
138 	 -601 	 -965
20 	 -566 	 -834
55 	 -442 	 -853
211 	 -327 	 -889
287 	 -580 	 -904
158 	 -363 	 -900
-32 	 -373 	 -1036
34 	 -279 	 -890
152 	 -348 	 -795
167 	 -280 	 -916
118 	 -290 	 -920
174 	 -261 	 -917
220 	 10 	 -1237
208 	 36 	 -1011
95 	 -222 	 -898
229 	 -93 	 -1083
240 	 -8 	 -1029
212 	 -52 	 -932
239 	 -36 	 -1075
243 	 -104 	 -1003
216 	 69 	 -1239
153 	 -10 	 -1168
58 	 -43 	 -1052
66 	 10 	 -1156
9 	 7 	 -1063
-13 	 47 	 -1035
-74 	 -54 	 -785
-139 	 75 	 -955
-45 	 308 	 -1350
61 	 195 	 -1179
196 	 -66 	 -858
244 	 -245 	 -714
366 	 -273 	 -716
432 	 96 	 -1162
610 	 200 	 -1278
695 	 -67 	 -875
644 	 -55 	 -805
538 	 -30 	 -683
542 	 102 	 -623
456 	 109 	 -494
617 	 368 	 -259
779 	 555 	 -21
879 	 708 	 211
786 	 829 	 152
882 	 1117 	 -321
962 	 1334 	 -639
890 	 1250 	 -510
1014 	 1011 	 -444
955 	 932 	 -560
962 	 1028 	 -548
847 	 883 	 -319
491 	 934 	 -403
344 	 960 	 -625
144 	 924 	 -657
-43 	 958 	 -566
-90 	 852 	 -612
-53 	 668 	 -659
-70 	 641 	 -790
-86 	 683 	 -722
-4 	 560 	 -700
-99 	 627 	 -789
-308 	 413 	 -385
-396 	 575 	 -300
-396 	 821 	 -852
-417 	 870 	 -859
