STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
  -0.005429000	  -0.032757000	   1.014308000	 157.500000000	-962.500000000	-411.250000000	
  -0.004270000	  -0.032635000	   1.015345000	 122.500000000	-962.500000000	-463.750000000	
  -0.004636000	  -0.032086000	   1.014247000	 157.500000000	-927.500000000	-446.250000000	
  -0.005368000	  -0.032208000	   1.016870000	 140.000000000	-936.250000000	-446.250000000	
  -0.004758000	  -0.031537000	   1.014674000	 140.000000000	-910.000000000	-428.750000000	
  -0.004392000	  -0.031903000	   1.014674000	 131.250000000	-918.750000000	-446.250000000	
  -0.004697000	  -0.032208000	   1.015040000	 166.250000000	-945.000000000	-428.750000000	
  -0.004758000	  -0.031659000	   1.014125000	 157.500000000	-936.250000000	-498.750000000	
  -0.004758000	  -0.031842000	   1.014430000	 157.500000000	-936.250000000	-446.250000000	
  -0.005185000	  -0.032940000	   1.014796000	 192.500000000	-866.250000000	-420.000000000	
  -0.005063000	  -0.031171000	   1.014918000	 148.750000000	-901.250000000	-463.750000000	
  -0.004880000	  -0.032452000	   1.015894000	 183.750000000	-866.250000000	-428.750000000	
  -0.006405000	  -0.032574000	   1.016931000	 157.500000000	-962.500000000	-420.000000000	
  -0.005124000	  -0.031964000	   1.015101000	  96.250000000	-953.750000000	-455.000000000	
  -0.005612000	  -0.031171000	   1.015223000	 175.000000000	-892.500000000	-428.750000000	
  -0.004148000	  -0.032635000	   1.014003000	 122.500000000	-945.000000000	-490.000000000	
  -0.003965000	  -0.032391000	   1.013515000	 157.500000000	-945.000000000	-446.250000000	
  -0.004453000	  -0.031720000	   1.014796000	 140.000000000	-980.000000000	-446.250000000	
  -0.005002000	  -0.032330000	   1.015101000	 210.000000000	-927.500000000	-420.000000000	
  -0.004514000	  -0.031720000	   1.016382000	 157.500000000	-892.500000000	-437.500000000	
  -0.004636000	  -0.031720000	   1.015711000	 192.500000000	-840.000000000	-420.000000000	
  -0.005002000	  -0.031476000	   1.015528000	 192.500000000	-997.500000000	-393.750000000	
  -0.005673000	  -0.031476000	   1.014369000	 166.250000000	-953.750000000	-472.500000000	
  -0.005124000	  -0.031354000	   1.014430000	 131.250000000	-953.750000000	-455.000000000	
  -0.005246000	  -0.031842000	   1.014552000	 131.250000000	-962.500000000	-428.750000000	
  -0.004758000	  -0.032696000	   1.015223000	 113.750000000	-910.000000000	-455.000000000	
  -0.004758000	  -0.032574000	   1.016138000	  61.250000000	-953.750000000	-446.250000000	
  -0.004941000	  -0.031964000	   1.014491000	  96.250000000	-918.750000000	-411.250000000	
  -0.004697000	  -0.031781000	   1.016626000	 183.750000000	-883.750000000	-420.000000000	
  -0.004697000	  -0.031842000	   1.014857000	 166.250000000	-892.500000000	-455.000000000	
  -0.003904000	  -0.032269000	   1.015833000	 175.000000000	-892.500000000	-472.500000000	
  -0.004453000	  -0.032025000	   1.013942000	 210.000000000	-927.500000000	-507.500000000	
  -0.005307000	  -0.032208000	   1.016748000	 148.750000000	-892.500000000	-402.500000000	
  -0.004758000	  -0.032879000	   1.015467000	 140.000000000	-910.000000000	-428.750000000	
  -0.004697000	  -0.032025000	   1.015284000	 131.250000000	-918.750000000	-463.750000000	
  -0.004697000	  -0.032452000	   1.016382000	 131.250000000	-953.750000000	-446.250000000	
  -0.004514000	  -0.032086000	   1.014735000	 183.750000000	-945.000000000	-446.250000000	
  -0.005002000	  -0.032025000	   1.015711000	 140.000000000	-962.500000000	-481.250000000	
  -0.004331000	  -0.032269000	   1.014186000	 122.500000000	-953.750000000	-437.500000000	
  -0.005246000	  -0.032330000	   1.015833000	 245.000000000	-910.000000000	-446.250000000	
  -0.003538000	  -0.031720000	   1.013149000	 227.500000000	-962.500000000	-420.000000000	
  -0.004453000	  -0.032208000	   1.015772000	 148.750000000	-945.000000000	-420.000000000	
  -0.005246000	  -0.032086000	   1.013759000	 166.250000000	-901.250000000	-437.500000000	
  -0.005429000	  -0.032330000	   1.015894000	 175.000000000	-892.500000000	-402.500000000	
  -0.005551000	  -0.031476000	   1.014918000	 157.500000000	-918.750000000	-393.750000000	
