STEVAL-STWINKT1 (ISM330DHCX) 


A_X [g]	A_Y [g]	A_Z [g]	G_X [mdps]	G_Y [mdps]	G_Z [mdps]	
   0.666364000	  -0.071858000	   0.886757000	-3272.500000000	-122.500000000	-577.500000000	
  -0.356850000	  -0.365634000	   0.918416000	-385.000000000	8636.250000000	6002.500000000	
  -0.524661000	   0.225273000	   1.126670000	4340.000000000	-5906.250000000	-2826.250000000	
   0.623176000	   0.152927000	   1.012051000	-1032.500000000	-8470.000000000	-5871.250000000	
   0.249978000	  -0.369904000	   0.980819000	-3255.000000000	7078.750000000	3911.250000000	
  -0.821365000	  -0.015433000	   0.971669000	3018.750000000	4086.250000000	3561.250000000	
   0.104615000	   0.199531000	   1.185474000	1750.000000000	-11768.750000000	-7078.750000000	
   0.689727000	  -0.043859000	   0.884805000	-3071.250000000	-735.000000000	-1163.750000000	
  -0.306403000	  -0.377590000	   0.931653000	-621.250000000	8680.000000000	6107.500000000	
  -0.575718000	   0.219478000	   1.120021000	4191.250000000	-4996.250000000	-2275.000000000	
   0.590602000	   0.163846000	   1.027911000	-682.500000000	-9065.000000000	-6107.500000000	
   0.297558000	  -0.355630000	   0.975268000	-3535.000000000	6615.000000000	3578.750000000	
  -0.802760000	  -0.042700000	   0.970510000	2861.250000000	4742.500000000	4016.250000000	
   0.045811000	   0.198738000	   1.186084000	1960.000000000	-11532.500000000	-6868.750000000	
   0.706197000	  -0.016958000	   0.881999000	-2835.000000000	-1426.250000000	-1732.500000000	
  -0.253150000	  -0.396134000	   0.931287000	-1146.250000000	8653.750000000	6002.500000000	
  -0.621529000	   0.214842000	   1.107516000	4427.500000000	-4077.500000000	-1758.750000000	
   0.560834000	   0.164639000	   1.052372000	-551.250000000	-9485.000000000	-6510.000000000	
   0.340929000	  -0.325496000	   0.964105000	-3508.750000000	5976.250000000	3228.750000000	
  -0.775920000	  -0.078934000	   0.967033000	2808.750000000	5416.250000000	4366.250000000	
  -0.014274000	   0.205143000	   1.182241000	2161.250000000	-11226.250000000	-6623.750000000	
   0.714615000	   0.006344000	   0.894260000	-2485.000000000	-2406.250000000	-2170.000000000	
  -0.194346000	  -0.413458000	   0.935313000	-1837.500000000	8575.000000000	5976.250000000	
  -0.665693000	   0.209535000	   1.089216000	4795.000000000	-3193.750000000	-1102.500000000	
   0.521184000	   0.164090000	   1.074332000	-638.750000000	-9983.750000000	-6798.750000000	
   0.388448000	  -0.291336000	   0.953918000	-3351.250000000	5442.500000000	2905.000000000	
  -0.737429000	  -0.126758000	   0.961787000	2353.750000000	5888.750000000	4777.500000000	
  -0.078507000	   0.211731000	   1.173640000	2152.500000000	-11033.750000000	-6282.500000000	
   0.716628000	   0.033916000	   0.893528000	-2178.750000000	-3132.500000000	-2712.500000000	
  -0.134139000	  -0.423828000	   0.954223000	-2248.750000000	8575.000000000	5810.000000000	
