#Format version: 1.0,,,
time[ms],AccX[g],AccY[g],AccZ[g]
41511400,-0.106,-1.969,0.416
41511440,-2.699,1.889,-2.381
41511480,-3.403,3.99,-2.809
41511510,-1.644,2.284,-1.325
41511550,-0.477,-1.343,0.073
41511590,1.367,-3.585,2.541
41511630,1.367,-3.585,2.541
41511670,1.249,-3.758,2.868
41511700,-0.738,-1.685,-0.273
41511740,-3.6,3.144,-3.278
41511780,-2.95,3.913,-2.04
41511820,-1.322,0.812,-1.092
41511850,0.049,-2.591,0.715
41511890,2.26,-3.981,3.41
41511930,0.198,-3.333,1.188
41511970,-2.809,1.011,-1.841
41512010,-3.715,3.982,-2.73
41512050,-1.868,2.709,-1.394
