A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
252.784 	 950.136 	 -131.76 	-4.48 	 -38.29 	 18.9 	
256.688 	 953.064 	 -138.104 	-1.05 	 -27.44 	 15.68 	
255.224 	 949.16 	 -143.96 	0.63 	 -17.57 	 9.87 	
223.992 	 951.6 	 -142.008 	2.1 	 -11.27 	 5.74 	
245.464 	 953.552 	 -146.4 	2.8 	 -5.95 	 2.59 	
215.696 	 963.8 	 -147.376 	3.01 	 -2.66 	 2.66 	
231.312 	 961.848 	 -153.232 	2.24 	 -0.77 	 1.19 	
217.16 	 950.624 	 -151.28 	0.63 	 1.75 	 -2.94 	
203.496 	 964.288 	 -142.008 	-1.12 	 1.47 	 -13.16 	
177.632 	 942.816 	 -123.464 	-5.67 	 0.63 	 -42.56 	
173.24 	 918.416 	 -107.848 	-11.2 	 -2.17 	 -86.73 	
161.528 	 965.752 	 -123.464 	-14.14 	 0.14 	 -107.8 	
23.424 	 1005.28 	 -131.76 	-6.37 	 8.47 	 -84.77 	
-198.128 	 986.248 	 -112.24 	5.25 	 1.96 	 -22.89 	
-22.448 	 1004.3 	 -121.024 	14.35 	 -5.11 	 24.01 	
101.016 	 955.992 	 -134.2 	22.61 	 1.82 	 59.5 	
28.304 	 955.992 	 -132.736 	29.82 	 11.62 	 70.07 	
53.192 	 1021.38 	 -153.232 	24.01 	 6.86 	 47.18 	
105.896 	 995.52 	 -179.584 	4.83 	 -2.45 	 -7.77 	
128.344 	 986.736 	 -176.656 	-12.53 	 -2.45 	 -51.94 	
-3.416 	 982.832 	 -148.84 	-23.03 	 -3.99 	 -77.56 	
-8.296 	 1019.43 	 -157.136 	-27.3 	 -8.19 	 -68.39 	
-99.064 	 918.904 	 -145.912 	-11.62 	 -11.13 	 -20.79 	
-75.152 	 1000.89 	 -122.976 	5.67 	 -10.99 	 26.25 	
24.4 	 965.264 	 -143.96 	15.82 	 -6.02 	 55.23 	
78.08 	 948.184 	 -171.776 	20.58 	 4.06 	 62.86 	
