#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
553104492,-4,-12,1010,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
553143698,-3,-11,1004,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
553184995,-3,-12,1008,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
553224193,-3,-11,1005,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
553263716,-3,-11,1007,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
553303139,-4,-12,1005,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
553342818,-3,-11,1007,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
553382016,-3,-11,1005,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
553421757,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
553460964,-4,-12,1005,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
553500705,-3,-11,1005,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
553540686,-3,-12,1006,,,,,,,,,,0x05a,,,,,,,,,,,,,,,,,,,,,,,,,,
553580777,-3,-11,1006,,,,,,,,,,0x00c,,,,,,,,,,,,,,,,,,,,,,,,,,
553620201,-4,-11,1005,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
553659725,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
553699147,-3,-12,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
553738670,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
553779425,-3,-11,1005,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
553819168,-3,-11,1005,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
553858372,-3,-11,1005,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
553898114,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
553937313,-3,-12,1007,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
553976836,-4,-11,1004,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
554018140,-4,-12,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
554057348,-3,-11,1005,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
554096545,-4,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
554136286,-3,-11,1005,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
554175493,-4,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
554215236,-4,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
554254441,-3,-11,1005,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
554295515,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
554334938,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
554374616,-3,-11,1006,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
554414039,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
554453564,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
554492762,-3,-12,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
554532504,-4,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
554572486,-4,-11,1005,,,,,,,,,,0x05a,,,,,,,,,,,,,,,,,,,,,,,,,,
554612804,-3,-11,1007,,,,,,,,,,0x02c,,,,,,,,,,,,,,,,,,,,,,,,,,
554652011,-4,-11,1005,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
554691527,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
554730951,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
554770475,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
554811230,-4,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
554850974,-3,-11,1005,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
554890172,-3,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
554929912,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
554969118,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
555008635,-3,-11,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
555048058,-3,-12,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
555089135,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
555128559,-3,-11,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
555168085,-3,-11,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
555207283,-4,-11,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
555247025,-4,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
555286232,-3,-11,1006,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
555325974,-3,-11,1006,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
555366738,-3,-11,1007,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
555406408,-3,-11,1005,,,,,,,,,,0x009,,,,,,,,,,,,,,,,,,,,,,,,,,
555445830,2,-2,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
555485354,3,-13,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
555524775,-8,-30,1006,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
555564302,-9,-1,1006,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
555603501,-1,-21,1006,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
555644020,-8,0,1007,,,,,,,,,,0x02a,,,,,,,,,,,,,,,,,,,,,,,,,,
555683802,0,-19,1008,,,,,,,,,,0x05c,,,,,,,,,,,,,,,,,,,,,,,,,,
555723319,-11,-20,1011,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
555762751,0,-11,1027,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
555802268,-25,0,994,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
555841690,-21,20,997,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
555881214,-16,11,1005,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
555921968,-26,10,1003,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
555961715,-10,16,1013,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
556000914,-21,18,1010,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
556040654,-24,40,1029,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
556079860,-17,31,1021,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
556119375,-17,44,1022,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
556158798,-23,46,999,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
556198324,-11,21,987,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
556239303,-14,53,994,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
556278828,0,38,1001,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
556318025,-5,30,989,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
556357768,0,46,1015,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
556396973,-2,46,1004,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
556436643,-7,48,991,,,,,,,,,,0x009,,,,,,,,,,,,,,,,,,,,,,,,,,
556476076,-12,45,997,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
556515592,1,46,1019,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
556556571,-2,42,1016,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
556596097,-1,31,1004,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
556635296,8,33,1013,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
556674267,1,10,1002,,,,,,,,,,0x06a,,,,,,,,,,,,,,,,,,,,,,,,,,
556714041,19,21,1026,,,,,,,,,,0x01c,,,,,,,,,,,,,,,,,,,,,,,,,,
556753781,4,8,1009,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
556794542,20,21,1015,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
556834058,9,7,1000,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
556873491,16,10,1002,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
556913008,34,-7,1006,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
