#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
637916300,-4,-89,-1001,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
637955722,-33,-78,-970,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
637995245,-5,-69,-1003,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
638036221,-5,-77,-1017,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
638075748,-33,-75,-985,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
638114946,8,-72,-1021,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
638154688,19,-58,-999,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
638193894,0,-79,-988,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
638233412,34,-56,-993,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
638274399,25,-64,-986,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
638313914,43,-48,-990,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
638353338,59,-53,-1003,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
638392862,29,-56,-966,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
638432061,53,-40,-981,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
638471802,76,-51,-1022,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
638512555,39,-63,-983,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
