#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
10390463983,115,123,1248,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10390503507,104,64,1066,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10390542933,131,23,938,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10390582459,120,-21,782,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10390621658,115,-36,664,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10390661549,76,-41,663,,,,,,,,,,0x009,,,,,,,,,,,,,,,,,,,,,,,,,,
10390702312,88,-84,847,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10390742055,165,-92,1156,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10390781261,195,-16,1360,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10390820779,167,0,1326,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10390860204,151,80,1227,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10390899729,147,127,1090,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10390939153,142,72,900,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10390980235,147,45,734,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10391019435,114,20,576,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10391059179,110,-45,529,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10391098385,67,-158,682,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10391138128,129,-174,1095,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10391177338,173,-34,1504,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10391218407,157,176,1553,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10391257833,111,106,1276,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10391297358,108,62,1094,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10391336783,150,57,985,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10391375522,136,-8,755,,,,,,,,,,0x04e,,,,,,,,,,,,,,,,,,,,,,,,,,
10391415290,132,-45,555,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10391455030,59,-66,585,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10391495794,146,-165,972,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10391535311,254,-51,1469,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10391574734,207,112,1536,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10391614259,174,49,1215,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10391653683,129,25,928,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10391693364,138,1,766,,,,,,,,,,0x049,,,,,,,,,,,,,,,,,,,,,,,,,,
10391734118,106,-26,615,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10391773859,79,-62,536,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10391813065,55,-71,675,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10391852806,122,-67,1023,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10391892015,165,-10,1351,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10391931532,233,68,1542,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10391972835,159,137,1401,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10392012043,142,111,1139,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10392051466,96,52,860,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10392090992,110,-25,648,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10392130188,113,-42,559,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10392169931,75,-106,594,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10392211018,129,-224,897,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10392250219,249,-139,1354,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10392289642,261,55,1546,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10392329160,211,73,1341,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10392368584,155,59,1091,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10392408887,158,7,937,,,,,,,,,,0x04a,,,,,,,,,,,,,,,,,,,,,,,,,,
10392448662,133,-41,772,,,,,,,,,,0x01c,,,,,,,,,,,,,,,,,,,,,,,,,,
10392488404,121,-48,675,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
