# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[LSB],acc_y[LSB],acc_z[LSB]
7812271,-601,253,1978
7820622,-596,251,1961
7828964,-582,263,1943
7837313,-580,267,1944
7845655,-576,260,1940
7853998,-565,260,1932
7862341,-554,292,1935
7870691,-551,316,1978
7879034,-560,290,2020
7887377,-575,274,2006
7895728,-583,253,1975
7904070,-610,234,1941
7912412,-596,227,1928
7920763,-580,237,1910
7929105,-561,254,1900
7937454,-551,274,1915
7945796,-546,278,1916
7954139,-548,280,1917
7962481,-554,272,1937
7970833,-570,259,1957
7979175,-576,252,1962
7987516,-574,247,1954
7995868,-569,253,1942
8004210,-566,253,1937
8012554,-559,256,1938
8020897,-558,261,1956
8029248,-572,265,1966
8037591,-577,260,1981
8045934,-589,257,1979
8054277,-595,263,1968
8062627,-591,263,1962
8070970,-587,258,1961
8079313,-574,260,1960
8087663,-568,256,1963
8096005,-570,249,1965
8104347,-567,257,1956
8112698,-567,274,1948
8121040,-574,266,1956
8129383,-585,248,1967
8137733,-588,245,1982
8146076,-582,250,1978
8154418,-577,258,1980
8162760,-573,263,1979
8171111,-556,282,1969
8179454,-567,298,1951
8187796,-563,301,1946
8196147,-567,275,1949
8204489,-584,236,1964
8212832,-587,234,1962
8221182,-569,249,1949
8229525,-555,255,1935
8237868,-545,258,1934
8246211,-538,261,1924
8254562,-529,264,1916
8262905,-524,271,1916
8271248,-541,270,1935
8279590,-561,255,1948
8287942,-566,239,1955
8296285,-575,239,1951
8304627,-586,236,1953
8312971,-592,230,1949
8321321,-584,250,1947
8329663,-571,263,1958
8338006,-570,264,1972
8346357,-571,263,1988
8354699,-575,262,1981
8363042,-572,265,1955
8371392,-574,262,1949
8379734,-578,252,1960
8388077,-569,247,1969
8396427,-560,262,1957
8404770,-551,278,1936
8413112,-552,279,1934
8421455,-562,267,1954
8429805,-577,259,1979
8438149,-585,259,1999
8446490,-587,264,1993
8454841,-586,271,1966
8463184,-575,254,1958
8471526,-569,253,1949
8479876,-551,270,1935
8488219,-543,291,1937
8496560,-546,284,1958
8504911,-548,275,1960
8513254,-567,272,1953
8521596,-583,250,1950
8529947,-587,234,1951
8538290,-584,237,1950
8546633,-579,243,1955
8554975,-570,249,1949
8563326,-570,252,1936
8571668,-566,257,1926
8580012,-569,256,1930
8588354,-572,254,1949
8596705,-575,261,1980
8605047,-579,270,1998
8613390,-583,276,1998
8621741,-585,265,1994
8630084,-584,256,1989
8638426,-581,246,1986
8646769,-572,246,1970
8655119,-557,256,1942
8663461,-546,277,1917
8671812,-544,286,1921
8680154,-554,274,1938
8688495,-557,255,1955
8696846,-564,264,1953
8705188,-575,274,1964
8713530,-585,256,1984
8721881,-584,248,1979
8730222,-574,258,1961
8738571,-566,256,1959
8746914,-566,249,1960
8755255,-562,246,1958
8763605,-551,266,1936
8771947,-548,279,1933
8780290,-552,268,1933
8788641,-564,259,1956
8796985,-570,248,1970
8805327,-576,254,1965
8813670,-577,259,1960
8822021,-575,253,1957
8830364,-578,250,1953
8838706,-574,251,1947
8847049,-570,259,1940
8855399,-566,255,1948
8863742,-558,260,1963
8872084,-557,272,1975
8880435,-562,276,1965
8888777,-554,268,1958
8897120,-550,267,1946
8905471,-556,275,1948
8913812,-555,273,1957
8922156,-553,262,1970
8930506,-556,267,1954
8938848,-563,274,1929
8947190,-563,254,1935
8955540,-571,236,1948
8963882,-566,240,1940
8972225,-567,258,1932
8980574,-558,279,1920
