# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[LSB],acc_y[LSB],acc_z[LSB]
10481742,-35,-79,2060
10490084,-35,-81,2057
10498436,-35,-81,2059
10506776,-36,-80,2061
10515120,-36,-80,2059
10523470,-38,-82,2060
10531813,-39,-82,2061
10540155,-41,-84,2058
10548497,-40,-84,2057
10556846,-39,-83,2058
10565189,-40,-80,2061
10573539,-39,-80,2060
10581881,-36,-81,2058
10590224,-37,-78,2055
10598566,-35,-80,2057
10606917,-35,-80,2056
10615258,-37,-79,2059
10623608,-37,-81,2059
10631949,-37,-82,2060
10640292,-39,-80,2060
10648635,-37,-82,2059
10656986,-37,-82,2061
10665328,-37,-79,2060
10673670,-37,-82,2056
10682022,-37,-81,2060
10690363,-38,-79,2061
10698704,-39,-77,2062
10707054,-39,-81,2058
10715397,-37,-81,2056
10723740,-38,-79,2057
10732090,-37,-80,2057
10740433,-38,-83,2057
10748776,-37,-82,2057
10757120,-37,-82,2061
10765469,-36,-82,2059
10773811,-36,-82,2062
10782154,-37,-81,2058
10790496,-38,-82,2061
10798847,-39,-80,2058
10807190,-37,-80,2058
10815533,-38,-79,2061
10823876,-39,-80,2056
10832227,-37,-80,2057
10840569,-37,-81,2058
10848911,-37,-80,2062
10857260,-38,-81,2058
10865602,-38,-82,2054
10873945,-38,-82,2059
10882296,-37,-81,2062
10890639,-38,-83,2061
10898981,-38,-83,2058
10907331,-39,-82,2059
10915674,-37,-81,2058
10924017,-37,-81,2059
10932359,-37,-82,2061
10940710,-36,-80,2059
10949052,-37,-79,2055
10957395,-36,-81,2057
10965738,-38,-80,2062
10974088,-37,-79,2059
10982431,-39,-82,2059
10990773,-39,-80,2057
10999117,-38,-79,2055
11007469,-37,-81,2056
11015811,-40,-81,2057
11024155,-38,-80,2059
11032503,-38,-80,2059
11040845,-36,-81,2059
11049188,-35,-78,2063
11057531,-35,-78,2059
11065880,-36,-81,2058
11074222,-36,-81,2058
11082565,-39,-80,2057
11090916,-40,-84,2056
11099259,-43,-84,2059
11107601,-40,-81,2057
11115944,-40,-83,2057
11124293,-39,-84,2056
11132636,-37,-79,2058
11140978,-36,-79,2060
11149329,-35,-80,2059
11157672,-34,-79,2058
11166014,-35,-78,2060
11174357,-38,-81,2062
11182708,-38,-81,2058
11191050,-39,-81,2058
11199393,-40,-83,2056
11207741,-39,-84,2059
11216084,-39,-81,2061
11224426,-39,-82,2059
11232777,-37,-83,2055
11241121,-37,-81,2055
11249463,-38,-79,2059
11257806,-37,-81,2060
11266157,-37,-80,2058
11274500,-38,-82,2057
11282844,-38,-81,2059
11291187,-39,-81,2060
11299530,-39,-79,2059
11307881,-38,-81,2057
11316225,-38,-80,2058
11324567,-36,-81,2057
11332910,-36,-82,2059
11341261,-36,-80,2058
11349603,-36,-81,2061
11357945,-37,-82,2059
11366288,-35,-81,2058
11374640,-37,-81,2058
11382982,-37,-81,2059
11391324,-38,-80,2060
11399675,-41,-81,2060
11408017,-38,-82,2060
