# STEVAL-MKI227KA (LSM6DSV16X) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
86380334,-493.856,1892.464,2713.280
86388677,-516.304,1460.096,2241.872
86397019,-604.144,1110.688,1825.120
86405362,-653.432,854.000,1506.456
86413705,-695.888,581.696,1216.096
86422056,-685.640,398.696,765.672
86430399,-566.080,285.480,260.104
86438741,-376.248,28.792,-215.208
86447085,-628.544,-1051.152,-612.928
86455428,-47.336,-202.032,-1860.744
86463771,-492.880,-546.072,-1131.672
86472114,480.680,-30.256,-2051.552
86480457,507.032,-699.304,-2417.552
86488808,613.416,-988.200,-3224.216
86497151,722.240,-1153.632,-3600.952
86505494,823.256,-1107.272,-3804.936
86513836,829.112,-1369.816,-3726.856
86522179,751.032,-1682.624,-3468.704
86530521,602.680,-1299.056,-3070.496
86538872,449.936,-998.936,-2612.264
86547214,383.568,-708.576,-2318.488
86555557,273.768,-376.248,-1827.560
86563899,177.632,211.792,-1270.752
86572242,216.184,251.808,-631.472
86580593,-78.568,1006.744,32.696
86588935,-321.104,1191.208,974.048
86597277,-856.928,1594.296,1811.456
86605620,-1112.152,1969.568,2801.120
86613963,-1316.136,2499.536,3628.280
86622313,-1126.792,3089.040,4768.248
86630655,-981.368,3631.696,5779.872
86638998,-1119.960,3461.384,6496.256
86647341,-1296.128,3266.672,6020.456
86655684,-962.824,4063.576,5031.280
86664027,-670.512,3297.416,4514.976
86672370,-642.696,2709.864,4140.192
86680721,-790.560,2213.080,3294.488
86689065,-539.728,2265.296,2575.664
86697407,-526.064,1694.336,2252.120
86705751,-593.896,1207.800,1858.792
86714093,-540.216,738.344,1376.160
86722435,-474.336,486.536,673.928
86730778,-458.720,416.264,95.160
86739128,-85.400,294.752,-368.928
86747470,-59.536,-129.808,-769.576
86755813,38.552,-127.368,-1268.312
86764156,225.456,-294.752,-1674.816
86772498,199.592,-302.072,-2198.928
86780849,88.816,-387.960,-2941.664
86789191,246.928,-550.952,-4120.672
86797534,444.568,-1006.256,-4761.416
86805877,313.296,-1620.648,-4304.160
86814219,296.216,-1864.160,-4689.680
86822570,-163.968,-1584.536,-4066.504
86830913,-234.728,-1055.056,-3505.304
86839255,-155.184,-712.480,-2853.824
86847598,-67.832,-381.616,-2262.368
86855940,-149.328,56.120,-1745.088
86864282,-263.032,717.848,-927.688
86872633,-482.144,1302.472,228.384
86880976,-717.360,1948.584,1221.952
86889318,-989.664,2826.984,2726.456
86897660,-913.048,3445.280,3932.792
86906003,-879.864,3911.808,5282.112
86914354,-1202.920,4266.096,6749.528
86922697,-1296.128,4999.560,7725.528
86931040,-805.688,5496.344,7306.824
86939382,-635.376,5190.856,6749.528
86947725,-677.344,4652.104,5792.560
86956069,-664.168,3951.336,4442.752
86964411,-790.072,3164.192,3060.736
86972762,-899.872,2404.376,1943.704
86981105,-921.832,1839.272,1207.312
86989448,-1049.688,1342.000,560.224
86997792,-1039.440,1415.200,-12.688
87006135,-1057.984,-429.440,569.496
87014477,-786.168,4.392,-1242.936
87022820,-524.600,-85.400,-1868.064
87031171,-215.696,-480.192,-2450.248
87039511,-71.248,-1351.760,-3178.344
87047853,-206.424,-1762.656,-4092.368
87056195,89.304,-2220.400,-5359.704
87064545,-284.992,-171.288,-4682.848
87072887,374.784,-1428.864,-3970.368
