A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
203.984 	 971.608 	 -113.216 	-14.14 	 2.52 	 -60.69 	
177.632 	 941.84 	 -114.192 	-19.67 	 -1.19 	 -84.91 	
193.736 	 952.088 	 -110.288 	-14.42 	 -5.32 	 -63.07 	
92.72 	 1002.35 	 -93.208 	-4.69 	 -0.56 	 -8.12 	
91.256 	 983.808 	 -106.872 	5.04 	 3.5 	 33.95 	
116.632 	 1000.4 	 -101.016 	11.69 	 5.39 	 61.39 	
151.28 	 992.104 	 -111.752 	11.06 	 7.7 	 66.15 	
192.272 	 964.776 	 -114.68 	5.25 	 7.63 	 42.77 	
253.272 	 967.704 	 -128.344 	-4.9 	 8.68 	 0.07 	
270.352 	 899.872 	 -117.608 	-9.45 	 7.63 	 -39.34 	
198.128 	 951.112 	 -100.04 	-14 	 5.6 	 -79.31 	
174.216 	 890.112 	 -89.304 	-16.31 	 5.04 	 -98.42 	
68.808 	 1048.22 	 -77.104 	-9.17 	 9.24 	 -49.42 	
-80.032 	 1020.9 	 -67.344 	-2.87 	 9.17 	 -4.83 	
-15.128 	 1039.44 	 -67.832 	3.01 	 4.62 	 23.66 	
21.96 	 1016.99 	 -70.76 	5.46 	 1.96 	 44.52 	
67.832 	 991.616 	 -80.52 	6.09 	 -0.84 	 50.12 	
136.64 	 955.504 	 -82.96 	5.11 	 -1.68 	 44.03 	
174.704 	 951.112 	 -85.4 	3.22 	 -0.42 	 29.4 	
192.272 	 953.552 	 -84.424 	0.49 	 0.7 	 8.33 	
207.4 	 940.376 	 -85.888 	-3.01 	 1.33 	 -16.03 	
198.616 	 958.92 	 -73.688 	-3.99 	 2.17 	 -29.05 	
159.576 	 970.632 	 -78.08 	-2.03 	 4.2 	 -26.25 	
108.336 	 993.08 	 -75.64 	0.77 	 4.2 	 -17.36 	
113.704 	 1001.38 	 -74.664 	1.61 	 2.17 	 -8.54 	
118.096 	 1006.26 	 -83.936 	1.26 	 -0.28 	 0.07 	
134.688 	 989.664 	 -83.448 	1.33 	 -2.45 	 3.85 	
137.616 	 978.44 	 -79.056 	1.82 	 -2.59 	 8.54 	
136.152 	 969.168 	 -85.888 	2.94 	 -2.45 	 13.93 	
145.424 	 958.92 	 -89.304 	5.46 	 -1.96 	 27.93 	
165.92 	 973.56 	 -92.232 	10.36 	 0.49 	 50.4 	
239.12 	 972.584 	 -107.36 	15.26 	 7.56 	 64.96 	
244.976 	 968.68 	 -115.656 	16.45 	 16.24 	 57.4 	
276.208 	 949.648 	 -117.12 	15.05 	 20.79 	 35.91 	
339.648 	 960.872 	 -129.808 	9.45 	 23.66 	 10.99 	
346.48 	 921.344 	 -141.032 	-1.05 	 28.07 	 -18.13 	
291.336 	 935.496 	 -108.336 	-6.3 	 28.84 	 -51.59 	
266.936 	 956.48 	 -99.552 	-15.19 	 28.91 	 -94.01 	
179.584 	 958.432 	 -76.616 	-23.17 	 24.92 	 -117.53 	
225.456 	 961.848 	 -53.192 	-22.96 	 20.3 	 -88.27 	
110.288 	 977.464 	 -36.112 	-9.31 	 27.02 	 -9.8 	
10.248 	 988.2 	 -32.208 	6.86 	 25.83 	 58.59 	
86.864 	 1000.4 	 -36.6 	18.13 	 20.23 	 91.21 	
175.68 	 1014.55 	 -46.36 	16.1 	 13.58 	 78.61 	
270.352 	 972.096 	 -67.344 	3.08 	 14.91 	 30.94 	
219.6 	 910.608 	 -51.24 	-8.89 	 13.37 	 -31.01 	
168.848 	 943.792 	 -33.672 	-16.31 	 7.14 	 -76.44 	
134.688 	 950.624 	 -27.816 	-22.54 	 -0.49 	 -107.66 	
233.264 	 935.496 	 -12.688 	-14.98 	 1.4 	 -85.89 	
-67.832 	 1042.86 	 5.368 	1.12 	 13.09 	 -11.2 	
22.448 	 1009.67 	 -17.568 	14.77 	 9.45 	 44.94 	
93.208 	 1036.02 	 -16.592 	19.88 	 10.5 	 79.45 	
146.4 	 1027.73 	 -35.624 	15.05 	 13.65 	 83.37 	
96.136 	 996.496 	 -36.112 	4.34 	 11.9 	 46.83 	
199.592 	 976 	 -38.552 	-9.31 	 3.5 	 -11.9 	
153.72 	 1013.58 	 -20.496 	-14.42 	 0.7 	 -44.38 	
105.896 	 962.824 	 -14.152 	-18.83 	 -7.07 	 -84.28 	
118.096 	 892.064 	 -4.392 	-17.15 	 -12.39 	 -105.63 	
95.648 	 1002.35 	 5.856 	-4.13 	 -5.74 	 -65.17 	
-83.936 	 1018.46 	 8.784 	5.95 	 0 	 -5.32 	
-101.504 	 1056.03 	 2.928 	10.64 	 -5.04 	 33.39 	
-49.776 	 1063.84 	 -6.344 	8.61 	 -16.24 	 56.49 	
-8.784 	 1003.82 	 -10.736 	3.29 	 -26.95 	 59.57 	
68.808 	 964.288 	 -14.152 	-1.54 	 -38.57 	 43.68 	
110.776 	 936.96 	 -18.544 	-3.99 	 -48.79 	 22.82 	
165.92 	 943.792 	 -13.664 	-3.57 	 -55.58 	 7.91 	
192.272 	 963.8 	 -33.672 	-2.52 	 -52.92 	 1.05 	
161.04 	 996.496 	 -43.92 	-1.26 	 -48.3 	 -2.66 	
136.152 	 998.936 	 -51.24 	-2.31 	 -46.13 	 -2.38 	
160.552 	 1004.3 	 -61.976 	-3.43 	 -44.94 	 3.5 	
151.768 	 990.64 	 -51.728 	-3.22 	 -42.91 	 9.66 	
189.344 	 955.016 	 -61.488 	-2.31 	 -40.04 	 12.32 	
201.544 	 951.6 	 -69.784 	2.03 	 -36.4 	 17.71 	
222.04 	 953.552 	 -64.416 	6.58 	 -32.83 	 32.9 	
215.696 	 953.064 	 -72.712 	9.45 	 -30.31 	 52.01 	
215.696 	 986.736 	 -69.784 	8.96 	 -29.19 	 55.72 	
237.656 	 973.072 	 -89.304 	4.27 	 -28.63 	 32.27 	
317.688 	 958.92 	 -99.064 	-4.97 	 -25.76 	 -13.79 	
256.2 	 975.512 	 -88.328 	-8.68 	 -17.92 	 -48.37 	
191.784 	 924.272 	 -74.176 	-10.08 	 -16.73 	 -93.1 	
120.536 	 958.432 	 -58.072 	-11.2 	 -17.57 	 -125.09 	
133.712 	 947.208 	 -110.288 	-6.02 	 -16.66 	 -102.76 	
-3.904 	 1055.54 	 -81.984 	11.62 	 -10.78 	 2.03 	
-49.776 	 1038.46 	 -98.088 	19.53 	 -11.06 	 60.76 	
41.48 	 1025.29 	 -102.48 	19.25 	 -11.97 	 74.83 	
60.024 	 982.832 	 -108.336 	13.86 	 -14.07 	 46.9 	
130.296 	 919.392 	 -122.976 	7.7 	 -19.88 	 -16.1 	
163.968 	 943.792 	 -133.712 	2.1 	 -21.49 	 -62.3 	
165.432 	 983.808 	 -170.312 	0.14 	 -19.46 	 -69.65 	
-15.128 	 990.152 	 -143.472 	4.62 	 -15.4 	 3.5 	
-38.552 	 1100.93 	 -122.488 	9.94 	 -16.17 	 80.71 	
-20.496 	 1010.65 	 -135.176 	7.56 	 -20.51 	 81.83 	
223.504 	 928.176 	 -158.6 	1.68 	 -18.76 	 -4.34 	
232.776 	 925.248 	 -162.016 	-0.14 	 -7.7 	 -64.19 	
64.904 	 944.28 	 -148.84 	-4.76 	 -6.51 	 -93.94 	
7.32 	 982.344 	 -170.8 	-10.71 	 -13.37 	 -83.16 	
-63.44 	 1026.26 	 -147.864 	-8.96 	 -15.33 	 -34.93 	
-114.192 	 1040.9 	 -148.84 	-6.3 	 -16.24 	 -3.01 	
-57.096 	 1016.02 	 -131.272 	-2.17 	 -10.5 	 13.58 	
-29.28 	 981.368 	 -124.928 	3.36 	 -1.47 	 32.62 	
7.32 	 968.192 	 -136.64 	9.1 	 10.36 	 46.83 	
58.072 	 950.624 	 -154.696 	12.88 	 23.52 	 49.98 	
113.216 	 984.784 	 -181.048 	13.65 	 35.84 	 46.83 	
120.536 	 1003.82 	 -180.072 	11.83 	 45.71 	 37.94 	
139.568 	 990.64 	 -176.168 	7.42 	 51.52 	 23.24 	
135.176 	 973.56 	 -170.312 	3.57 	 53.83 	 13.09 	
185.44 	 971.12 	 -169.336 	0.35 	 57.96 	 6.93 	
179.096 	 958.432 	 -162.016 	0.21 	 62.93 	 2.03 	
168.848 	 955.992 	 -157.136 	2.38 	 66.99 	 -1.82 	
187.88 	 957.944 	 -161.04 	4.06 	 69.09 	 -5.32 	
160.064 	 964.288 	 -137.616 	6.86 	 67.62 	 -5.39 	
143.472 	 980.392 	 -125.904 	7.77 	 60.97 	 -5.39 	
151.768 	 989.664 	 -103.456 	5.18 	 51.17 	 -2.8 	
134.2 	 983.32 	 -98.088 	0.91 	 41.93 	 0.77 	
134.688 	 948.184 	 -81.984 	-1.33 	 31.57 	 1.61 	
165.92 	 956.48 	 -84.424 	1.4 	 23.31 	 6.09 	
177.144 	 960.384 	 -77.592 	4.27 	 18.55 	 11.69 	
192.76 	 957.456 	 -93.208 	7.91 	 15.19 	 17.57 	
199.592 	 1019.92 	 -104.92 	8.12 	 14.21 	 12.53 	
200.568 	 968.68 	 -116.632 	1.19 	 20.58 	 -11.55 	
237.656 	 946.232 	 -110.288 	-0.77 	 21.77 	 -36.33 	
89.792 	 1023.34 	 -101.016 	-9.17 	 17.64 	 -70.28 	
46.848 	 1017.48 	 -85.4 	-23.1 	 2.73 	 -95.27 	
156.648 	 918.904 	 -69.784 	-28.7 	 -14.7 	 -79.31 	
