A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-231.8 	 1158.51 	 -186.904 	10.5 	 55.58 	 -27.23 	
-78.08 	 966.24 	 -212.28 	-7.91 	 -3.99 	 -6.58 	
116.144 	 932.08 	 -231.312 	-9.73 	 -30.66 	 2.31 	
195.688 	 922.808 	 -253.272 	-5.39 	 -28.84 	 4.34 	
125.904 	 943.792 	 -240.584 	-0.91 	 -19.32 	 4.06 	
180.072 	 959.408 	 -255.224 	-0.35 	 -11.76 	 2.31 	
138.104 	 952.088 	 -246.928 	-0.84 	 -3.22 	 0.98 	
132.736 	 957.456 	 -242.048 	-0.7 	 0.14 	 1.12 	
175.68 	 951.112 	 -251.808 	-0.49 	 5.74 	 0.42 	
230.824 	 935.496 	 -261.08 	-0.07 	 15.54 	 -3.01 	
265.472 	 925.736 	 -279.136 	2.31 	 33.81 	 -7.07 	
241.072 	 909.632 	 -287.92 	5.53 	 55.02 	 -12.95 	
220.576 	 920.856 	 -291.336 	9.1 	 73.01 	 -17.57 	
182.024 	 946.232 	 -300.12 	9.59 	 87.43 	 -20.44 	
136.64 	 969.168 	 -285.48 	6.58 	 93.87 	 -21.49 	
108.336 	 972.584 	 -266.936 	2.03 	 95.34 	 -20.3 	
132.248 	 980.88 	 -266.936 	-3.08 	 94.29 	 -16.94 	
77.592 	 941.84 	 -232.776 	-6.16 	 91.14 	 -13.58 	
75.64 	 938.424 	 -203.984 	-4.34 	 84.35 	 -10.22 	
71.248 	 950.624 	 -179.584 	-1.68 	 74.83 	 -7.98 	
21.472 	 968.192 	 -142.496 	-0.56 	 60.34 	 -6.93 	
34.648 	 998.448 	 -123.952 	-1.4 	 41.02 	 -5.81 	
58.072 	 980.88 	 -122 	-3.36 	 20.09 	 -3.92 	
114.192 	 971.12 	 -120.536 	-3.29 	 5.11 	 -1.61 	
142.008 	 959.408 	 -125.904 	-2.03 	 -1.12 	 -0.56 	
190.32 	 960.384 	 -138.592 	-0.14 	 -1.75 	 -0.42 	
197.152 	 944.768 	 -149.816 	1.89 	 5.11 	 -1.75 	
97.6 	 963.8 	 -142.008 	4.41 	 9.24 	 -3.57 	
-84.424 	 1004.79 	 -113.704 	4.76 	 -9.31 	 -4.9 	
-199.592 	 1070.18 	 -129.808 	-2.38 	 -53.41 	 -3.71 	
-208.376 	 1098.98 	 -200.08 	-20.16 	 -115.57 	 -1.47 	
-46.848 	 1017.97 	 -246.44 	-35.49 	 -160.37 	 7.49 	
518.256 	 829.112 	 -273.768 	-31.99 	 -163.59 	 24.15 	
861.32 	 809.592 	 -266.448 	-10.43 	 -73.57 	 17.92 	
698.328 	 836.92 	 -285.48 	12.81 	 49.07 	 -8.89 	
471.408 	 915.976 	 -343.064 	25.83 	 143.36 	 -28.63 	
299.632 	 951.6 	 -389.424 	25.2 	 204.68 	 -31.99 	
35.624 	 942.816 	 -342.576 	26.74 	 230.79 	 -24.57 	
-528.992 	 1068.72 	 -142.008 	17.71 	 195.58 	 -32.76 	
-610 	 1076.53 	 6.344 	2.45 	 74.06 	 -33.25 	
-199.592 	 1055.54 	 -77.104 	-5.46 	 -27.86 	 -10.22 	
-97.6 	 1037 	 -142.984 	-10.36 	 -70.91 	 7.49 	
-353.8 	 982.344 	 -144.448 	-17.92 	 -105.42 	 20.3 	
-201.544 	 1030.17 	 -194.224 	-16.31 	 -164.01 	 27.3 	
181.048 	 876.936 	 -271.328 	-16.94 	 -199.71 	 31.15 	
510.936 	 964.776 	 -284.504 	-17.36 	 -170.59 	 23.94 	
886.696 	 889.624 	 -304.024 	-12.53 	 -90.58 	 14.42 	
858.88 	 822.28 	 -337.208 	6.51 	 50.89 	 -10.5 	
569.496 	 860.344 	 -390.888 	24.36 	 170.66 	 -30.03 	
171.288 	 886.696 	 -492.88 	38.22 	 254.52 	 -41.44 	
-689.544 	 1134.6 	 -216.672 	31.29 	 238.63 	 -43.05 	
-1072.14 	 1150.22 	 54.656 	1.96 	 88.76 	 -31.99 	
-337.208 	 1126.3 	 -69.784 	-20.93 	 -74.34 	 -3.78 	
331.84 	 876.448 	 -183 	-19.67 	 -116.34 	 19.74 	
340.136 	 919.392 	 -155.184 	-4.97 	 -68.18 	 17.22 	
274.256 	 937.448 	 -165.432 	5.18 	 -21.56 	 4.06 	
129.32 	 993.568 	 -139.568 	6.44 	 7.28 	 -2.66 	
36.112 	 992.104 	 -129.32 	2.66 	 14.49 	 -2.87 	
17.568 	 995.52 	 -120.536 	0.7 	 7.56 	 -0.21 	
38.064 	 989.176 	 -122.976 	-0.42 	 0.91 	 2.17 	
60.024 	 970.144 	 -121.512 	0.07 	 -4.06 	 2.38 	
82.472 	 973.56 	 -127.368 	0.84 	 -4.41 	 2.38 	
5.368 	 982.344 	 -116.144 	1.26 	 -5.67 	 2.03 	
-83.936 	 1018.46 	 -109.8 	0.84 	 -20.37 	 4.41 	
-162.504 	 1003.82 	 -98.576 	-0.56 	 -50.75 	 11.62 	
-190.32 	 1034.56 	 -125.904 	-4.2 	 -90.93 	 18.69 	
-180.072 	 1030.17 	 -168.848 	-12.46 	 -137.41 	 24.71 	
-103.944 	 1006.74 	 -229.36 	-21.7 	 -175.35 	 30.66 	
-101.992 	 987.712 	 -265.472 	-29.96 	 -207.55 	 38.71 	
-10.736 	 935.496 	 -317.2 	-36.12 	 -230.58 	 44.1 	
82.96 	 905.24 	 -331.84 	-34.37 	 -239.19 	 44.31 	
