STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
86 	 74 	 1036 	
72 	 28 	 986 	
103 	 45 	 1006 	
104 	 47 	 1017 	
108 	 22 	 1003 	
92 	 48 	 1029 	
95 	 23 	 1006 	
109 	 15 	 997 	
93 	 20 	 1005 	
124 	 19 	 1013 	
104 	 11 	 1011 	
91 	 0 	 1006 	
117 	 -10 	 1017 	
117 	 1 	 1027 	
79 	 -4 	 1004 	
97 	 -2 	 994 	
129 	 -13 	 999 	
114 	 3 	 1015 	
120 	 -10 	 1004 	
117 	 -4 	 1011 	
109 	 -9 	 1006 	
123 	 -6 	 1013 	
133 	 -18 	 994 	
106 	 -7 	 1007 	
127 	 -17 	 1007 	
136 	 -10 	 1020 	
120 	 -7 	 1025 	
122 	 -20 	 996 	
129 	 0 	 1010 	
124 	 -22 	 973 	
150 	 15 	 1042 	
133 	 -19 	 1004 	
107 	 1 	 1005 	
130 	 -2 	 1002 	
141 	 -6 	 992 	
132 	 2 	 1006 	
140 	 0 	 1004 	
123 	 2 	 1011 	
145 	 -10 	 997 	
135 	 -1 	 998 	
132 	 -1 	 999 	
137 	 0 	 1010 	
169 	 15 	 1021 	
148 	 7 	 998 	
103 	 -12 	 970 	
162 	 8 	 1027 	
155 	 4 	 1026 	
138 	 -9 	 998 	
156 	 4 	 998 	
146 	 0 	 996 	
140 	 -8 	 994 	
175 	 5 	 1010 	
140 	 4 	 997 	
158 	 6 	 1008 	
162 	 3 	 999 	
162 	 4 	 988 	
188 	 18 	 1023 	
174 	 0 	 994 	
173 	 11 	 1019 	
195 	 6 	 1002 	
181 	 25 	 1015 	
180 	 -14 	 962 	
200 	 14 	 994 	
201 	 2 	 974 	
209 	 0 	 998 	
174 	 10 	 1004 	
204 	 -8 	 994 	
209 	 -4 	 994 	
199 	 -1 	 993 	
230 	 -4 	 993 	
224 	 -7 	 966 	
222 	 1 	 1000 	
228 	 -11 	 975 	
254 	 6 	 1005 	
236 	 -6 	 975 	
247 	 0 	 980 	
233 	 9 	 996 	
248 	 -8 	 965 	
258 	 4 	 976 	
270 	 3 	 980 	
260 	 -2 	 983 	
276 	 -16 	 972 	
311 	 -2 	 1008 	
241 	 -11 	 969 	
238 	 -37 	 935 	
302 	 -4 	 990 	
250 	 -13 	 1001 	
234 	 -26 	 990 	
273 	 -23 	 981 	
267 	 -27 	 971 	
254 	 -41 	 944 	
246 	 -41 	 963 	
240 	 -55 	 988 	
238 	 -72 	 981 	
234 	 -60 	 1004 	
250 	 -68 	 998 	
215 	 -75 	 979 	
211 	 -92 	 966 	
214 	 -86 	 992 	
226 	 -90 	 993 	
211 	 -87 	 1006 	
214 	 -112 	 978 	
203 	 -98 	 997 	
221 	 -114 	 987 	
177 	 -108 	 978 	
198 	 -131 	 964 	
196 	 -116 	 999 	
179 	 -141 	 1015 	
171 	 -147 	 1017 	
176 	 -148 	 1001 	
158 	 -134 	 994 	
152 	 -162 	 942 	
142 	 -137 	 986 	
159 	 -158 	 989 	
151 	 -146 	 1016 	
140 	 -155 	 1009 	
149 	 -179 	 984 	
112 	 -159 	 992 	
105 	 -172 	 968 	
134 	 -155 	 1001 	
144 	 -165 	 1007 	
101 	 -167 	 1005 	
120 	 -174 	 991 	
101 	 -182 	 991 	
128 	 -171 	 1002 	
100 	 -185 	 982 	
117 	 -175 	 1011 	
87 	 -189 	 994 	
72 	 -179 	 978 	
102 	 -194 	 946 	
109 	 -176 	 991 	
106 	 -201 	 1012 	
83 	 -203 	 1026 	
71 	 -201 	 1017 	
79 	 -209 	 986 	
86 	 -196 	 991 	
78 	 -209 	 980 	
