STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-95 	 190 	 1050 	
-65 	 195 	 1050 	
-56 	 185 	 1013 	
-65 	 186 	 998 	
-45 	 171 	 962 	
-58 	 166 	 952 	
-76 	 176 	 943 	
-61 	 153 	 896 	
-75 	 156 	 917 	
-81 	 140 	 930 	
-73 	 158 	 970 	
-94 	 159 	 997 	
-117 	 157 	 1016 	
-114 	 162 	 1036 	
-128 	 162 	 1045 	
-102 	 152 	 1011 	
-93 	 171 	 1039 	
-100 	 164 	 1041 	
-116 	 174 	 1060 	
-103 	 171 	 1049 	
-104 	 168 	 1014 	
-104 	 161 	 980 	
-90 	 152 	 958 	
-99 	 146 	 937 	
-80 	 147 	 930 	
-78 	 137 	 911 	
-77 	 131 	 916 	
-75 	 141 	 955 	
-111 	 152 	 989 	
-96 	 162 	 1036 	
-118 	 171 	 1082 	
-115 	 174 	 1100 	
-119 	 171 	 1095 	
-132 	 175 	 1088 	
-90 	 161 	 1027 	
-113 	 163 	 981 	
-97 	 159 	 937 	
-76 	 150 	 909 	
-119 	 157 	 924 	
-86 	 133 	 920 	
-95 	 141 	 916 	
-89 	 147 	 946 	
-69 	 137 	 984 	
-99 	 158 	 1022 	
-108 	 160 	 1012 	
-84 	 170 	 1047 	
-124 	 181 	 1081 	
-101 	 176 	 1075 	
-116 	 181 	 1040 	
-93 	 183 	 1020 	
-90 	 170 	 984 	
-71 	 161 	 960 	
-58 	 162 	 934 	
-54 	 153 	 893 	
-49 	 145 	 911 	
-67 	 143 	 935 	
-87 	 147 	 1004 	
-130 	 156 	 1057 	
-167 	 169 	 1083 	
-140 	 159 	 1069 	
-128 	 173 	 1093 	
-102 	 151 	 1046 	
-86 	 158 	 1005 	
-72 	 168 	 985 	
-65 	 166 	 953 	
-62 	 168 	 927 	
-21 	 153 	 900 	
-30 	 165 	 916 	
-40 	 151 	 895 	
-40 	 168 	 921 	
-76 	 168 	 981 	
-87 	 171 	 1050 	
-101 	 186 	 1121 	
-109 	 183 	 1144 	
-121 	 190 	 1158 	
-94 	 169 	 1075 	
-91 	 161 	 1016 	
-69 	 151 	 961 	
-82 	 142 	 920 	
-101 	 153 	 916 	
-119 	 141 	 881 	
-104 	 160 	 921 	
-101 	 145 	 911 	
-103 	 147 	 918 	
