STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
-3 	 10 	 1003 	-39 	 -402 	 -291 	
-5 	 9 	 1004 	-15 	 -432 	 -286 	
-2 	 8 	 1008 	34 	 -475 	 -309 	
-7 	 8 	 1007 	34 	 -475 	 -309 	
-2 	 10 	 1005 	100 	 -508 	 -394 	
-4 	 10 	 1007 	198 	 -454 	 -571 	
-3 	 8 	 1005 	187 	 -319 	 -729 	
-3 	 5 	 1004 	109 	 -150 	 -733 	
0 	 11 	 1008 	109 	 -150 	 -733 	
-7 	 8 	 1006 	0 	 -81 	 -648 	
-6 	 7 	 1005 	-88 	 -84 	 -543 	
-5 	 5 	 1003 	-117 	 -111 	 -468 	
-7 	 9 	 1006 	-142 	 -157 	 -436 	
-3 	 7 	 1006 	-142 	 -157 	 -436 	
-5 	 11 	 1004 	-157 	 -201 	 -406 	
-2 	 9 	 1008 	-150 	 -247 	 -385 	
-4 	 9 	 1005 	-124 	 -262 	 -345 	
-6 	 8 	 1008 	-120 	 -277 	 -300 	
-4 	 10 	 1005 	-102 	 -303 	 -270 	
-5 	 8 	 1006 	-102 	 -303 	 -270 	
-5 	 11 	 1004 	-88 	 -300 	 -246 	
-6 	 7 	 1006 	-73 	 -312 	 -231 	
-5 	 8 	 1005 	-51 	 -312 	 -208 	
-7 	 9 	 1004 	-46 	 -331 	 -219 	
-3 	 11 	 1006 	-46 	 -331 	 -219 	
-6 	 8 	 1005 	-15 	 -363 	 -232 	
-4 	 9 	 1006 	27 	 -375 	 -276 	
-2 	 6 	 1007 	66 	 -379 	 -387 	
-5 	 10 	 1009 	93 	 -333 	 -490 	
-6 	 5 	 1004 	93 	 -333 	 -490 	
-3 	 6 	 1007 	73 	 -246 	 -577 	
-5 	 11 	 1004 	30 	 -177 	 -633 	
-3 	 10 	 1006 	-63 	 -130 	 -609 	
-3 	 10 	 1007 	-120 	 -124 	 -565 	
-4 	 12 	 1009 	-147 	 -162 	 -523 	
-9 	 9 	 1005 	-147 	 -162 	 -523 	
-6 	 9 	 1005 	-165 	 -219 	 -484 	
-6 	 10 	 1011 	-148 	 -282 	 -444 	
-9 	 6 	 1017 	-121 	 -328 	 -402 	
-2 	 7 	 1005 	-84 	 -345 	 -337 	
-4 	 5 	 998 	-84 	 -345 	 -337 	
0 	 9 	 1004 	-57 	 -345 	 -292 	
-2 	 8 	 1000 	-25 	 -336 	 -265 	
0 	 12 	 1003 	-3 	 -336 	 -259 	
-3 	 11 	 1005 	1 	 -340 	 -304 	
-6 	 5 	 1004 	1 	 -340 	 -304 	
-7 	 11 	 1001 	12 	 -352 	 -391 	
-7 	 8 	 1008 	-31 	 -357 	 -502 	
-6 	 8 	 1004 	-93 	 -328 	 -597 	
-2 	 10 	 1006 	-160 	 -295 	 -607 	
-4 	 6 	 1005 	-160 	 -295 	 -607 	
-6 	 9 	 1009 	-207 	 -280 	 -595 	
-5 	 11 	 1005 	-226 	 -307 	 -552 	
-5 	 9 	 1007 	-210 	 -334 	 -505 	
-4 	 13 	 1005 	-178 	 -403 	 -460 	
-1 	 11 	 1004 	-129 	 -462 	 -430 	
-3 	 8 	 1002 	-129 	 -462 	 -430 	
-3 	 10 	 1003 	-76 	 -502 	 -397 	
-7 	 11 	 1004 	-16 	 -523 	 -378 	
-3 	 14 	 1002 	4 	 -514 	 -405 	
-1 	 8 	 1008 	9 	 -466 	 -459 	
-9 	 6 	 1004 	9 	 -466 	 -459 	
-5 	 10 	 1002 	-1 	 -433 	 -522 	
-3 	 7 	 1005 	-54 	 -390 	 -555 	
-10 	 8 	 1007 	-105 	 -342 	 -565 	
-4 	 12 	 1003 	-157 	 -327 	 -564 	
-9 	 9 	 1009 	-157 	 -327 	 -564 	
-6 	 10 	 1006 	-207 	 -324 	 -549 	
-7 	 10 	 1002 	-222 	 -354 	 -531 	
-4 	 10 	 1009 	-220 	 -429 	 -546 	
-4 	 7 	 1009 	-163 	 -501 	 -550 	
-4 	 10 	 1005 	-163 	 -501 	 -550 	
-6 	 8 	 1007 	-87 	 -562 	 -519 	
-6 	 9 	 1006 	-16 	 -535 	 -501 	
-8 	 12 	 1004 	22 	 -489 	 -481 	
-6 	 14 	 1003 	27 	 -411 	 -504 	
-6 	 12 	 1005 	10 	 -370 	 -498 	
-3 	 10 	 1002 	10 	 -370 	 -498 	
-9 	 12 	 1005 	-30 	 -330 	 -486 	
-7 	 9 	 1005 	-85 	 -301 	 -436 	
-5 	 8 	 1009 	-109 	 -282 	 -373 	
