STEVAL-MKI217V1 (LSM6DSOX+LIS2MDL)   

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	M_X [mG] 	 M_Y [mG] 	 M_Z [mG] 	
-8 	 4 	 1003 	-105 	 -189 	 -144 	
-2 	 1 	 1007 	-100 	 -190 	 -153 	
-1 	 8 	 1006 	-102 	 -193 	 -136 	
-4 	 0 	 1008 	-102 	 -193 	 -136 	
-8 	 15 	 999 	-103 	 -187 	 -151 	
0 	 0 	 1008 	-114 	 -186 	 -151 	
0 	 6 	 1005 	-103 	 -189 	 -142 	
-5 	 0 	 1006 	-106 	 -205 	 -153 	
-3 	 7 	 1003 	-106 	 -205 	 -153 	
-2 	 5 	 1006 	-111 	 -189 	 -148 	
1 	 8 	 1005 	-97 	 -205 	 -151 	
-9 	 23 	 1011 	-96 	 -195 	 -157 	
7 	 18 	 1005 	-99 	 -195 	 -148 	
-32 	 21 	 1004 	-99 	 -195 	 -148 	
-10 	 39 	 955 	-91 	 -193 	 -148 	
-18 	 11 	 1036 	-106 	 -190 	 -141 	
114 	 56 	 1112 	-106 	 -210 	 -145 	
-51 	 35 	 1069 	-94 	 -210 	 -147 	
-39 	 22 	 1108 	-94 	 -210 	 -147 	
-25 	 21 	 986 	-106 	 -207 	 -156 	
-75 	 12 	 1026 	-100 	 -198 	 -150 	
0 	 -16 	 1011 	-93 	 -213 	 -159 	
-4 	 21 	 963 	-85 	 -205 	 -163 	
-35 	 44 	 1000 	-93 	 -214 	 -160 	
-51 	 26 	 993 	-93 	 -214 	 -160 	
-38 	 14 	 991 	-97 	 -202 	 -165 	
-32 	 -39 	 998 	-91 	 -220 	 -157 	
-34 	 27 	 1050 	-79 	 -238 	 -159 	
-28 	 -16 	 986 	-85 	 -250 	 -157 	
-57 	 13 	 1020 	-85 	 -250 	 -157 	
-22 	 40 	 969 	-84 	 -238 	 -160 	
-106 	 -6 	 1055 	-82 	 -247 	 -160 	
-31 	 35 	 1070 	-75 	 -258 	 -160 	
-23 	 47 	 998 	-63 	 -264 	 -162 	
-38 	 61 	 1041 	-63 	 -264 	 -162 	
-25 	 55 	 1006 	-54 	 -258 	 -160 	
