STEVAL-MKI247A (LSM6DSV80X)

G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
0.44625 	 -0.16625 	 -0.0175 	
0.385 	 -0.1225 	 0 	
0.4375 	 -0.1925 	 -0.04375 	
0.46375 	 -0.175 	 -0.0525 	
0.4025 	 -0.2275 	 -0.04375 	
0.4725 	 -0.32375 	 -0.0175 	
0.44625 	 -0.20125 	 -0.0875 	
0.44625 	 -0.30625 	 -0.035 	
0.4725 	 -0.21 	 -0.13125 	
0.5075 	 -0.28875 	 -0.06125 	
0.49875 	 -0.30625 	 0 	
0.525 	 -0.3675 	 0.00875 	
0.4375 	 -0.1575 	 -0.02625 	
0.5075 	 0.0525 	 -0.06125 	
0.5425 	 -0.11375 	 -0.0175 	
0.5075 	 -0.16625 	 -0.0525 	
0.35875 	 -0.13125 	 -0.0525 	
0.46375 	 -0.0875 	 -0.04375 	
0.595 	 -0.0875 	 -0.0525 	
0.6125 	 -0.2625 	 0.00875 	
0.44625 	 -0.25375 	 0.0175 	
0.455 	 -0.28 	 0.00875 	
0.3675 	 -0.18375 	 -0.0175 	
0.4725 	 0 	 -0.1225 	
0.4375 	 0.0175 	 -0.105 	
0.56 	 -0.175 	 -0.1225 	
0.42 	 -0.13125 	 -0.14 	
0.35 	 -0.245 	 -0.07 	
0.41125 	 -0.245 	 -0.0175 	
0.3675 	 -0.16625 	 -0.0875 	
0.41125 	 -0.28875 	 -0.0525 	
0.525 	 -0.2975 	 -0.09625 	
0.5075 	 -0.23625 	 -0.07875 	
0.455 	 -0.1225 	 -0.105 	
0.525 	 -0.23625 	 -0.035 	
0.39375 	 -0.14875 	 -0.0875 	
0.455 	 -0.245 	 -0.105 	
0.42 	 -0.21875 	 -0.0175 	
0.44625 	 -0.06125 	 -0.02625 	
0.4025 	 -0.11375 	 -0.00875 	
0.4375 	 -0.11375 	 -0.02625 	
0.3675 	 -0.16625 	 0 	
0.4375 	 -0.14875 	 -0.00875 	
0.46375 	 -0.14875 	 -0.06125 	
0.49 	 -0.245 	 -0.06125 	
0.41125 	 -0.315 	 -0.04375 	
0.5075 	 -0.44625 	 -0.09625 	
0.4025 	 -0.37625 	 0 	
0.42 	 -0.2975 	 -0.07 	
0.44625 	 -0.14 	 -0.04375 	
0.42875 	 -0.105 	 -0.07875 	
0.42875 	 -0.035 	 -0.035 	
0.455 	 -0.11375 	 -0.00875 	
0.6125 	 -0.20125 	 -0.0525 	
0.5075 	 -0.16625 	 0.02625 	
0.5425 	 -0.1225 	 -0.07 	
0.44625 	 -0.16625 	 0 	
0.35875 	 -0.0875 	 -0.035 	
0.37625 	 0 	 -0.06125 	
0.37625 	 -0.20125 	 -0.04375 	
0.4025 	 -0.1925 	 -0.07875 	
0.42 	 -0.28 	 -0.105 	
0.5075 	 -0.0875 	 -0.00875 	
0.455 	 -0.1575 	 -0.07 	
0.42875 	 -0.175 	 -0.13125 	
0.42 	 -0.20125 	 -0.06125 	
0.4025 	 -0.21 	 -0.0875 	
0.3325 	 -0.1925 	 -0.0875 	
0.35 	 -0.1925 	 -0.0875 	
0.5425 	 -0.105 	 -0.1225 	
0.4375 	 -0.11375 	 -0.0525 	
0.4025 	 -0.105 	 0 	
0.42 	 -0.0525 	 -0.06125 	
0.37625 	 -0.00875 	 -0.07 	
0.44625 	 -0.00875 	 -0.04375 	
0.44625 	 -0.16625 	 -0.07 	
0.28875 	 -0.2625 	 -0.13125 	
0.37625 	 -0.21 	 -0.1575 	
0.5075 	 -0.25375 	 -0.07 	
0.455 	 -0.16625 	 -0.14 	
0.41125 	 -0.1925 	 -0.14875 	
0.5425 	 -0.1925 	 -0.06125 	
0.525 	 -0.0525 	 -0.07875 	
0.4725 	 -0.27125 	 -0.07 	
0.49875 	 -0.27125 	 -0.035 	
0.4375 	 -0.245 	 -0.0525 	
0.385 	 -0.18375 	 -0.07 	
0.35875 	 -0.1925 	 -0.0175 	
0.49 	 -0.245 	 -0.0175 	
0.46375 	 -0.28875 	 0.00875 	
0.5075 	 -0.21875 	 -0.00875 	
0.3325 	 -0.16625 	 -0.14 	
0.2975 	 -0.0525 	 -0.07875 	
0.385 	 -0.105 	 -0.0525 	
0.4375 	 -0.105 	 -0.00875 	
0.42875 	 -0.1925 	 -0.07875 	
0.48125 	 -0.2625 	 -0.02625 	
0.42 	 -0.30625 	 -0.06125 	
0.39375 	 -0.32375 	 -0.09625 	
0.455 	 -0.2275 	 -0.06125 	
0.385 	 -0.1925 	 -0.0875 	
0.32375 	 -0.14 	 -0.0525 	
