A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
453.352 	 850.096 	 -371.856 	38.5 	 144.48 	 -37.38 	
-536.8 	 1294.18 	 -211.304 	30.17 	 152.88 	 -30.66 	
-842.776 	 1126.3 	 -75.64 	-15.47 	 13.51 	 2.31 	
-153.232 	 961.848 	 -166.408 	-41.51 	 -113.89 	 13.65 	
99.552 	 853.024 	 -198.616 	-35.84 	 -175.77 	 20.09 	
1081.9 	 802.76 	 -268.4 	-22.33 	 -140 	 17.29 	
1067.74 	 666.12 	 -336.232 	18.27 	 25.97 	 -16.45 	
44.896 	 1070.67 	 -305.976 	41.44 	 134.26 	 -29.33 	
-802.76 	 1249.28 	 -96.624 	10.36 	 81.13 	 -10.29 	
-503.616 	 1028.22 	 -108.824 	-21.56 	 -66.36 	 10.43 	
230.336 	 893.04 	 -196.176 	-28.56 	 -148.82 	 20.58 	
1176.08 	 726.144 	 -309.392 	-13.72 	 -92.26 	 10.57 	
780.8 	 832.528 	 -344.04 	21.7 	 70.91 	 -18.13 	
268.888 	 980.88 	 -381.128 	34.65 	 161.91 	 -35.28 	
-563.64 	 1179.01 	 -165.92 	16.24 	 152.39 	 -24.71 	
-291.824 	 967.704 	 -85.4 	-3.78 	 42.14 	 -17.5 	
360.144 	 919.88 	 -156.16 	-9.59 	 5.18 	 -17.92 	
400.16 	 900.36 	 -201.544 	-1.54 	 39.69 	 -19.39 	
302.072 	 950.136 	 -221.064 	5.6 	 85.05 	 -24.57 	
117.608 	 988.2 	 -205.936 	6.79 	 110.46 	 -28.21 	
79.544 	 977.952 	 -187.392 	4.2 	 113.61 	 -26.74 	
20.496 	 963.8 	 -161.04 	3.08 	 107.31 	 -20.58 	
54.168 	 999.424 	 -159.576 	1.4 	 98.56 	 -13.44 	
46.848 	 985.272 	 -143.472 	0.63 	 88.13 	 -8.82 	
25.864 	 1003.82 	 -121.512 	-0.07 	 78.54 	 -7.28 	
27.328 	 987.712 	 -111.752 	-1.68 	 69.51 	 -5.95 	
-18.056 	 985.272 	 -76.128 	-1.68 	 55.72 	 -4.62 	
36.6 	 980.88 	 -72.224 	-2.38 	 41.23 	 -1.89 	
-18.544 	 981.368 	 -46.36 	-1.12 	 24.71 	 0.21 	
8.296 	 985.76 	 -50.752 	-1.96 	 7.84 	 -0.21 	
74.176 	 983.32 	 -53.68 	-1.54 	 -7.14 	 -0.07 	
99.552 	 984.296 	 -61.976 	-0.28 	 -13.02 	 -0.14 	
146.4 	 984.784 	 -73.688 	0 	 -12.6 	 -0.56 	
168.36 	 984.296 	 -88.328 	0.35 	 -6.79 	 -0.14 	
210.328 	 967.216 	 -83.448 	1.89 	 3.15 	 -0.84 	
