accX[mg]	accY[mg]	accZ[mg] 
621.468	-689.544	406.504
617.564	-676.856	402.112
613.66	-686.616	396.5
609.024	-683.932	398.452
614.636	-692.96	402.844
611.952	-686.616	396.988
612.196	-673.684	406.504
619.272	-683.2	401.136
614.636	-688.812	402.356
617.808	-683.688	402.356
605.852	-689.544	396.256
620.736	-677.344	413.58
616.344	-682.956	396.744
619.028	-686.616	399.672
611.464	-679.296	398.696
618.54	-687.592	399.916
614.148	-678.808	391.62
617.564	-685.884	401.136
616.344	-678.808	404.552
622.2	-682.712	397.964
618.296	-683.932	400.648
616.832	-679.296	396.5
613.904	-686.128	396.988
618.296	-685.152	408.456
618.784	-685.396	401.38
616.832	-676.612	393.572
621.956	-692.716	401.136
612.684	-681.004	397.964
619.76	-681.736	399.916
615.124	-684.908	400.404
617.076	-680.272	399.916
614.148	-686.616	400.648
611.952	-674.904	402.844
618.296	-683.688	398.208
612.684	-680.028	405.528
618.54	-680.76	402.844
614.636	-678.564	393.572
621.224	-682.956	405.04
613.66	-680.516	401.868
619.028	-688.08	402.6
615.368	-674.904	401.136
617.076	-679.54	399.428
611.22	-681.004	400.648
617.564	-685.64	404.064
613.904	-681.248	399.916
620.004	-689.056	403.82
619.516	-672.22	406.504
621.468	-684.908	408.7
612.44	-672.952	394.548
617.564	-690.032	402.356
613.172	-683.2	399.428
621.468	-677.832	404.552
621.468	-680.272	398.696
618.052	-681.248	402.6
618.296	-686.616	402.6
613.904	-687.348	400.892
619.028	-671.488	404.552
618.784	-681.248	397.72
619.028	-679.784	402.844
617.564	-683.932	400.648
616.588	-682.712	397.964
619.028	-684.176	404.308
616.588	-676.856	397.476
617.076	-681.492	404.552
617.32	-689.056	400.892
609.512	-679.296	397.232
619.516	-683.932	402.844
612.196	-682.712	397.232
619.516	-681.492	406.26
609.756	-682.956	399.184
618.784	-683.2	405.04
611.464	-688.08	398.208
618.784	-679.784	405.284
613.904	-685.152	401.624
618.296	-677.832	406.748
611.708	-684.176	404.552
611.22	-682.956	403.82
613.416	-682.468	405.284
617.564	-671.244	404.552
617.32	-687.592	402.844
609.024	-681.004	406.504
614.636	-681.004	404.796
615.368	-684.908	408.456
614.392	-679.784	406.016
614.636	-684.664	401.38
611.952	-675.392	407.48
617.808	-689.3	404.796
610.488	-676.124	401.868
618.296	-677.588	408.944
607.316	-687.592	400.404
613.904	-683.444	408.944
616.832	-679.784	398.94
