@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_V numeric
@attribute F4_VAR_on_ACC_X numeric
@attribute F5_VAR_on_ACC_Y numeric
@attribute F6_VAR_on_ACC_V numeric
@attribute F7_ENERGY_on_ACC_X numeric
@attribute F8_ENERGY_on_ACC_Y numeric
@attribute F9_ENERGY_on_ACC_V numeric
@attribute F10_PeakToPeak_on_ACC_X numeric
@attribute F11_PeakToPeak_on_ACC_Y numeric
@attribute F12_PeakToPeak_on_ACC_V numeric
@attribute class {stationary, motion, jackup, crash}

@data
-0.0751953, -0.127686, 1.05762, 0.0311584, 0.0447388, 0.0253906, 3.82422, 6.34375, 118.875, 0.9375, 0.740723, 0.954102, motion
-0.0742798, -0.113708, 1.05566, 0.021225, 0.048645, 0.0166016, 2.7793, 6.40234, 117.563, 0.731934, 0.941406, 0.625488, motion
-0.0769653, -0.112671, 1.05176, 0.0119629, 0.0447693, 0.0126953, 1.85938, 5.97266, 116.375, 0.549316, 0.76709, 0.714355, motion
-0.0792236, -0.120911, 1.05078, 0.0163116, 0.0432434, 0.0136719, 2.34766, 6.01563, 116.25, 0.669922, 0.82373, 0.777832, motion
-0.0870972, -0.0809326, 1.04199, 0.00985718, 0.0311432, 0.0117188, 1.81348, 3.91602, 114.063, 0.536133, 0.737305, 0.848145, motion
-0.0863037, -0.0647583, 1.04492, 0.0108337, 0.0301971, 0.000976563, 1.90039, 3.57617, 113.625, 0.572266, 0.710938, 0.42627, motion
-0.085083, -0.0728149, 1.04297, 0.011467, 0.034668, 0.00585938, 1.94434, 4.15625, 113.688, 0.518555, 0.665039, 0.505859, motion
-0.0864868, -0.0950317, 1.0498, 0.0156097, 0.0419922, 0.0175781, 2.40039, 5.30469, 116.438, 0.554688, 0.814941, 0.662109, motion
-0.0823975, -0.110046, 1.04199, 0.00856781, 0.0307159, 0.00390625, 1.59668, 4.44922, 113.25, 0.456543, 0.654297, 0.606445, motion
-0.0745239, -0.133911, 1.03711, 0.00623322, 0.0191498, 0.00390625, 1.22559, 3.85547, 112.188, 0.394043, 0.583984, 0.461426, motion
-0.0690918, -0.124023, 1.0459, 0.0118027, 0.0386658, 0.0195313, 1.72266, 5.61719, 115.75, 0.611328, 0.789551, 0.908691, motion
-0.0872803, -0.0722656, 1.04102, 0.00901794, 0.031311, 0.00878906, 1.72852, 3.79688, 113.563, 0.469238, 0.760254, 0.599121, motion
-0.0957642, -0.0540466, 1.04297, 0.0127258, 0.0221863, 0.00683594, 2.27539, 2.60938, 113.75, 0.600098, 0.618652, 0.503906, motion
-0.0795898, -0.0946045, 1.04004, 0.0107422, 0.0307007, 0.0117188, 1.77539, 4.12109, 113.688, 0.583984, 0.674805, 0.561523, motion
-0.0738525, -0.126831, 1.04395, 0.0173645, 0.0327759, 0.0185547, 2.37109, 5.07813, 115.25, 0.709473, 0.766602, 0.744141, motion
-0.0825195, -0.131592, 1.04297, 0.0129547, 0.0305939, 0.0126953, 2.05469, 4.98047, 114.375, 0.480957, 0.648926, 0.521973, motion
-0.0905762, -0.105591, 1.04102, 0.00697327, 0.0299988, 0.00390625, 1.57715, 4.27734, 113.125, 0.422119, 0.812012, 0.541504, motion
-0.0876465, -0.0895386, 1.03516, 0.00708771, 0.0262299, 0.000976563, 1.53516, 3.55859, 111.5, 0.397217, 0.682617, 0.535156, motion
-0.0692749, -0.0982056, 1.03809, 0.0062027, 0.0263672, 0.0117188, 1.14355, 3.74219, 113.188, 0.427734, 0.625, 0.549316, motion
-0.0756836, -0.0762329, 1.03613, 0.00696564, 0.025177, 0.0107422, 1.31934, 3.2207, 112.625, 0.48877, 0.663086, 0.578613, motion
-0.0889893, -0.0550842, 1.03516, 0.008255, 0.0158539, 0.00488281, 1.68164, 1.96289, 111.813, 0.514648, 0.605957, 0.557129, motion
-0.0882568, -0.0941772, 1.03711, 0.0063324, 0.0248566, 0.00488281, 1.46777, 3.50391, 112.25, 0.418457, 0.592773, 0.359863, motion
