@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {boat, bow, bridge, child, cobra, DFD, medita, plank, SFB, SM, SS, TESA, tree, UP}

@data
-0.750977, 0.0984497, -0.657715, DFD
-0.752441, 0.0981445, -0.65625, DFD
-0.752441, 0.097168, -0.657715, DFD
-0.751465, 0.0893555, -0.657227, DFD
-0.750977, 0.0924683, -0.657715, DFD
-0.750977, 0.0935059, -0.658691, DFD
-0.75, 0.0952759, -0.65918, DFD
-0.749023, 0.097229, -0.661621, DFD
-0.748535, 0.0952148, -0.662598, DFD
-0.746094, 0.0985107, -0.666992, DFD
-0.745605, 0.0971069, -0.665527, DFD
-0.748535, 0.093811, -0.664551, DFD
-0.325928, -0.977539, 0.00858307, medita
-0.319824, -0.958984, 0.00815582, medita
-0.31958, -0.958984, 0.00819397, medita
-0.31958, -0.958984, 0.00839996, medita
-0.318848, -0.958984, 0.00791931, medita
-0.318359, -0.958984, 0.00774002, medita
-0.31665, -0.958496, 0.0069809, medita
-0.316895, -0.959473, 0.00677872, medita
-0.315918, -0.958984, 0.00658035, medita
-0.315186, -0.958984, 0.00658417, medita
-0.315918, -0.959473, 0.00632095, medita
-0.315186, -0.958984, 0.00651169, medita
-0.314209, -0.958984, 0.00602722, medita
-0.313965, -0.958984, 0.00584793, medita
-0.313721, -0.959473, 0.00571823, medita
-0.313965, -0.959473, 0.00576401, medita
-0.314209, -0.958984, 0.00586319, medita
-0.314209, -0.958984, 0.00588989, medita
-0.314209, -0.958984, 0.00608444, medita
-0.314453, -0.958984, 0.00608444, medita
-0.314453, -0.958984, 0.00623703, medita
-0.314209, -0.958984, 0.00624466, medita
-0.313965, -0.958984, 0.00599289, medita
-0.312988, -0.959961, 0.00529861, medita
-0.312744, -0.959473, 0.00414658, medita
-0.312012, -0.960938, 0.00310326, medita
-0.312012, -0.959961, 0.00284958, medita
-0.319092, -0.977539, 0.0376282, medita
-0.309814, -0.958496, 0.0348511, medita
-0.307129, -0.961426, 0.0302277, medita
-0.318359, -0.95166, 0.02388, medita
-0.335449, -0.95166, 0.0104599, medita
-0.338867, -0.948242, 0.00931549, medita
-0.336426, -0.945313, 0.00690079, medita
-0.335449, -0.946289, 0.00740051, medita
-0.332031, -0.946777, 0.00807953, medita
-0.330078, -0.949219, 0.00786591, medita
-0.328369, -0.947266, 0.00755692, medita
-0.328369, -0.947266, 0.00746918, medita
-0.328125, -0.950684, 0.00358582, medita
-0.327393, -0.95459, 0.00119591, medita
-0.326172, -0.95166, 0.00286484, medita
-0.327148, -0.949219, 0.00365448, medita
-0.325439, -0.951172, 0.00288582, medita
-0.327393, -0.951172, 0.00509644, medita
-0.327637, -0.951172, 0.00503159, medita
-0.329346, -0.948242, 0.00706482, medita
-0.329346, -0.947266, 0.00714111, medita
-0.329346, -0.950684, 0.00702286, medita
-0.328613, -0.951172, 0.00636673, medita
-0.328369, -0.949219, 0.00562668, medita
-0.328369, -0.948242, 0.00550461, medita
-0.328125, -0.947266, 0.00676346, medita
-0.328125, -0.949219, 0.00718307, medita
-0.327148, -0.949707, 0.00721359, medita
-0.326904, -0.95166, 0.00728607, medita
-0.326904, -0.949707, 0.00780487, medita
-0.0922852, -0.0357056, -1.02246, plank
-0.0932007, -0.049469, -1.00684, plank
-0.0945435, -0.0333557, -1.00195, plank
-0.0929565, -0.0476379, -1.00488, plank
-0.0941162, -0.0441589, -1.00293, plank
-0.0978394, -0.0490723, -1.00195, plank
-0.0960083, -0.0407715, -1.00293, plank
-0.0947266, -0.0361328, -1.00293, plank
-0.0961304, -0.0372925, -1.00195, plank
-0.0980225, -0.0226593, -1.00293, plank
-0.098938, -0.027359, -1.00293, plank
-0.0977173, -0.0281067, -1.00488, plank
-0.0991211, -0.0285645, -1.00098, plank
-0.0988159, -0.0322571, -1.00293, plank
-0.0966797, -0.035553, -1.00293, plank
-0.0948486, -0.0363159, -1.00293, plank
-0.0889282, -0.0354919, -1.00488, plank
-0.0877075, -0.0357361, -1.00293, plank
-0.0892944, -0.0376892, -1.00293, plank
-0.0889893, -0.0375366, -1.00293, plank
-0.0861206, -0.0407715, -1.00488, plank
-0.0808716, -0.0302429, -1.00488, plank
-0.0823975, -0.026474, -1.00488, plank
-0.0844727, -0.0202026, -1.00391, plank
-0.0869141, -0.0210876, -1.00293, plank
-0.0389709, 0.0263062, -1.03125, plank
-0.040863, 0.0251617, -1.00977, plank
-0.0511169, 0.0271606, -1.00195, plank
-0.0450134, 0.0154114, -1.00781, plank
-0.0379639, 0.0234833, -1.00684, plank
-0.0339966, 0.0223541, -1.00684, plank
-0.0293274, 0.0193024, -1.00879, plank
-0.02948, 0.0172577, -1.00781, plank
-0.0317383, 0.00616455, -1.00977, plank
-0.0293884, 0.00948334, -1.00684, plank
-0.0293274, 0.0106659, -1.00684, plank
-0.0277252, 0.00124741, -1.00781, plank
-0.0280914, 0.0216827, -1.00977, plank
-0.0310364, 0.0171051, -1.00684, plank
-0.0274811, 0.0140686, -1.00977, plank
-0.0295715, 0.00871277, -1.00293, plank
-0.0220947, 0.0107269, -1.00781, plank
-0.0249939, 0.0129776, -1.00781, plank
-0.0230865, 0.0142136, -1.00977, plank
-0.0186157, 0.0157318, -1.01172, plank
-0.0245361, 0.020752, -1.00391, plank
-0.0222626, 0.021759, -1.00781, plank
-0.0188599, 0.0246277, -1.00977, plank
-0.0217438, 0.0254059, -1.00488, plank
-0.0802002, -0.247559, 0.987793, SFB
-0.0789795, -0.24646, 0.969238, SFB
-0.0792236, -0.24585, 0.969238, SFB
-0.0789795, -0.242188, 0.969238, SFB
-0.0789795, -0.244385, 0.969238, SFB
-0.0787354, -0.248291, 0.969238, SFB
-0.0787964, -0.249634, 0.969238, SFB
-0.0782471, -0.251465, 0.96875, SFB
-0.0787354, -0.250488, 0.96875, SFB
-0.0789185, -0.249023, 0.96875, SFB
-0.0787964, -0.251709, 0.96875, SFB
-0.0787354, -0.254639, 0.96875, SFB
-0.0788574, -0.255615, 0.96875, SFB
