A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
416.752 	 923.296 	 -145.424 	-17.92 	 -73.36 	 12.67 	
418.216 	 919.392 	 -148.352 	-10.15 	 -42.21 	 7.21 	
368.928 	 931.104 	 -120.536 	-3.5 	 -11.48 	 3.08 	
228.384 	 962.824 	 -84.424 	-1.19 	 4.97 	 2.17 	
173.24 	 986.248 	 -61 	-2.52 	 2.17 	 5.32 	
173.24 	 963.312 	 -59.048 	-3.57 	 -7.63 	 6.37 	
240.096 	 962.824 	 -84.424 	-3.5 	 -14.49 	 7.42 	
232.776 	 977.464 	 -88.816 	-4.13 	 -18.9 	 8.47 	
304.512 	 930.128 	 -98.576 	-4.9 	 -19.53 	 13.37 	
209.352 	 978.928 	 -75.152 	-3.71 	 -22.33 	 23.38 	
244 	 969.168 	 -76.616 	-6.3 	 -29.12 	 27.72 	
268.4 	 926.224 	 -78.08 	-8.75 	 -33.95 	 24.43 	
346.968 	 926.224 	 -84.424 	-8.82 	 -36.47 	 15.33 	
354.776 	 934.032 	 -96.624 	-6.79 	 -31.29 	 6.37 	
372.832 	 913.048 	 -115.656 	-4.41 	 -20.37 	 -0.77 	
334.28 	 930.616 	 -107.848 	-2.59 	 -12.67 	 -4.27 	
286.944 	 923.296 	 -103.456 	-1.19 	 -6.44 	 -5.95 	
125.904 	 1027.73 	 -93.696 	-5.74 	 -16.66 	 -3.01 	
-13.664 	 1097.02 	 -73.688 	-24.43 	 -53.83 	 6.16 	
92.232 	 1038.46 	 -120.536 	-49.07 	 -103.74 	 14.56 	
246.928 	 968.192 	 -147.376 	-64.96 	 -134.54 	 16.8 	
559.736 	 854.488 	 -137.616 	-64.54 	 -136.71 	 16.45 	
801.296 	 695.888 	 -128.344 	-44.24 	 -79.59 	 4.9 	
751.032 	 732.488 	 -96.136 	-0.14 	 5.88 	 -11.69 	
682.224 	 789.096 	 -155.672 	40.32 	 85.05 	 -29.96 	
459.696 	 794.464 	 -248.392 	66.15 	 146.86 	 -42.63 	
163.48 	 920.856 	 -252.784 	77.7 	 170.52 	 -48.44 	
-120.536 	 1039.93 	 -217.16 	73.08 	 156.03 	 -46.9 	
-370.392 	 1303.45 	 -105.896 	40.74 	 92.61 	 -27.02 	
-457.744 	 1296.62 	 -54.656 	-15.47 	 -12.39 	 1.47 	
-183 	 1080.43 	 -123.464 	-60.27 	 -109.55 	 21.7 	
123.952 	 938.424 	 -171.776 	-79.03 	 -173.18 	 35.14 	
410.408 	 824.72 	 -174.216 	-76.58 	 -183.54 	 37.52 	
656.848 	 783.24 	 -127.856 	-56.91 	 -146.72 	 27.86 	
752.496 	 715.408 	 -101.504 	-21.07 	 -69.44 	 9.94 	
649.04 	 772.992 	 -113.704 	18.55 	 12.39 	 -11.34 	
558.272 	 840.824 	 -187.392 	49.77 	 83.3 	 -25.34 	
176.168 	 950.624 	 -198.616 	64.12 	 117.88 	 -30.1 	
73.2 	 977.952 	 -188.856 	60.97 	 118.93 	 -27.72 	
-83.448 	 1166.32 	 -113.216 	40.74 	 82.18 	 -14.35 	
54.656 	 1033.1 	 -100.528 	18.76 	 39.2 	 -3.64 	
114.68 	 1019.43 	 -103.456 	2.8 	 7.63 	 2.59 	
241.56 	 971.12 	 -114.192 	-5.81 	 -8.4 	 2.52 	
294.264 	 929.64 	 -118.584 	-5.18 	 -7.7 	 3.85 	
272.792 	 934.032 	 -116.144 	-0.84 	 -1.19 	 4.62 	
294.264 	 925.248 	 -113.704 	3.71 	 3.85 	 3.01 	
315.736 	 912.072 	 -128.832 	8.61 	 11.55 	 0.42 	
382.592 	 884.744 	 -141.52 	15.19 	 24.36 	 0 	
308.416 	 817.888 	 -163.48 	28.7 	 43.47 	 4.2 	
180.072 	 1035.54 	 -164.944 	47.74 	 51.24 	 19.11 	
173.728 	 1068.23 	 -191.296 	36.68 	 39.76 	 13.37 	
185.928 	 1054.08 	 -182.024 	16.31 	 18.9 	 9.17 	
286.944 	 972.096 	 -185.44 	-0.21 	 7 	 8.33 	
304.512 	 892.064 	 -171.288 	-4.48 	 4.13 	 3.92 	
341.6 	 893.528 	 -171.288 	-0.35 	 6.93 	 -0.21 	
293.288 	 940.864 	 -171.288 	3.29 	 10.22 	 -0.63 	
297.192 	 976.976 	 -170.312 	3.08 	 10.36 	 0.77 	
404.552 	 932.568 	 -180.072 	2.38 	 14.14 	 0.77 	
693.448 	 722.24 	 -223.504 	18.97 	 44.94 	 -12.53 	
533.872 	 703.696 	 -287.432 	55.02 	 107.24 	 -32.62 	
409.92 	 818.864 	 -352.824 	81.48 	 154.28 	 -40.39 	
138.104 	 993.08 	 -338.184 	82.53 	 164.99 	 -35.91 	
-162.992 	 1163.88 	 -245.952 	57.82 	 127.19 	 -20.86 	
-295.728 	 1280.02 	 -166.408 	6.93 	 36.47 	 -1.61 	
-183.976 	 1130.7 	 -198.128 	-47.25 	 -66.92 	 14.7 	
-60.024 	 1022.85 	 -269.376 	-83.79 	 -151.69 	 34.86 	
156.648 	 944.28 	 -345.016 	-106.12 	 -204.82 	 49.28 	
452.864 	 778.36 	 -351.848 	-108.22 	 -217.77 	 48.86 	
611.464 	 755.424 	 -274.256 	-91.63 	 -185.57 	 39.41 	
857.416 	 664.168 	 -219.6 	-59.01 	 -123.34 	 25.2 	
885.72 	 678.808 	 -192.76 	-10.43 	 -27.02 	 3.78 	
786.656 	 685.64 	 -239.608 	37.1 	 68.39 	 -24.15 	
623.176 	 763.232 	 -326.472 	69.79 	 140.7 	 -42.28 	
388.936 	 761.28 	 -404.552 	93.03 	 189.28 	 -56.98 	
131.76 	 928.176 	 -392.84 	102.2 	 200.83 	 -55.79 	
-64.904 	 1033.1 	 -328.912 	90.93 	 177.45 	 -49.84 	
-244 	 1189.26 	 -201.056 	62.51 	 114.17 	 -37.52 	
-225.456 	 1189.74 	 -179.096 	21.07 	 31.29 	 -17.29 	
-234.728 	 1223.42 	 -204.472 	-25.76 	 -59.29 	 2.87 	
-77.104 	 1105.32 	 -281.576 	-65.59 	 -135.03 	 16.1 	
31.72 	 995.032 	 -316.712 	-92.33 	 -186.62 	 32.2 	
281.088 	 854.976 	 -334.28 	-99.05 	 -204.05 	 45.57 	
692.472 	 735.416 	 -253.272 	-83.37 	 -181.16 	 44.52 	
785.192 	 683.688 	 -235.216 	-41.16 	 -88.69 	 24.5 	
554.856 	 783.24 	 -190.32 	1.47 	 -13.44 	 4.27 	
487.024 	 902.312 	 -190.808 	24.29 	 40.25 	 -8.54 	
277.184 	 937.936 	 -189.832 	27.86 	 65.66 	 -13.93 	
150.304 	 970.144 	 -140.544 	22.26 	 61.25 	 -12.11 	
189.832 	 965.264 	 -132.248 	16.73 	 45.71 	 -10.57 	
230.336 	 978.44 	 -132.736 	11.06 	 32.97 	 -10.57 	
236.68 	 961.36 	 -133.224 	5.53 	 24.08 	 -17.01 	
252.784 	 955.016 	 -117.608 	1.54 	 18.69 	 -29.47 	
238.144 	 949.16 	 -110.776 	-2.24 	 15.19 	 -57.61 	
185.44 	 932.568 	 -124.44 	-7.98 	 13.02 	 -90.16 	
103.456 	 975.512 	 -124.44 	-11.2 	 8.75 	 -102.2 	
8.296 	 923.296 	 -121.512 	-13.02 	 3.64 	 -92.96 	
-114.192 	 1050.66 	 -100.04 	-6.3 	 3.92 	 -40.53 	
-154.696 	 1003.33 	 -98.576 	-1.26 	 -2.38 	 -8.75 	
-45.384 	 1012.6 	 -103.456 	-0.14 	 -6.72 	 2.03 	
-39.528 	 996.008 	 -98.576 	-0.91 	 -8.54 	 1.75 	
-23.424 	 981.368 	 -96.624 	-2.1 	 -8.05 	 0.49 	
116.144 	 955.016 	 -94.672 	-0.56 	 -1.61 	 0.28 	
434.808 	 812.032 	 -161.528 	11.41 	 37.45 	 -1.19 	
420.656 	 824.232 	 -262.056 	38.57 	 113.47 	 -12.25 	
15.128 	 927.2 	 -346.968 	56.21 	 171.64 	 -31.99 	
-407.48 	 1039.44 	 -293.776 	52.22 	 162.61 	 -45.71 	
-728.096 	 1241.47 	 -179.096 	28.7 	 88.34 	 -36.82 	
-745.664 	 1236.1 	 -154.696 	-15.12 	 -28.84 	 -10.71 	
-514.84 	 1101.9 	 -207.4 	-52.15 	 -132.65 	 10.64 	
-275.72 	 1007.23 	 -297.192 	-74.9 	 -203 	 19.53 	
142.984 	 855.464 	 -252.784 	-76.93 	 -222.25 	 19.39 	
700.768 	 666.12 	 -139.08 	-45.71 	 -155.4 	 2.03 	
532.408 	 808.128 	 -89.304 	0.84 	 -24.92 	 -26.53 	
328.424 	 902.312 	 -179.096 	32.06 	 83.23 	 -43.54 	
191.784 	 903.776 	 -284.992 	43.89 	 157.64 	 -48.65 	
-116.632 	 903.288 	 -360.144 	50.89 	 206.43 	 -51.24 	
-518.744 	 935.496 	 -319.64 	52.57 	 200.9 	 -52.64 	
-796.904 	 1127.77 	 -220.088 	40.74 	 138.11 	 -41.3 	
-905.728 	 1204.87 	 -163.48 	8.75 	 26.04 	 -16.38 	
-660.264 	 1109.71 	 -211.792 	-26.88 	 -82.25 	 4.69 	
-528.504 	 1083.85 	 -252.784 	-50.89 	 -154.07 	 16.66 	
-366.488 	 978.928 	 -269.864 	-68.53 	 -201.46 	 25.97 	
116.144 	 798.856 	 -205.448 	-61.46 	 -202.79 	 30.17 	
456.28 	 728.584 	 -92.72 	-28.28 	 -124.32 	 21.14 	
269.376 	 816.424 	 -78.08 	9.73 	 -25.13 	 3.57 	
26.352 	 961.36 	 -92.232 	29.26 	 46.2 	 -10.64 	
-246.928 	 1043.83 	 -93.208 	25.83 	 70.35 	 -14.35 	
-379.176 	 1029.19 	 -63.44 	15.05 	 55.51 	 -5.74 	
-329.4 	 1001.86 	 -49.288 	6.02 	 28.14 	 0.28 	
-264.008 	 976 	 -69.296 	1.05 	 7.98 	 1.82 	
-216.184 	 987.712 	 -62.952 	-0.91 	 -3.64 	 2.03 	
-187.392 	 983.32 	 -64.416 	-1.19 	 -6.23 	 1.75 	
-187.88 	 972.096 	 -62.952 	-0.35 	 -4.41 	 1.96 	
-221.064 	 977.464 	 -57.584 	0.77 	 -4.48 	 3.29 	
-315.248 	 1017.97 	 -52.704 	-0.56 	 -13.58 	 9.31 	
-432.856 	 1088.24 	 -40.992 	-9.38 	 -42.91 	 22.82 	
-398.696 	 1052.13 	 -37.576 	-23.45 	 -83.72 	 37.38 	
-251.808 	 975.024 	 -42.944 	-31.01 	 -116.34 	 46.41 	
-80.032 	 928.176 	 -32.696 	-29.4 	 -129.08 	 47.74 	
74.664 	 908.168 	 -5.856 	-21.14 	 -117.88 	 41.37 	
188.856 	 899.384 	 -0.488 	-9.59 	 -86.94 	 27.58 	
187.392 	 946.232 	 0.488 	0.84 	 -49.84 	 16.1 	
96.136 	 988.688 	 18.056 	7.49 	 -17.71 	 8.12 	
126.392 	 964.776 	 1.952 	9.94 	 3.85 	 1.61 	
37.088 	 932.568 	 6.832 	16.45 	 28.56 	 -5.53 	
-777.384 	 1423.98 	 178.608 	3.5 	 5.46 	 7.21 	
-1205.36 	 1337.12 	 53.68 	-63.49 	 -152.6 	 62.51 	
99.064 	 918.904 	 -255.224 	-107.31 	 -281.33 	 79.87 	
915.976 	 524.112 	 -141.032 	-91.77 	 -247.59 	 45.5 	
1025.29 	 534.848 	 30.744 	-19.88 	 -95.34 	 -0.63 	
424.56 	 938.424 	 36.112 	31.92 	 31.01 	 -25.9 	
264.008 	 964.776 	 17.08 	45.29 	 87.78 	 -19.25 	
502.152 	 841.8 	 -55.144 	60.06 	 131.39 	 -21.42 	
264.496 	 814.472 	 -205.936 	82.25 	 194.53 	 -39.97 	
-197.64 	 968.192 	 -246.928 	89.88 	 215.25 	 -53.27 	
-941.352 	 1467.42 	 11.712 	63.56 	 145.74 	 -40.67 	
-1034.56 	 1501.58 	 91.256 	-18.13 	 -10.01 	 3.78 	
-387.472 	 1095.56 	 -56.608 	-81.13 	 -154.91 	 38.01 	
-75.64 	 876.448 	 -99.552 	-99.68 	 -216.09 	 43.05 	
381.128 	 795.44 	 -72.224 	-88.55 	 -215.32 	 36.47 	
897.432 	 667.584 	 17.568 	-51.03 	 -142.59 	 19.25 	
858.88 	 650.992 	 22.448 	12.67 	 -0.84 	 -14 	
418.216 	 901.336 	 -42.456 	62.86 	 109.2 	 -30.31 	
371.368 	 887.672 	 -143.472 	80.08 	 169.33 	 -36.96 	
42.456 	 828.624 	 -301.096 	93.17 	 223.37 	 -46.41 	
-417.24 	 1128.26 	 -213.744 	91.07 	 205.94 	 -45.36 	
-570.472 	 1353.71 	 -80.032 	51.52 	 137.97 	 -24.29 	
-429.44 	 1192.18 	 -40.016 	7.77 	 50.75 	 -3.01 	
-44.896 	 1019.43 	 -51.728 	-17.71 	 -2.24 	 5.88 	
88.328 	 906.216 	 -53.192 	-17.36 	 -7.42 	 5.04 	
122.488 	 906.216 	 -57.584 	-2.59 	 8.68 	 0.07 	
74.176 	 982.832 	 -71.736 	8.89 	 27.09 	 -0.98 	
100.528 	 966.728 	 -94.184 	14.35 	 41.3 	 2.94 	
101.504 	 961.36 	 -119.56 	21.28 	 57.33 	 11.97 	
48.8 	 977.464 	 -129.32 	27.86 	 68.46 	 20.72 	
36.112 	 1005.77 	 -165.92 	32.27 	 75.74 	 29.89 	
-78.08 	 1050.18 	 -136.64 	28.28 	 60.9 	 28.28 	
-1.464 	 999.912 	 -124.44 	16.03 	 40.11 	 16.87 	
76.616 	 1004.79 	 -129.808 	7.63 	 21.56 	 4.69 	
61.488 	 968.192 	 -131.272 	2.17 	 9.52 	 1.4 	
111.264 	 972.096 	 -133.712 	0.56 	 0.91 	 -0.42 	
104.92 	 987.712 	 -130.784 	-0.42 	 -3.43 	 0.28 	
132.248 	 965.752 	 -144.936 	-0.35 	 -4.9 	 0.77 	
149.816 	 972.584 	 -150.792 	0.77 	 -4.2 	 -1.82 	
364.536 	 898.896 	 -161.04 	4.41 	 10.92 	 -4.83 	
621.712 	 711.992 	 -271.816 	28.14 	 71.75 	 -10.43 	
352.336 	 848.144 	 -350.384 	58.31 	 145.18 	 -22.12 	
151.28 	 958.92 	 -405.528 	67.2 	 181.51 	 -32.62 	
-238.144 	 1032.12 	 -327.936 	57.26 	 170.17 	 -41.3 	
-383.568 	 1146.31 	 -241.072 	36.12 	 110.95 	 -37.94 	
-555.344 	 1274.66 	 -156.648 	-2.31 	 15.61 	 -16.17 	
-418.704 	 1126.3 	 -204.96 	-42.07 	 -89.46 	 9.17 	
-286.944 	 1074.09 	 -299.144 	-70.14 	 -170.31 	 24.71 	
-112.24 	 1031.14 	 -359.168 	-90.02 	 -226.87 	 33.88 	
178.608 	 860.832 	 -361.608 	-94.64 	 -245.35 	 37.24 	
424.56 	 770.064 	 -246.44 	-74.69 	 -214.69 	 32.83 	
