#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40113940,-32.55,2.38,2.45,1.002,-0.044,0.005
40113960,-34.72,4.55,2.03,1.001,-0.047,0.019
40113980,-36.05,5.11,1.47,0.999,-0.043,0.015
40114000,-36.54,5.67,1.54,1.001,-0.044,0.033
40114020,-38.71,4.13,1.68,1,-0.051,0.029
40114030,-36.47,2.8,0.49,1.001,-0.045,0.033
40114050,-33.46,1.05,0.35,0.999,-0.047,0.023
40114070,-33.46,1.05,0.35,0.999,-0.047,0.023
40114090,-35.35,1.26,0.49,0.999,-0.043,0.03
40114110,-33.88,0.21,0.7,0.999,-0.048,0.026
40114130,-30.24,-0.07,0.07,0.999,-0.041,0.022
40114150,-28.42,0,0.84,1,-0.05,0.028
40114170,-29.19,-0.91,0.42,1,-0.053,0.03
40114190,-31.08,-1.54,-0.21,1,-0.047,0.027
40114210,-31.15,-2.1,-0.35,1,-0.056,0.027
40114230,-34.44,-2.45,-1.4,1.001,-0.051,0.012
40114250,-36.47,-0.77,-2.59,1.003,-0.057,-0.011
40114260,-45.5,5.88,-4.13,0.997,-0.042,0.003
40114280,-53.55,9.59,-1.68,0.995,-0.022,0.043
40114300,-49.91,5.81,2.38,1.001,-0.048,0.042
40114320,-47.67,3.29,1.82,1.001,-0.061,0.027
40114340,-48.09,3.5,0.21,1.001,-0.05,0.033
40114360,-46.34,2.59,-0.35,0.998,-0.055,0.026
40114380,-42.63,2.8,-1.82,1.001,-0.053,0.03
40114400,-38.5,2.31,-2.73,1,-0.053,0.033
40114420,-43.12,2.38,-2.45,0.996,-0.046,0.038
40114440,-41.65,1.4,-1.19,0.998,-0.042,0.051
40114460,-38.08,-1.47,0.42,0.999,-0.054,0.03
40114480,-34.72,-1.19,-0.84,1.001,-0.06,0.035
40114500,-34.37,-2.1,-2.66,1,-0.056,0.03
40114510,-39.2,-1.75,-3.57,0.999,-0.053,0.026
40114530,-42.77,-0.63,-4.41,1,-0.033,0.03
40114550,-42.42,-1.75,-2.31,0.996,-0.034,0.03
40114570,-43.26,-2.59,0.35,0.999,-0.036,0.013
40114590,-45.5,0.28,2.87,0.999,-0.043,0.029
40114610,-48.09,-0.7,4.27,0.999,-0.048,0.043
40114630,-52.15,-3.5,4.48,1.001,-0.067,0.017
40114650,-51.38,-2.17,0.7,1.001,-0.063,0.023
40114670,-53.55,-2.73,-0.77,1.001,-0.043,0.022
40114690,-51.03,-3.15,0.7,0.999,-0.052,0.022
40114710,-49,-3.5,1.05,1,-0.053,0.015
40114730,-48.44,-2.17,1.05,0.998,-0.055,0.016
40114750,-41.44,-2.38,0.28,0.999,-0.057,0.018
40114760,-32.2,-3.64,-0.77,1,-0.05,0.013
40114780,-32.48,-3.36,0.77,0.999,-0.048,0.013
40114800,-30.45,-3.08,1.96,1,-0.059,0.009
40114820,-30.45,-3.08,1.96,1,-0.059,0.009
40114840,-27.51,-2.59,1.19,1.002,-0.063,0.001
40114860,-28.07,-0.98,0.35,1,-0.066,0.007
40114880,-30.73,-0.35,-1.19,1,-0.053,0.013
40114900,-34.37,-0.91,-0.35,0.999,-0.053,0.007
40114920,-38.71,-0.77,0.63,0.998,-0.05,0.009
40114940,-39.13,-0.84,1.61,0.998,-0.049,0.004
40114960,-39.55,0.07,3.08,0.996,-0.07,0.025
40114980,-31.71,-3.92,0.14,1.001,-0.06,0.011
40115000,-31.71,-4.76,0.07,1.002,-0.059,-0.01
40115010,-31.15,-1.89,0,1,-0.066,0.011
40115030,-30.24,-3.43,-1.05,1,-0.052,-0.002
40115050,-31.08,-2.66,0.21,0.999,-0.059,-0.006
40115070,-29.54,-1.47,0.28,1.001,-0.06,0
40115090,-27.93,-1.68,0,1,-0.059,-0.003
40115110,-27.51,-0.84,-0.14,0.998,-0.058,-0.008
40115130,-27.58,0.56,0.07,0.998,-0.059,0.005
40115150,-26.04,-1.33,0,0.998,-0.057,0.013
40115170,-24.36,-3.78,0,1.001,-0.063,-0.008
40115190,-22.96,-2.8,-0.56,0.999,-0.054,-0.011
40115210,-24.22,-1.68,0.21,0.997,-0.048,-0.007
40115230,-22.61,-0.77,1.89,0.998,-0.052,0.002
40115250,-21.21,-2.52,3.22,1.001,-0.066,-0.009
40115260,-24.64,-1.75,2.52,1,-0.063,-0.014
40115280,-24.15,0,1.54,0.999,-0.07,0.001
