#Format version: 1.0
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],
39777350,0.07,-0.35,-0.35,1.001,-0.001,-0.012,
39777370,0.07,-0.7,-0.28,1,-0.001,-0.012,
39777390,0.07,-1.05,-0.14,1.002,-0.001,-0.012,
39777410,0.07,-0.77,-0.14,1.002,-0.001,-0.013,
39777420,0.21,-0.49,-0.07,1,-0.001,-0.01,
39777440,-0.14,-1.61,0.07,0.999,-0.001,-0.011,
39777460,-0.14,-1.89,0,1.002,-0.001,-0.013,
39777480,0.14,-1.12,-0.35,1.002,-0.002,-0.014,
39777500,0.21,-0.21,-0.7,1.001,-0.001,-0.014,
39777520,0.28,0.21,-0.63,1.001,0,-0.01,
39777540,0.07,-0.35,-0.35,1.001,-0.001,-0.012,
39777560,0.07,-0.7,-0.35,1.001,-0.001,-0.012,
39777580,0.14,-0.49,-0.42,1.001,-0.001,-0.012,
39777600,0.07,-0.56,-0.28,1.001,-0.001,-0.011,
39777620,0.07,-0.91,0,1,-0.001,-0.012,
39777640,0.14,-0.84,-0.14,1,-0.001,-0.012,
39777660,0,-0.77,-0.35,1.001,-0.001,-0.012,
39777670,0.21,-0.63,0,1.001,-0.001,-0.013,
39777690,0.35,-0.49,0.14,1.003,-0.002,-0.011,
39777710,0.28,-0.49,-0.14,1.001,-0.002,-0.012,
39777730,0.35,-0.14,-0.28,1.001,0,-0.011,
39777750,0.28,0.21,-0.21,1,-0.002,-0.012,
39777770,0.28,0.28,-0.21,1.001,-0.001,-0.01,
39777790,0.28,0.28,-0.21,1.001,-0.001,-0.01,
39777810,0.14,-0.07,-0.49,1,-0.002,-0.01,
39777830,0.21,-0.42,-0.7,1,-0.001,-0.009,
39777850,0.07,-0.84,-0.77,1.002,-0.002,-0.009,
39777870,0.07,-0.91,-0.84,1.003,-0.002,-0.011,
39777890,0.07,-0.7,-1.05,1,-0.001,-0.009,
39777910,-0.14,-1.12,-1.26,1,0.001,-0.01,
39777920,-0.35,-1.68,-0.77,0.999,-0.002,-0.012,
39777940,-0.14,-1.75,-0.63,1.002,0,-0.012,
39777960,0.07,-1.4,-0.28,1.002,0,-0.012,
39777980,0.28,-0.63,-0.14,1.001,0,-0.012,
39778000,0.28,-0.07,0.07,0.998,0.001,-0.012,
39778020,0.42,-0.21,0.98,1.001,0,-0.01,
39778040,0.21,-0.7,1.05,1.002,-0.004,-0.011,
39778060,0.28,-0.56,0.28,1.002,-0.003,-0.011,
39778080,0.21,-0.49,-0.28,1,-0.002,-0.01,
39778100,0,-0.77,-0.28,1,-0.001,-0.009,
39778120,-0.14,-1.19,-0.28,1.002,-0.002,-0.012,
39778130,0.07,-1.05,-0.35,1.002,-0.001,-0.012,
39778150,0.14,-0.98,-0.28,1.001,-0.002,-0.009,
39778170,-0.21,-1.89,0.21,0.998,-0.001,-0.012,
39778190,0.07,-1.96,1.19,1.001,-0.001,-0.012,
39778210,0.42,-1.4,1.47,1.002,-0.004,-0.012,
39778230,0.35,-1.12,0.7,1.003,-0.004,-0.012,
39778250,0.28,-0.77,0,1.001,-0.003,-0.011,
39778270,0.21,-0.56,-0.28,1.001,-0.003,-0.011,
39778290,0.07,-0.7,-0.49,1,-0.004,-0.012,
39778310,0.07,-0.77,-0.63,1.001,-0.003,-0.012,
39778330,0.07,-0.63,-0.56,1.001,-0.003,-0.012,
39778350,0.14,0,-0.77,1.001,-0.003,-0.01,
39778360,0,0.14,-0.77,1,-0.003,-0.011,
39778380,-0.14,-0.21,-0.63,1,-0.003,-0.009,
39778400,-0.21,-0.91,-0.42,1.003,-0.003,-0.013,
39778420,0.28,-0.35,-0.35,1.002,-0.003,-0.011,
39778440,0.35,0.14,-0.7,1.002,-0.002,-0.009,
39778460,0.07,0.35,-0.84,1,-0.001,-0.009,
39778480,-0.07,0.21,-0.63,1,-0.002,-0.01,
39778500,0.07,-0.14,-0.28,1.001,-0.002,-0.01,
39778520,0.07,-0.14,-0.28,1.001,-0.002,-0.01,
39778540,0.35,-0.14,-0.14,1,-0.002,-0.008,
39778560,0.07,-0.63,-0.07,1,-0.002,-0.009,
39778580,-0.07,-0.91,-0.35,1.001,-0.002,-0.008,
39778590,-0.14,-0.84,-0.49,1,-0.002,-0.009,
39778610,0.07,-0.56,-0.56,1.001,-0.003,-0.01,
39778630,0.28,-0.14,-0.7,1.003,-0.004,-0.009,
39778650,0.21,0.49,-1.26,1,-0.001,-0.008,
39778670,0,1.05,-1.33,1.001,-0.001,-0.007,
39778690,-0.21,1.19,-1.19,1,-0.001,-0.007,
39778710,-0.14,0.42,-0.7,1.001,-0.001,-0.006,
39778730,0,-0.28,-0.28,1.002,-0.002,-0.007,
39778750,0.07,-0.63,-0.14,1.001,-0.002,-0.007,
39778770,0,-0.63,-0.21,1,-0.001,-0.005,
39778790,-0.07,-0.84,-0.14,1.001,-0.001,-0.007,
39778810,0.14,-0.98,0.07,1.001,-0.001,-0.007,
39778820,0.14,-1.12,0,1.001,-0.002,-0.007,
39778840,0.07,-1.05,-0.28,1.001,-0.002,-0.006,
39778860,0,-1.12,-0.28,1.001,-0.002,-0.008,
39778880,0.14,-0.98,-0.35,1.002,-0.002,-0.007,
39778900,0.14,-1.12,-0.56,1,-0.002,-0.006,
39778920,0.07,-1.33,-0.7,1,0,-0.007,
39778940,0,-1.4,-0.42,1,0,-0.006,
39778960,-0.21,-1.47,-0.35,1.001,-0.002,-0.009,
39778980,0.07,-1.26,-0.21,1.002,-0.002,-0.009,
39779000,0.35,-1.05,-0.35,0.999,-0.002,-0.007,
39779020,0.14,-1.4,-0.7,1.001,0,-0.008,
39779030,-0.07,-1.61,-0.77,1,-0.001,-0.008,
39779050,-0.21,-1.61,-0.98,1.002,0,-0.009,
39779070,0,-0.91,-0.98,1.003,-0.001,-0.01,
39779090,0.35,-0.14,-0.98,1.002,-0.001,-0.009,
39779110,0.14,-0.49,-0.91,0.999,0.001,-0.007,
39779130,-0.21,-1.4,-0.28,1,0,-0.008,
39779150,-0.14,-1.4,-0.07,1.001,-0.001,-0.01,
39779170,0.35,-0.56,0.07,1.001,0,-0.009,
39779190,0.21,-0.7,-0.07,0.999,0,-0.006,
39779210,0,-1.26,-0.21,1.001,-0.001,-0.009,
39779230,0.21,-1.47,-0.35,1.003,-0.001,-0.01,
39779250,0.49,-1.33,-0.7,1.001,-0.003,-0.008,
39779260,0.49,-1.33,-0.7,1.001,-0.003,-0.008,
39779280,0.35,-1.33,-1.4,0.998,0,-0.009,
39779300,0.14,-1.75,-0.84,0.999,0,-0.011,
39779320,0.35,-1.4,-0.49,0.999,0,-0.009,
39779340,0.35,-1.4,-0.63,1.001,-0.002,-0.009,
39779360,0.21,-1.4,-1.12,1.002,0,-0.011,
39779380,0.42,-1.05,-1.26,1.002,0.001,-0.011,
39779400,0.49,-0.49,-0.84,1,0.001,-0.01,
39779420,0.28,-0.21,-0.77,1.001,0.001,-0.01,
39779440,0.21,0.28,-0.98,1.002,0,-0.01,
39779460,0.07,0.28,-0.84,1.002,0.002,-0.009,
39779480,0.07,0.56,-0.42,1.002,0.001,-0.01,
39779500,0.21,0.84,-0.49,1,0,-0.008,
39779510,0.28,0.28,-0.63,1,0,-0.008,
39779530,0.21,-0.28,-0.7,1.001,0.002,-0.007,
39779550,0.21,-0.84,-0.28,1.002,0,-0.009,
39779570,0.35,-0.63,-0.28,1.001,0,-0.008,
39779590,0.35,-0.49,-1.05,1.001,0,-0.008,
39779610,0.35,0.07,-1.4,1,0.005,-0.009,
39779630,0.77,0.7,-0.84,1.001,0.002,-0.007,
39779650,0.7,0.98,-0.98,1.001,0.002,-0.005,
39779670,0.21,0.35,-0.91,0.999,0.002,-0.005,
39779690,-0.07,-0.35,-0.7,1.001,0.002,-0.005,
39779710,0.14,-0.35,-0.63,1.001,0.001,-0.006,
39779730,0.07,-0.63,-0.84,1,0.002,-0.004,
39779750,-0.07,-1.05,-0.77,1.001,0.003,-0.007,
39779760,0.28,-0.42,-0.42,1.001,0.002,-0.005,
39779780,0.42,0,-0.35,0.999,0.003,-0.005,
39779800,0.35,-0.28,-0.28,1.001,0.003,-0.005,
39779820,0.28,-0.77,-0.07,1,0.003,-0.004,
39779840,-0.14,-1.82,-0.14,1,0.002,-0.004,
39779860,-0.49,-2.38,-0.14,1.001,0.002,-0.006,
39779880,-0.49,-1.96,-0.35,1.002,0.002,-0.007,
39779900,-0.07,-1.12,-0.42,1.002,0.002,-0.008,
39779920,0.49,-0.28,-0.49,1.001,0.002,-0.005,
39779940,0.28,-0.42,-0.7,0.999,0.003,-0.004,
39779960,-0.21,-1.12,-0.56,1.002,0.003,-0.007,
39779980,0.07,-0.91,-0.28,1.001,0.002,-0.006,
39780000,0.07,-0.91,-0.14,1.002,0.002,-0.006,
39780010,0.07,-0.91,-0.14,1.002,0.002,-0.006,
39780030,-0.07,-0.98,-0.21,1,0.002,-0.005,
39780050,-0.42,-1.75,-0.28,1.001,0.002,-0.006,
39780070,-0.56,-2.24,-0.21,1,0.001,-0.008,
39780090,-0.42,-2.17,-0.21,1.001,0.002,-0.008,
39780110,-0.28,-1.96,-0.28,1,0.001,-0.009,
39780130,0.07,-1.54,-0.35,1.002,0.002,-0.01,
39780150,0.42,-0.77,-0.7,1.001,-0.001,-0.007,
39780170,0.07,-0.77,-1.54,1,0.008,-0.008,
39780190,-0.21,-1.12,-0.77,1,0.003,-0.008,
39780210,-0.14,-1.12,-0.49,1.002,0.004,-0.009,
39780230,0,-0.77,-0.28,1.001,0.003,-0.008,
39780250,-0.21,-1.12,-0.35,0.999,0.004,-0.008,
39780260,-0.49,-1.4,-0.21,1,0.004,-0.009,
39780280,-0.49,-1.47,0,1.001,0.003,-0.009,
39780300,-0.21,-1.19,-0.14,1.003,0.003,-0.009,
39780320,0,-0.91,-0.14,1.001,0.002,-0.01,
39780340,0.14,-0.63,-0.28,1,0.002,-0.009,
39780360,0.14,-0.49,-0.35,1.001,0.003,-0.009,
39780380,0.14,-0.77,-0.14,1.001,0.003,-0.009,
39780400,0.21,-0.77,-0.07,1,0.002,-0.009,
39780420,0.21,-0.42,-0.42,1,0.003,-0.009,
39780440,0.28,-0.21,-0.63,1.001,0.004,-0.009,
39780460,0.21,-0.21,-0.49,1.002,0.003,-0.009,
39780480,0.21,-0.28,-0.35,1,0.004,-0.007,
39780500,0.14,-0.35,-0.42,1,0.003,-0.008,
39780510,0.21,-0.21,-0.56,1.001,0.004,-0.009,
39780530,0.49,0.35,-0.56,1.001,0.003,-0.008,
39780550,0.63,0.63,-0.63,1.001,0.003,-0.008,
39780570,0.84,0.77,-0.49,1.001,0.003,-0.007,
39780590,0.63,0.42,-0.56,0.997,0.004,-0.004,
39780610,-0.14,-0.63,-0.63,1.001,0.004,-0.007,
39780630,-0.21,-0.84,-0.56,1.001,0.003,-0.006,
39780650,0.07,-0.84,-0.56,1.001,0.003,-0.006,
39780670,0.28,-0.84,-0.42,1.001,0.004,-0.006,
39780690,0.14,-1.47,0.07,1,0.004,-0.005,
39780710,-0.28,-1.96,0,1,0.003,-0.006,
39780730,-0.49,-1.68,-0.49,1.004,0.002,-0.011,
39780750,-0.49,-1.68,-0.49,1.004,0.002,-0.011,
39780760,0.42,0,-1.47,0.999,-0.002,0,
39780780,-0.84,-0.77,-3.22,0.998,0.011,-0.008,
39780800,-1.26,-1.82,-1.26,1.004,0.005,-0.006,
39780820,-1.19,-2.45,-0.07,0.998,0.007,-0.007,
39780840,-1.4,-3.36,0.56,0.997,0.003,-0.011,
39780860,-0.42,-2.94,0.28,1.001,0.005,-0.011,
39780880,0.14,-2.31,0.7,1.003,0.005,-0.008,
39780900,-0.07,-2.17,1.19,0.998,0.004,-0.012,
39780920,0.21,-1.96,1.4,1.001,0.002,-0.011,
39780940,0.28,-1.61,0.77,1,0.001,-0.01,
39780960,0.35,-1.68,0.14,1.002,0.002,-0.011,
39780980,0.21,-1.89,-0.21,1.003,0.001,-0.011,
39781000,-0.07,-2.1,-0.63,1.002,0.003,-0.011,
39781010,-0.28,-1.96,-0.84,1.001,0.004,-0.012,
39781030,-0.28,-1.4,-1.26,1.003,0.001,-0.015,
39781050,0.14,0.14,-2.52,1.002,0.005,-0.014,
39781070,0.14,1.4,-2.59,0.999,0.008,-0.01,
39781090,-0.14,1.82,-1.61,0.999,0.005,-0.013,
39781110,0.14,2.73,-1.26,0.999,0.005,-0.01,
39781130,0.63,2.8,-1.05,1,0.006,-0.008,
39781150,0.63,2.1,-0.56,0.999,0.005,-0.007,
39781170,0.42,0.91,-0.07,0.999,0.007,-0.006,
39781190,0.42,-0.28,0.63,1,0.005,-0.005,
39781210,0.07,-1.26,0.77,0.999,0.005,-0.005,
39781230,0,-2.17,1.05,1.002,0.005,-0.008,
39781250,-0.21,-2.66,1.05,1.003,0.002,-0.007,
39781260,0,-2.66,0.35,1.001,0.003,-0.01,
39781280,0.21,-1.68,-0.07,1,0.003,-0.009,
39781300,0.07,-1.19,-0.21,1.001,0.004,-0.008,
39781320,0.07,-1.12,0.07,1.001,0.003,-0.01,
39781340,0.14,-0.91,0.35,1,0.004,-0.008,
39781360,-0.07,-1.26,0.49,0.995,0.007,-0.012,
39781380,0.91,-0.63,1.96,1,0.004,-0.008,
39781400,0,-1.82,2.45,1.007,-0.004,-0.01,
39781420,0.42,-1.19,1.05,1.003,0.002,-0.009,
39781440,0.49,-0.07,0.49,1,0,-0.01,
39781460,0.35,0.7,-0.35,1.001,0.001,-0.009,
39781480,0.35,1.26,-0.63,1.003,0,-0.009,
39781500,0.35,1.26,-0.63,1.003,0,-0.009,
39781510,0.63,1.61,-0.91,1.002,0,-0.008,
39781530,0.77,1.33,-1.05,1.002,0.001,-0.006,
39781550,0.49,0.63,-0.35,0.999,0.001,-0.005,
39781570,0.21,0,0.28,0.999,0,-0.007,
39781590,0.07,-0.14,0.21,0.999,0,-0.005,
39781610,-0.28,-0.91,0,1.001,0.001,-0.005,
39781630,-0.28,-1.19,0.07,1.001,0,-0.007,
39781650,0.21,-0.91,-0.14,1.001,0,-0.007,
39781670,0.56,-0.49,-0.77,1.001,0,-0.005,
39781690,0.42,-0.28,-1.75,1.001,0.001,-0.007,
39781710,0.63,0.21,-1.82,1,0.003,-0.006,
39781730,0.7,0.35,-1.19,1,0.002,-0.004,
39781740,0.35,0.21,-0.56,1.001,0.002,-0.004,
39781760,0,-0.14,0.14,1.001,0.002,-0.004,
39781780,-0.14,-0.77,0.56,1,0.001,-0.005,
39781800,-0.14,-1.19,0.7,1.001,0,-0.006,
39781820,0.28,-0.35,0.42,1.001,0,-0.007,
39781840,0.77,0.91,-0.14,1.001,0.001,-0.004,
39781860,0.35,0.91,-0.21,1,0.001,-0.001,
39781880,-0.35,-0.21,0,0.999,0.001,-0.001,
39781900,-0.63,-1.82,0,1.001,0,-0.004,
39781920,-0.42,-1.89,-0.35,1.001,0,-0.006,
39781940,-0.07,-0.91,-0.63,1.002,0.001,-0.006,
39781960,0.21,-0.07,-0.56,0.999,0.001,-0.001,
39781970,-0.42,-1.19,0.07,1,0.001,-0.002,
39781990,-0.63,-2.38,0.91,1.001,0,-0.004,
39782010,-0.35,-2.38,0.84,1.001,0,-0.006,
39782030,0,-1.75,0.49,0.999,0,-0.006,
39782050,0.21,-1.12,0.42,1.003,0,-0.006,
39782070,0.7,0,0.14,1.002,-0.001,-0.008,
39782090,0.91,1.05,-0.63,0.999,0,-0.002,
39782110,0.28,0.42,-1.12,1.002,0,-0.004,
39782130,-0.14,-0.35,-0.63,0.998,0,-0.004,
39782150,0.07,-0.98,0,1.001,0,-0.005,
39782170,0.28,-0.98,0.07,1.001,0,-0.004,
39782180,0.07,-1.05,-0.28,0.999,0,-0.003,
39782200,-0.14,-1.12,-0.63,1.003,0,-0.007,
39782220,0.49,0,-0.7,1.002,0,-0.005,
39782240,0.49,0,-0.7,1.002,0,-0.005,
39782260,0.7,0.42,-0.63,1.001,0,-0.002,
39782280,0.28,-0.49,-0.42,1,0,-0.003,
39782300,0.21,-0.91,-0.35,1.002,0,-0.005,
39782320,0.42,-0.56,-0.49,1.001,0,-0.002,
39782340,0,-0.77,-0.63,1.001,0.001,-0.003,
39782360,-0.07,-0.77,-0.56,1.002,0,-0.004,
39782380,0.14,-0.49,-0.77,1,0,-0.004,
39782400,0.28,-0.49,-0.56,1.001,0.001,-0.003,
39782410,0.35,-0.35,-0.28,0.999,0,-0.003,
39782430,0.14,-0.56,-0.21,1.002,0.001,-0.002,
39782450,0,-0.63,-0.07,1.001,0,-0.004,
39782470,0.35,-0.35,-0.07,1.001,0,-0.003,
39782490,0.56,-0.07,-0.21,1,0,-0.003,
39782510,0.63,0.42,-0.63,1.001,0,-0.002,
39782530,0.42,0.49,-0.77,1,0,-0.001,
39782550,0.14,-0.28,-0.77,1.001,0,-0.002,
39782570,0.42,-0.63,-0.77,1.001,0,-0.002,
39782590,0.77,-0.49,-0.56,1.002,0.002,-0.002,
39782610,0.7,-0.21,0,1.001,0.001,0,
39782630,0.42,-0.91,0.42,1.001,0,-0.001,
39782640,0.28,-1.12,0.49,1,0,-0.001,
39782660,-0.07,-1.47,0.35,0.999,0.001,0.002,
39782680,-0.21,-1.4,1.19,1.003,-0.001,-0.007,
39782700,0.35,-0.14,1.12,1.001,0,-0.002,
39782720,0.77,0.7,1.12,1,-0.001,0.001,
39782740,0.63,0.49,1.26,1,-0.003,-0.003,
39782760,0.63,0.42,0.98,1.002,-0.004,-0.001,
39782780,0.84,0.7,0.07,1.001,-0.001,0,
39782800,0.49,0.14,-0.35,1,-0.003,0.001,
39782820,0,-0.84,-1.05,0.999,-0.003,0.001,
39782840,-0.35,-1.26,-1.68,1.003,-0.002,0,
39782860,-0.14,-0.77,-1.54,1,0,-0.001,
39782870,0.07,-0.77,-0.63,1,0,0,
39782890,0,-0.84,-0.21,1,-0.001,0,
39782910,0,-0.98,0.07,1.001,0,0,
39782930,-0.35,-1.54,0.35,1,0,0,
39782950,-0.35,-1.61,0.35,1.001,-0.002,0,
39782970,-0.21,-1.4,0.28,1.001,-0.002,-0.001,
39782990,-0.21,-1.4,0.28,1.001,-0.002,-0.001,
39783010,-0.07,-1.26,0.21,1,-0.001,0,
39783030,-0.42,-1.96,0.07,1.001,-0.003,-0.002,
39783050,-0.21,-1.96,-0.21,1.001,-0.002,-0.001,
39783070,0.07,-2.17,-0.14,1.002,-0.002,-0.002,
39783080,0.35,-2.17,0,1.001,-0.002,-0.004,
39783100,0.77,-1.12,-0.35,1.002,-0.002,-0.004,
39783120,1.12,0.07,-0.63,1,-0.002,-0.003,
39783140,1.05,0.21,-0.63,1.001,-0.001,-0.002,
39783160,0.91,0.21,-0.56,1.001,-0.002,-0.002,
39783180,1.12,0.84,-0.49,1.002,-0.003,-0.001,
39783200,1.19,1.4,-0.49,1.001,-0.001,0,
39783220,0.98,1.05,-0.28,1.001,-0.002,0.002,
39783240,0.49,0.21,-0.14,1.001,-0.002,0,
39783260,0.63,0.35,-0.14,1.001,-0.001,0.001,
39783280,0.77,0.63,-0.07,1.001,-0.002,0,
39783300,0.84,0.56,-0.21,1.001,-0.003,0.002,
39783320,0.63,-0.07,-0.42,1,-0.003,0.001,
39783330,0.28,-0.56,-0.35,0.999,0,0.002,
39783350,0.21,-0.28,-0.07,1.002,-0.002,0,
39783370,0.91,0.77,0.14,1.001,-0.002,0,
39783390,1.47,1.26,0,1,-0.004,0.003,
39783410,1.61,1.05,-0.35,1.005,-0.002,0.006,
39783430,-0.49,-0.63,-2.87,1.003,-0.006,0.004,
39783450,-0.14,0.28,-2.38,0.992,0,0,
39783470,1.19,1.54,-1.82,1.001,-0.001,0.006,
39783490,1.05,2.03,-2.52,1,0,0.006,
39783510,1.61,2.52,-2.17,1.002,0,0.005,
39783530,1.82,2.94,-1.75,1.001,0.001,0.007,
39783550,1.75,3.43,-0.77,1.001,0.001,0.008,
39783570,1.61,2.87,-0.21,1,0,0.011,
39783580,1.82,1.96,0.28,1.002,0,0.011,
39783600,2.24,1.96,0.84,1.002,0.002,0.012,
39783620,1.26,1.47,1.61,1.004,0.014,0.023,
39783640,-0.56,-0.42,4.34,0.995,-0.007,0.004,
39783660,1.05,0.28,4.83,1.001,-0.008,0.014,
39783680,0.7,-0.35,2.87,1.001,-0.005,0.017,
39783700,0.49,-0.42,0.98,0.998,-0.004,0.016,
39783720,0.49,-0.42,0.98,0.998,-0.004,0.016,
39783740,-0.21,-1.12,-0.63,0.997,-0.004,0.017,
39783760,-1.33,-2.45,-1.26,0.999,-0.004,0.016,
39783780,-2.03,-3.99,-0.84,1.002,-0.003,0.013,
39783800,-2.03,-4.83,0.07,1.001,-0.005,0.011,
39783820,-1.89,-5.11,0.56,1,-0.005,0.008,
39783830,-1.61,-4.83,0.98,1.002,-0.002,0.007,
39783850,-1.12,-4.06,1.75,1.001,-0.006,0.006,
39783870,-0.56,-3.01,1.47,1.003,-0.007,0.002,
39783890,0.49,-1.05,0.77,1,-0.007,0.006,
39783910,0.7,-0.07,0.07,1,-0.006,0.008,
39783930,0.42,-0.07,0,1.003,-0.007,0.006,
39783950,0.28,0.14,-0.35,1,-0.006,0.009,
39783970,0.07,-0.35,-0.63,0.999,-0.007,0.009,
39783990,-0.28,-0.98,-0.84,1.001,-0.006,0.007,
39784010,-0.35,-0.98,-0.7,1,-0.006,0.007,
39784030,-0.21,-0.7,-0.42,1,-0.005,0.005,
39784050,0.35,0.07,0,1.005,-0.007,0.007,
39784070,0.7,1.05,0.07,1.004,-0.006,0.008,
39784080,0.98,1.75,0.28,1.001,-0.006,0.008,
39784100,1.12,2.1,0.63,1.002,-0.006,0.009,
39784120,1.4,2.17,1.12,0.999,-0.009,0.013,
39784140,0.7,1.12,0.77,0.999,-0.004,0.012,
39784160,0.14,0.49,0.98,1,-0.011,0.015,
39784180,-0.42,-0.35,0.42,0.999,-0.008,0.013,
39784200,-0.56,-1.33,0.63,1.001,-0.009,0.011,
39784220,-0.21,-0.98,0.63,1,-0.008,0.011,
39784240,-0.21,-0.63,0.56,1.001,-0.009,0.012,
39784260,-0.49,-0.35,0.77,0.998,-0.002,0.009,
39784280,-0.56,-0.91,1.96,1.002,-0.016,0.017,
39784300,-0.77,-1.96,1.19,1.003,-0.013,0.012,
39784320,-0.56,-1.82,0.63,1.001,-0.011,0.011,
39784330,-0.49,-1.26,0.21,1.002,-0.01,0.01,
39784350,-0.28,-0.35,0.28,1.003,-0.01,0.009,
39784370,0.14,0.35,1.05,0.999,-0.013,0.011,
39784390,0.28,0.49,0.77,1.001,-0.012,0.013,
39784410,-0.21,-0.07,0.63,0.998,-0.015,0.015,
39784430,-0.84,-2.03,0.07,1,-0.013,0.014,
39784450,-1.19,-3.29,0.21,1,-0.013,0.012,
39784470,-1.19,-3.29,0.21,1,-0.013,0.012,
39784490,-1.4,-3.29,0.07,1,-0.014,0.011,
39784510,-1.54,-2.73,-0.42,1.001,-0.013,0.01,
39784530,-1.61,-2.45,-0.63,0.999,-0.013,0.008,
39784550,-1.33,-2.59,-0.35,1.002,-0.013,0.008,
39784570,-0.84,-2.8,0,1.005,-0.014,0.006,
39784580,-0.14,-2.1,0.21,1.002,-0.013,0.008,
39784600,-0.21,-1.33,-0.21,1.001,-0.013,0.008,
39784620,-0.98,-0.91,-0.49,0.998,-0.012,0.008,
39784640,-1.4,-1.61,0.42,1.001,-0.009,0.005,
39784660,-0.21,-1.82,3.71,1.003,-0.006,0.004,
39784680,0.84,-1.89,6.16,1.001,-0.027,0.005,
39784700,1.33,-1.05,4.48,1.003,-0.024,0.006,
39784720,1.26,0.42,1.4,1,-0.02,0.006,
39784740,1.4,1.54,-1.33,1,-0.019,0.006,
39784760,1.33,2.1,-2.73,1.002,-0.019,0.011,
39784780,-0.07,0.91,-4.06,1.003,-0.023,0.012,
39784800,-1.12,-0.14,-4.76,1,-0.015,0.009,
39784820,-0.42,0.21,-3.36,0.999,-0.008,0.007,
39784830,0.35,1.33,-1.75,1,-0.012,0.01,
39784850,0.14,1.96,-1.4,1.001,-0.013,0.011,
39784870,0.07,2.24,-1.19,1.001,-0.013,0.011,
39784890,0.28,1.82,-1.19,1.001,-0.012,0.013,
39784910,0.56,0.98,-1.26,1.006,-0.013,0.013,
39784930,0,0.77,-2.31,0.999,-0.014,0.015,
39784950,0.07,2.03,-2.73,1,-0.008,0.016,
39784970,-1.54,1.75,-3.43,1.005,-0.016,0.025,
39784990,-3.36,0.49,-4.76,0.996,-0.004,0.012,
39785010,-1.89,-0.14,-2.24,0.998,-0.007,0.016,
39785030,-0.77,-1.89,0.14,1.001,-0.008,0.015,
39785050,0.14,-2.8,1.4,0.998,-0.009,0.013,
39785070,0.98,-3.15,2.31,0.999,-0.008,0.015,
39785080,0.77,-2.87,2.59,1,-0.01,0.014,
39785100,0.7,-1.68,2.31,0.999,-0.009,0.01,
39785120,0.84,-0.98,1.82,1.003,-0.015,0.018,
39785140,0.21,-1.89,0.49,0.999,-0.012,0.015,
39785160,-0.07,-2.8,-0.35,1.001,-0.013,0.013,
39785180,-0.14,-2.66,-0.98,1,-0.012,0.012,
39785200,-0.35,-2.66,-1.4,1,-0.012,0.012,
39785220,-0.35,-2.66,-1.4,1,-0.012,0.012,
39785240,-0.42,-2.8,-1.68,1.001,-0.012,0.009,
39785260,-0.14,-2.52,-1.75,1.003,-0.009,0.009,
39785280,0.21,-1.82,-1.33,1.002,-0.009,0.01,
39785300,-0.14,-1.68,-1.05,1,-0.009,0.011,
39785320,-0.49,-1.61,-0.84,1.001,-0.01,0.008,
39785330,-0.07,-1.33,-0.49,1.001,-0.01,0.008,
39785350,0,-1.33,-0.07,1.001,-0.01,0.009,
39785370,0,-1.33,0.07,1.002,-0.009,0.008,
39785390,0.21,-0.63,0.21,1.001,-0.01,0.008,
