#Format version: 1.0
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],
39720920,-0.14,-1.68,-0.98,1.003,-0.013,0.006,
39720940,0,-1.05,-0.56,1,-0.014,0.007,
39720960,0.14,-0.77,-0.84,1.002,-0.014,0.006,
39720980,0.21,-0.7,-1.26,1,-0.016,0.007,
39721000,0.21,-1.4,-1.61,1,-0.013,0.008,
39721020,-0.07,-2.03,-2.1,1.002,-0.017,0.008,
39721040,-0.42,-1.89,-3.08,1.005,-0.008,0.003,
39721060,0,-0.98,-2.52,1.003,-0.004,0.005,
39721080,0,-0.7,-1.19,0.998,-0.011,0.007,
39721100,0.07,-1.26,-1.4,1.003,-0.012,0.008,
39721120,-0.49,-1.89,-1.82,0.999,-0.004,0.006,
39721140,-1.05,-2.1,-0.56,0.999,-0.008,0.005,
39721160,-1.19,-2.17,-0.07,1,-0.008,0.003,
39721170,-0.84,-2.17,0.42,1.002,-0.009,0.004,
39721190,-1.05,-1.89,0.28,1,-0.006,0.005,
39721210,-1.4,-1.68,1.19,1.001,-0.011,0.002,
39721230,-1.05,-1.12,0.98,1.001,-0.01,0.002,
39721250,-0.7,-1.4,0.63,1.002,-0.013,0.003,
39721270,-0.84,-1.89,0.28,1.001,-0.01,0.004,
39721290,-0.98,-2.03,0.07,1.001,-0.012,0.001,
39721310,-0.98,-2.03,0.07,1.001,-0.012,0.001,
39721330,-0.63,-1.68,-0.21,1.001,-0.012,0,
39721350,0.07,-1.26,-0.28,1.002,-0.011,0.001,
39721370,0.42,-0.63,-0.21,1.002,-0.011,0,
39721390,0.56,0.14,-0.14,1.003,-0.008,0.003,
39721410,0.21,0.98,0.42,1,-0.012,0.004,
39721420,-0.21,0.63,0.28,1.002,-0.006,0.002,
39721440,-0.07,0.7,1.4,1.001,-0.017,0.002,
39721460,0.14,0.84,0.49,0.999,-0.014,0.006,
39721480,-0.21,-0.14,-0.21,1.002,-0.013,0.004,
39721500,-0.28,0,-0.35,1.002,-0.012,0.006,
39721520,-0.42,-0.42,-0.14,1.002,-0.014,0.003,
39721540,0.14,-0.35,0.14,1.001,-0.013,0.003,
39721560,0.84,0,0.07,1.001,-0.014,0.004,
39721580,1.33,0.28,-0.07,1.001,-0.011,0.008,
39721600,0.63,-0.14,-0.14,0.999,-0.013,0.007,
39721620,0.35,-0.49,-0.35,1.002,-0.013,0.005,
39721640,0.77,-0.14,-0.28,1.002,-0.014,0.003,
39721660,1.89,0.63,-0.07,1.004,-0.014,0.002,
39721670,3.36,2.38,-0.07,1.008,-0.015,0.009,
39721690,2.59,2.03,-1.4,0.993,-0.009,0.009,
39721710,1.75,1.12,-0.42,1,-0.012,0.01,
39721730,2.03,1.47,0,1.001,-0.012,0.013,
39721750,1.4,1.19,-0.14,1.001,-0.012,0.012,
39721770,0.84,0.77,-0.14,0.998,-0.013,0.013,
39721790,0.42,0.14,-0.35,1.001,-0.013,0.011,
39721810,0.49,0.14,-0.28,1.002,-0.015,0.011,
39721830,0.42,0.35,-0.7,1.001,-0.012,0.013,
39721850,0.35,0.28,-0.63,1.002,-0.013,0.012,
39721870,0.84,0.56,-0.77,1.004,-0.016,0.009,
39721880,2.38,1.33,-1.12,0.998,-0.013,0.013,
39721900,2.8,1.33,-1.33,1.001,-0.018,0.017,
39721920,0.77,-0.35,-3.36,1,-0.001,0.018,
39721940,-0.07,-1.26,-1.26,0.999,-0.01,0.013,
39721960,0.28,-0.98,-0.35,1.003,-0.01,0.013,
39721980,0.91,0,0.07,1.003,-0.011,0.013,
39722000,0.98,0.28,0.14,0.999,-0.009,0.02,
39722020,-0.77,-1.12,0.14,1.003,-0.008,0.016,
39722040,-1.54,-1.54,0.77,1.001,-0.008,0.015,
39722060,-1.54,-1.54,0.77,1.001,-0.009,0.015,
39722080,-1.26,-1.19,0.91,1.001,-0.015,0.012,
39722100,-0.84,-0.63,0.35,1,-0.011,0.017,
39722110,-1.4,-0.98,0.21,1,-0.012,0.015,
39722130,-1.4,-0.7,0.14,1.003,-0.009,0.013,
39722150,-0.98,-0.56,1.12,0.998,-0.015,0.014,
39722170,-0.56,-0.77,0.63,1.001,-0.012,0.012,
39722190,-0.21,-1.05,0.77,1.001,-0.016,0.014,
39722210,0.07,-0.56,0.56,1.001,-0.011,0.011,
39722230,0.28,0.21,0.84,1.001,-0.016,0.018,
39722250,-0.14,-0.07,0.77,1.001,-0.013,0.016,
39722270,-0.63,-0.42,1.4,1,-0.022,0.015,
39722290,-0.21,-0.49,-0.14,1,-0.015,0.015,
39722310,-0.21,-0.84,-0.21,0.998,-0.014,0.016,
39722330,-0.35,-0.91,0.14,1.001,-0.014,0.014,
39722340,-0.49,-0.14,0.91,1.003,-0.015,0.015,
39722360,-0.28,0.14,0.28,1.001,-0.02,0.015,
39722380,-0.07,-0.28,-0.56,1,-0.016,0.016,
39722400,0,-0.91,-0.56,1.001,-0.016,0.016,
39722420,0.14,-1.33,-0.21,1.002,-0.016,0.014,
39722440,0.42,-1.26,0,1,-0.016,0.015,
39722460,0.35,-1.75,-0.07,1,-0.017,0.015,
39722480,0.28,-1.89,-0.28,0.999,-0.017,0.014,
39722500,0.42,-1.54,-0.49,1.002,-0.016,0.014,
39722520,0.49,-0.84,-0.91,1,-0.019,0.013,
39722540,0.56,-0.63,-1.26,1.003,-0.012,0.016,
39722560,0.14,-1.19,-0.63,1,-0.016,0.015,
39722570,0.14,-1.33,-0.63,1.001,-0.018,0.013,
39722590,0.28,-0.7,-0.91,1.001,-0.013,0.015,
39722610,0.21,-0.91,-0.7,1.002,-0.015,0.014,
39722630,0.14,-0.91,-0.35,1.002,-0.013,0.014,
39722650,0.14,-0.7,-0.07,1.001,-0.015,0.014,
39722670,0.07,-0.49,-0.14,1,-0.016,0.015,
39722690,-0.21,-1.26,-0.35,1,-0.015,0.015,
39722710,-0.42,-1.68,-0.42,1.002,-0.015,0.013,
39722730,-0.28,-1.4,-0.21,1.001,-0.015,0.013,
39722750,-0.21,-1.54,-0.14,1,-0.015,0.013,
39722770,-0.35,-1.96,0.28,1.002,-0.014,0.013,
39722780,-0.35,-1.96,0.28,1.002,-0.014,0.013,
39722800,-0.28,-1.61,1.12,1.002,-0.017,0.012,
39722820,-0.14,-1.12,0.49,1.002,-0.018,0.012,
39722840,0.07,-0.49,-0.14,1,-0.016,0.013,
39722860,0,-1.12,-0.28,1.002,-0.017,0.012,
39722880,0.07,-1.05,-0.14,1.001,-0.017,0.013,
39722900,0.14,-0.91,-0.21,1.001,-0.016,0.012,
39722920,0,-1.05,-0.35,1.001,-0.016,0.011,
39722940,0.14,-0.77,-0.42,1.001,-0.016,0.012,
39722960,0.14,-0.49,-0.42,1.001,-0.016,0.012,
39722980,0.07,0,-0.63,1,-0.016,0.012,
39723000,0,-0.28,-0.56,1.001,-0.016,0.012,
39723010,0.14,-0.28,-0.42,1,-0.016,0.013,
39723030,0.21,-0.35,-0.49,1.001,-0.016,0.013,
39723050,0,-0.49,-0.63,1.001,-0.016,0.014,
39723070,-0.14,-0.63,-0.42,1.002,-0.015,0.012,
39723090,0.07,-0.56,0.07,1.002,-0.016,0.013,
39723110,0.14,-0.63,0.14,1,-0.016,0.014,
39723130,0,-1.05,-0.14,1,-0.016,0.014,
39723150,-0.07,-1.33,-0.21,1.001,-0.016,0.013,
39723170,0.07,-1.54,0,1.002,-0.016,0.012,
39723190,0.14,-0.91,0.07,1.001,-0.016,0.012,
39723210,0.21,0,-0.21,1.001,-0.016,0.012,
39723230,0.14,0.56,-0.49,1,-0.016,0.014,
39723250,-0.14,0.56,-0.77,1.001,-0.016,0.014,
39723260,-0.07,0.84,-0.7,1.001,-0.016,0.014,
39723280,0.07,0.77,-0.63,1.001,-0.016,0.015,
39723300,0,0,-0.56,1,-0.016,0.015,
39723320,0,-0.35,-0.56,1.002,-0.015,0.016,
39723340,0,-0.49,-0.35,1.001,-0.016,0.015,
39723360,0.14,-0.98,-0.14,1.001,-0.016,0.015,
39723380,0.21,-1.33,0,1.001,-0.015,0.015,
39723400,0.28,-1.54,0.07,1.001,-0.016,0.015,
39723420,0.28,-1.82,-0.07,1,-0.016,0.015,
39723440,0.14,-1.75,-0.28,1.001,-0.016,0.014,
39723460,0.21,-1.4,-0.35,1.001,-0.016,0.014,
39723480,0,-1.33,-0.49,1,-0.016,0.014,
39723500,0,-1.33,-0.49,1.003,-0.015,0.012,
39723510,0.21,-0.77,-0.28,1,-0.016,0.014,
39723530,0.21,-0.77,-0.28,1,-0.016,0.014,
39723550,0.14,-1.05,-0.14,1.001,-0.016,0.013,
39723570,0.21,-0.91,-0.07,1.001,-0.016,0.014,
39723590,0,-0.98,-0.35,1,-0.017,0.013,
39723610,0.14,-1.05,-0.63,1.002,-0.015,0.012,
39723630,0.21,-0.49,-0.42,1.002,-0.016,0.012,
39723650,0.07,-0.21,-0.28,1,-0.015,0.014,
39723670,-0.14,-0.77,-0.35,1,-0.016,0.014,
39723690,0.07,-0.98,-0.28,1.001,-0.016,0.014,
39723710,0,-1.54,-0.21,1.001,-0.016,0.013,
39723730,-0.07,-1.54,-0.21,1,-0.015,0.013,
39723750,-0.07,-1.4,-0.14,1.001,-0.016,0.013,
39723760,0,-1.75,-0.07,0.999,-0.017,0.012,
39723780,0.21,-1.75,0.14,1.002,-0.017,0.012,
39723800,0.21,-1.82,0,1.001,-0.016,0.011,
39723820,0.28,-1.54,0,1.001,-0.016,0.012,
39723840,0.14,-1.19,-0.28,1,-0.017,0.011,
39723860,0.07,-0.91,-0.56,1.002,-0.016,0.011,
39723880,0,-0.98,-0.49,1.001,-0.016,0.01,
39723900,0.21,-0.77,-0.49,1.002,-0.015,0.01,
39723920,0.35,-0.49,-0.28,1,-0.015,0.012,
39723940,0.07,-1.33,-0.07,1.001,-0.016,0.01,
39723960,0.07,-1.19,-0.14,1,-0.017,0.011,
39723980,0.07,-0.77,-0.35,1.002,-0.016,0.011,
39724000,-0.07,-0.84,-0.28,1,-0.017,0.011,
39724010,0.07,-0.91,-0.21,1.002,-0.016,0.009,
39724030,0.35,-0.21,-0.28,1.001,-0.016,0.011,
39724050,0.21,-0.07,-0.35,1,-0.016,0.011,
39724070,0.07,-0.56,-0.28,1.003,-0.016,0.01,
39724090,0.35,-0.49,0,1.001,-0.017,0.012,
39724110,0.28,-0.84,-0.07,0.999,-0.017,0.012,
39724130,0.14,-0.91,-0.28,1.001,-0.017,0.011,
39724150,0.21,-0.77,-0.35,1.001,-0.017,0.011,
39724170,0.28,-0.56,-0.35,1.001,-0.017,0.011,
39724190,0.21,-0.56,-0.77,1.002,-0.017,0.012,
39724210,0.07,-0.14,-1.05,0.999,-0.016,0.012,
39724230,-0.14,0.07,-1.12,1.001,-0.014,0.011,
39724250,-0.07,0.49,-0.84,1,-0.015,0.012,
39724260,0.07,0.49,-0.56,1.002,-0.015,0.013,
39724280,0.07,0.49,-0.56,1.002,-0.015,0.013,
39724300,0.07,0.28,-0.42,1,-0.016,0.013,
39724320,0.07,-0.21,-0.35,1.002,-0.016,0.013,
39724340,0,-0.49,-0.28,1,-0.016,0.013,
39724360,-0.07,-1.12,-0.35,1,-0.016,0.013,
39724380,0.07,-1.54,-0.28,1.001,-0.016,0.012,
39724400,0.35,-1.47,-0.21,1.002,-0.016,0.012,
39724420,0.49,-1.05,-0.56,1.002,-0.016,0.012,
39724440,0.35,-0.84,-0.63,0.999,-0.014,0.014,
39724460,-0.07,-1.33,-0.35,1,-0.016,0.012,
39724480,0.14,-1.47,-0.35,1.002,-0.016,0.011,
39724500,0.35,-1.12,-0.63,1.001,-0.017,0.012,
39724510,0.28,-0.98,-0.91,0.999,-0.015,0.013,
39724530,0.07,-1.05,-0.77,1,-0.014,0.012,
39724550,0.07,-0.84,-0.49,1.002,-0.015,0.011,
39724570,0.07,-0.35,-0.28,1.001,-0.015,0.012,
39724590,0,-0.91,-0.35,1.001,-0.015,0.012,
39724610,0.07,-1.33,-0.21,1.001,-0.015,0.012,
39724630,0.14,-1.33,-0.14,1.001,-0.015,0.011,
39724650,0.14,-0.77,-0.21,1.001,-0.015,0.012,
39724670,0.07,-0.35,-0.28,1.002,-0.015,0.011,
39724690,0.07,-0.21,-0.42,1.004,-0.015,0.011,
39724710,0.21,0.28,-0.63,1.001,-0.015,0.011,
39724730,0.49,0.7,-0.35,1,-0.015,0.012,
39724750,0.49,0.84,-0.28,1.001,-0.016,0.014,
39724760,0.14,0.7,-0.84,0.998,-0.014,0.014,
39724780,-0.14,0.14,-0.77,0.998,-0.015,0.013,
39724800,0.21,0.28,-0.7,1.002,-0.015,0.013,
39724820,0.35,0.77,-0.56,1.001,-0.014,0.016,
39724840,0,0.77,-0.7,0.999,-0.014,0.015,
39724860,-0.07,0.91,-0.7,1.002,-0.014,0.015,
39724880,0,1.05,-0.63,1,-0.014,0.017,
39724900,0.07,0.7,-0.56,1,-0.014,0.018,
39724920,-0.07,0.14,-0.49,1.001,-0.013,0.017,
39724940,0,0.21,-0.14,1.001,-0.012,0.018,
39724960,0.07,-0.56,0.28,1.001,-0.014,0.017,
39724980,0.21,-0.77,0.35,1.001,-0.014,0.018,
39725000,0.14,-0.63,-0.07,1,-0.014,0.018,
39725010,0.14,-0.63,-0.07,1,-0.014,0.018,
39725030,0.07,-0.77,-0.42,1,-0.014,0.019,
39725050,0.07,-1.89,-0.21,0.999,-0.015,0.02,
39725070,-0.14,-3.43,-0.21,1,-0.015,0.017,
39725090,0,-3.36,-0.35,1,-0.016,0.015,
39725110,0.14,-2.87,-0.63,1,-0.015,0.015,
39725130,0.14,-2.94,-0.56,1.001,-0.013,0.013,
39725150,-0.07,-2.52,0.07,1.004,-0.012,0.015,
39725170,-0.21,-2.24,0.42,1,-0.014,0.012,
39725190,0,-1.4,0.63,1.001,-0.013,0.014,
39725210,-0.07,-1.19,0.77,1.002,-0.015,0.012,
39725230,-0.07,-1.4,0.56,1,-0.017,0.013,
39725250,0,-1.75,0.35,1.001,-0.015,0.013,
39725260,-0.07,-1.68,0.14,1,-0.016,0.013,
39725280,-0.14,-2.1,-0.14,1,-0.016,0.012,
39725300,-0.21,-2.59,-0.35,1.004,-0.015,0.01,
39725320,0.21,-1.89,0.21,1.003,-0.016,0.01,
39725340,0.28,-1.33,0.35,0.999,-0.016,0.011,
39725360,0.14,-1.4,0.42,1.001,-0.016,0.011,
39725380,0.14,-1.54,0.49,1.001,-0.016,0.01,
39725400,0.28,-1.47,0.42,1.002,-0.017,0.01,
39725420,0.21,-1.05,0.21,1.001,-0.017,0.011,
39725440,0.14,-0.77,-0.07,1.003,-0.017,0.009,
39725460,0.21,-0.14,-0.14,1,-0.018,0.011,
39725480,0.14,-0.28,-0.14,1.002,-0.017,0.01,
39725490,0.07,-0.42,-0.07,1.001,-0.017,0.01,
39725510,0.14,-0.28,-0.14,1.001,-0.017,0.011,
39725530,0.21,0.21,-0.28,1,-0.018,0.011,
39725550,-0.07,-0.14,-0.35,1.002,-0.018,0.011,
39725570,0,0,-0.49,1.001,-0.017,0.01,
39725590,0.07,0.28,-0.42,1.003,-0.016,0.012,
39725610,0.14,0.56,-0.35,1.001,-0.018,0.012,
39725630,0.14,0.28,-0.42,1.001,-0.018,0.012,
39725650,0.21,0,-0.28,1,-0.018,0.013,
39725670,0.14,-0.21,-0.21,0.999,-0.018,0.014,
39725690,0,-0.56,-0.28,1,-0.018,0.012,
39725710,0.07,-0.7,-0.42,1.001,-0.017,0.014,
39725720,0,-0.84,-0.42,1,-0.018,0.013,
39725740,-0.14,-0.98,-0.56,1.001,-0.017,0.013,
39725760,-0.14,-0.98,-0.56,1.001,-0.017,0.013,
39725780,-0.07,-0.91,-0.21,1.002,-0.017,0.013,
39725800,0.07,-1.19,0.07,1,-0.017,0.013,
39725820,0.07,-1.61,-0.07,1,-0.018,0.013,
39725840,0,-1.89,-0.21,1,-0.017,0.012,
39725860,0,-1.82,-0.14,1.003,-0.017,0.011,
39725880,0.14,-1.26,0,1.001,-0.018,0.012,
39725900,0.14,-1.12,0,1,-0.018,0.013,
39725920,0.07,-1.26,-0.07,1.001,-0.019,0.011,
39725930,0.14,-0.84,-0.14,1.001,-0.018,0.011,
39725950,0.21,-0.35,-0.14,1.001,-0.019,0.012,
39725970,0.21,-0.49,0,1.001,-0.019,0.012,
39725990,0.07,-1.26,0.07,1,-0.018,0.012,
39726010,0,-1.68,-0.07,1.001,-0.018,0.01,
39726030,0.07,-1.4,-0.14,1.001,-0.018,0.011,
39726050,0,-1.05,-0.42,1.001,-0.018,0.01,
39726070,0.07,-0.42,-0.42,1.002,-0.018,0.011,
39726090,0.14,0,-0.28,0.999,-0.019,0.012,
39726110,0,-0.42,-0.35,1.001,-0.019,0.012,
39726130,0,-0.14,-0.42,1.001,-0.018,0.011,
39726150,0.07,0.28,-0.49,1.001,-0.019,0.012,
39726160,0,0.21,-0.56,1.001,-0.018,0.012,
39726180,0.07,0.21,-0.35,1.001,-0.018,0.012,
39726200,0,-0.21,-0.21,1,-0.019,0.012,
39726220,0.07,-0.56,-0.14,1.002,-0.018,0.012,
39726240,0.21,-0.63,0,1.001,-0.019,0.013,
39726260,0.42,-1.12,0.14,1.001,-0.019,0.013,
39726280,0.28,-1.82,0.28,1.001,-0.018,0.013,
39726300,0.21,-1.68,0.21,1,-0.019,0.012,
39726320,-0.07,-1.54,-0.14,1,-0.019,0.013,
39726340,-0.14,-1.4,-0.42,1.001,-0.019,0.012,
39726360,0,-1.54,-0.42,1.001,-0.019,0.012,
39726380,0,-1.61,-0.42,1.002,-0.019,0.011,
39726390,0.14,-1.26,-0.35,1.001,-0.019,0.011,
39726410,0.14,-1.12,-0.21,1,-0.019,0.012,
39726430,-0.07,-1.61,-0.21,1.001,-0.019,0.011,
39726450,-0.07,-1.4,-0.21,1,-0.019,0.01,
39726470,0.14,-0.49,-0.21,1.002,-0.019,0.01,
39726490,0.14,0.21,-0.28,1.001,-0.019,0.011,
39726510,0.14,0.21,-0.28,1.001,-0.019,0.011,
39726530,0.21,0.35,-0.21,0.999,-0.02,0.012,
39726550,0.07,-0.35,-0.28,1.001,-0.02,0.011,
39726570,0.21,-0.35,-0.35,1.002,-0.018,0.011,
39726590,0.28,-0.07,-0.35,1.001,-0.019,0.014,
39726610,0.07,-0.14,-0.42,1.001,-0.019,0.012,
39726620,0,-0.42,-0.28,1,-0.019,0.012,
39726640,-0.07,-0.98,-0.21,1.001,-0.018,0.012,
39726660,-0.07,-0.84,-0.35,1.001,-0.019,0.011,
39726680,0.07,-0.42,-0.42,1.001,-0.019,0.012,
39726700,0.07,-0.63,-0.28,1.001,-0.018,0.012,
39726720,0.07,-0.91,-0.28,1,-0.019,0.013,
39726740,0,-1.05,-0.49,1.001,-0.019,0.012,
39726760,-0.07,-0.98,-0.42,1.001,-0.019,0.012,
39726780,0,-0.84,-0.28,1.001,-0.019,0.012,
39726800,0.07,-1.12,-0.35,1.001,-0.019,0.013,
39726820,0,-1.68,-0.28,1.001,-0.019,0.013,
39726830,-0.07,-1.68,-0.42,1.002,-0.018,0.011,
39726850,0.07,-0.98,-0.28,1.002,-0.018,0.011,
39726870,0.14,-0.49,-0.35,1,-0.019,0.012,
39726890,-0.14,-0.77,-0.49,1.001,-0.018,0.011,
39726910,-0.07,-0.77,-0.21,1.001,-0.019,0.012,
39726930,0.07,-1.61,0.14,1,-0.019,0.011,
39726950,0.21,-2.17,0.35,1.001,-0.02,0.01,
39726970,0.28,-2.17,0.07,1.001,-0.02,0.011,
39726990,0,-2.24,-0.35,0.999,-0.02,0.01,
39727010,-0.21,-1.89,-0.7,0.999,-0.02,0.009,
39727030,-0.07,-1.26,-0.7,1.003,-0.019,0.008,
39727050,0.07,-0.56,-0.21,1.002,-0.019,0.009,
39727070,0.07,-0.77,0,1.001,-0.019,0.009,
39727080,0.14,-1.33,0.07,0.999,-0.019,0.011,
39727100,0.14,-1.61,0.07,1.002,-0.018,0.008,
39727120,0.14,-0.7,0.07,1.003,-0.019,0.009,
39727140,0.07,-0.07,0,0.999,-0.02,0.01,
39727160,0.07,-0.56,-0.21,1.002,-0.02,0.01,
39727180,0.14,-1.33,-0.28,1.001,-0.019,0.01,
39727200,0,-1.4,-0.49,0.999,-0.02,0.01,
39727220,-0.14,-1.19,-0.56,1.003,-0.02,0.007,
39727240,0.07,-0.35,-0.35,1.002,-0.02,0.008,
39727260,0.07,-0.35,-0.35,1.002,-0.02,0.008,
39727280,0.21,0.14,-0.42,1.001,-0.019,0.01,
39727300,0,-0.14,-0.56,1.001,-0.019,0.011,
39727320,-0.21,-0.07,-0.63,1.005,-0.018,0.01,
39727330,-0.28,0.7,-0.35,1,-0.02,0.01,
39727350,-0.07,0.98,-0.56,1,-0.02,0.011,
39727370,-0.07,0.63,-0.7,1.002,-0.019,0.011,
39727390,-0.14,0.7,-0.77,1,-0.02,0.011,
39727410,0,0.84,-0.91,0.999,-0.019,0.014,
39727430,-0.35,0.14,-0.7,1,-0.02,0.012,
39727450,-0.14,-0.21,-0.49,1.002,-0.019,0.012,
39727470,0.28,-0.42,-0.28,1.001,-0.019,0.014,
39727490,0.28,-0.77,-0.42,1,-0.02,0.014,
39727510,0.14,-0.77,-0.63,1,-0.018,0.013,
39727530,0.07,-0.84,-0.42,1.001,-0.018,0.013,
39727550,0.07,-1.12,-0.28,1,-0.019,0.013,
39727570,-0.07,-1.68,-0.35,1.002,-0.019,0.012,
39727580,0.14,-1.33,-0.28,1.001,-0.018,0.012,
39727600,0.21,-1.12,-0.07,1,-0.019,0.012,
39727620,0.21,-1.19,0,1,-0.018,0.014,
39727640,0,-2.17,0.07,1.001,-0.019,0.011,
39727660,0.07,-2.17,0,1.001,-0.019,0.011,
39727680,-0.07,-1.96,-0.35,1.001,-0.019,0.011,
39727700,-0.21,-1.75,-0.42,1.002,-0.018,0.011,
39727720,0,-1.26,-0.21,1.002,-0.019,0.009,
39727740,0.21,-0.91,-0.07,1,-0.02,0.01,
39727760,0.28,-1.54,-0.07,1.001,-0.019,0.01,
39727780,0.35,-1.61,-0.07,1.002,-0.019,0.009,
39727800,0.35,-0.91,-0.07,0.999,-0.02,0.011,
39727820,0,-1.19,-0.42,0.999,-0.02,0.01,
39727830,0.07,-1.26,-0.42,1.002,-0.018,0.009,
39727850,0.21,-0.63,-0.35,1.003,-0.019,0.009,
39727870,0.28,0.07,-0.28,1.002,-0.019,0.01,
39727890,0.14,0.28,-0.21,1.001,-0.019,0.011,
39727910,0.07,-0.21,-0.21,1.001,-0.019,0.01,
39727930,0,-0.49,-0.21,1,-0.019,0.011,
39727950,0,-0.49,-0.42,1.002,-0.019,0.011,
39727970,0,-0.28,-0.56,0.999,-0.02,0.011,
39727990,0,-0.28,-0.56,0.999,-0.02,0.011,
39728010,0,-0.35,-0.77,1,-0.019,0.011,
39728030,-0.07,-0.63,-0.7,1,-0.019,0.011,
39728050,0,-0.84,-0.63,1,-0.019,0.011,
39728070,0.14,-0.56,-0.56,1.002,-0.02,0.011,
39728080,0.28,0,-0.7,1.002,-0.019,0.011,
39728100,0.07,0.21,-0.98,0.999,-0.018,0.012,
39728120,-0.14,0,-0.84,1.001,-0.018,0.012,
39728140,-0.14,0,-0.63,0.999,-0.019,0.012,
39728160,-0.07,-0.49,-0.49,1.001,-0.018,0.012,
39728180,0.14,-0.84,-0.28,1,-0.019,0.013,
39728200,0.21,-1.26,-0.21,1.001,-0.018,0.012,
39728220,0.21,-1.54,-0.14,1.002,-0.018,0.012,
39728240,0.28,-1.54,-0.28,1.001,-0.018,0.011,
39728260,0.21,-1.4,-0.56,0.999,-0.018,0.012,
39728280,-0.07,-1.54,-0.7,1,-0.017,0.011,
39728300,-0.07,-1.61,-0.63,1.002,-0.018,0.011,
39728320,0.14,-1.61,-0.42,1.001,-0.019,0.01,
39728330,0.14,-2.03,-0.56,1,-0.019,0.011,
39728350,0.07,-2.1,-0.98,1.001,-0.018,0.01,
39728370,0,-1.68,-0.84,1.001,-0.013,0.01,
39728390,0,-1.54,-0.21,1.001,-0.017,0.009,
39728410,0.07,-1.47,-0.21,1.002,-0.018,0.009,
39728430,0.14,-1.75,0,1.001,-0.017,0.009,
39728450,0.14,-1.54,-0.21,1.002,-0.018,0.008,
39728470,0.07,-1.4,-0.35,1.001,-0.017,0.008,
39728490,0,-0.98,-0.42,1.001,-0.017,0.008,
39728510,0,-0.7,-0.42,1.001,-0.017,0.008,
39728530,0.07,-0.56,-0.49,1.001,-0.017,0.007,
39728550,0.14,-0.56,-0.56,1.001,-0.017,0.009,
39728570,0.07,-0.98,-0.56,1.001,-0.018,0.008,
39728580,0.07,-0.84,-0.49,1.002,-0.016,0.008,
39728600,0,-0.77,-0.28,1.001,-0.017,0.008,
39728620,0.07,-0.7,-0.28,1.001,-0.017,0.008,
39728640,0.21,-0.7,-0.28,1.001,-0.017,0.008,
39728660,0.21,-0.7,-0.28,1.001,-0.017,0.009,
39728680,0.14,-1.05,-0.28,1.001,-0.017,0.009,
39728700,-0.14,-1.54,-0.35,0.999,-0.017,0.009,
39728720,-0.21,-1.96,-0.42,1.002,-0.017,0.006,
39728740,-0.21,-1.96,-0.42,1.002,-0.017,0.006,
39728760,0.07,-1.54,-0.35,1.001,-0.016,0.007,
39728780,0.07,-1.61,-0.42,1.001,-0.017,0.007,
39728800,0,-1.61,-0.28,1.001,-0.017,0.007,
39728820,0.07,-1.61,-0.07,1,-0.017,0.007,
39728830,0,-1.89,-0.14,1.002,-0.017,0.005,
39728850,0.07,-1.47,-0.28,1.001,-0.017,0.006,
39728870,0.07,-0.91,-0.42,1.001,-0.017,0.006,
39728890,0.07,-0.42,-0.42,1.002,-0.017,0.005,
39728910,0.21,-0.14,-0.21,1.001,-0.017,0.006,
