#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40097220,-53.69,-2.73,-3.22,0.999,-0.06,0.003
40097240,-49.7,-2.31,-1.68,0.999,-0.054,-0.008
40097260,-54.95,0.56,0.84,0.999,-0.068,-0.006
40097280,-54.88,1.89,0.98,1,-0.069,0.008
40097300,-52.08,-0.07,0.49,1,-0.066,0.009
40097320,-53.97,-1.61,0.91,0.998,-0.066,-0.005
40097330,-60.48,-0.28,1.68,0.999,-0.054,-0.004
40097350,-63.42,0.49,4.27,0.999,-0.069,-0.009
40097370,-70.42,1.96,4.83,0.998,-0.08,0
40097390,-75.67,1.54,3.01,1,-0.073,0
40097410,-75.53,0.56,2.31,1,-0.076,0
40097430,-74.9,-0.28,1.47,1.001,-0.066,-0.02
40097450,-77.63,2.38,2.8,0.997,-0.074,-0.011
40097470,-80.43,3.15,2.73,1.001,-0.073,-0.002
40097490,-81.13,2.66,3.15,0.997,-0.067,-0.017
40097510,-79.17,4.27,4.2,0.998,-0.085,-0.004
40097530,-74.06,3.22,2.52,0.999,-0.071,0.001
40097550,-66.64,1.05,2.8,0.999,-0.074,-0.013
40097570,-70,2.17,3.71,0.998,-0.076,-0.013
40097580,-68.95,2.38,3.5,0.995,-0.086,0.006
40097600,-58.03,-1.96,0.63,0.999,-0.094,-0.001
40097620,-48.65,-4.62,-2.45,1,-0.071,-0.019
40097640,-51.38,-2.94,-1.12,1,-0.069,-0.029
40097660,-56.56,0,0.49,0.998,-0.069,-0.028
40097680,-57.96,1.89,1.82,0.998,-0.085,-0.008
40097700,-53.97,-0.42,-0.28,0.998,-0.089,-0.012
40097720,-53.97,-0.42,-0.28,0.998,-0.089,-0.012
40097740,-51.17,-1.82,-3.08,1.001,-0.067,-0.031
40097760,-52.71,0.14,-1.4,0.999,-0.062,-0.024
40097780,-54.74,1.33,0.77,0.997,-0.084,-0.016
40097800,-48.02,-0.56,-2.03,0.998,-0.084,-0.006
40097820,-43.82,-3.43,-4.48,0.998,-0.076,-0.031
40097830,-34.51,-2.03,-6.02,0.998,-0.074,-0.021
