#Format version: 1.0
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],
39753980,0.14,-1.19,-0.42,1.002,-0.001,-0.006,
39754000,0.14,-1.19,-0.42,1.002,-0.001,-0.006,
39754020,0.28,-0.91,-0.21,1,-0.002,-0.006,
39754040,0.35,-1.05,-0.07,1.001,-0.002,-0.005,
39754060,0.21,-1.12,0.07,1.001,-0.002,-0.007,
39754080,0.14,-0.84,0.07,1.002,-0.002,-0.008,
39754100,0.21,-0.28,0.07,1,-0.001,-0.005,
39754120,0.14,-0.42,0.07,1.001,-0.003,-0.006,
39754140,0.14,-0.56,-0.07,1.001,-0.002,-0.005,
39754160,-0.28,-1.26,-0.07,1,-0.002,-0.005,
39754170,-0.49,-1.47,0.07,1.002,-0.001,-0.006,
39754190,-0.49,-0.77,0.42,1.001,-0.002,-0.006,
39754210,-0.49,-0.7,0.56,1.001,-0.002,-0.006,
39754230,-0.56,-0.84,0.98,1.002,0,-0.003,
39754250,-0.35,-1.19,1.75,1.003,-0.006,-0.011,
39754270,0.56,-0.21,1.54,0.999,-0.003,-0.007,
39754290,0.56,-0.14,1.54,0.999,-0.008,-0.004,
39754310,0.28,0.21,0.77,1.002,-0.006,-0.006,
39754330,0.35,0.63,0.35,1.003,-0.006,-0.006,
39754350,0.42,0.56,0.35,1,-0.006,-0.004,
39754370,0.42,0,0.49,1,-0.006,-0.004,
39754390,0.63,-0.07,0.49,1.001,-0.006,-0.006,
39754410,0.63,0.14,0.28,1.002,-0.006,-0.004,
39754420,0.28,0.84,0.14,1.001,-0.005,-0.002,
39754440,-0.49,0.56,0.35,0.999,-0.006,0,
39754460,-1.12,-0.7,0.7,1.003,-0.005,0,
39754480,-1.82,-1.33,1.68,1.002,-0.005,0,
39754500,-2.73,-2.73,4.13,0.989,-0.002,-0.003,
39754520,-0.98,-3.64,10.71,1.008,-0.001,0.008,
39754540,-1.19,-4.62,9.59,0.997,-0.019,-0.027,
39754560,0.7,-3.36,7.35,1,-0.035,-0.009,
39754580,0.56,-3.08,4.55,1.001,-0.026,-0.01,
39754600,1.05,-1.61,2.52,1.006,-0.025,-0.008,
39754620,0.91,-0.63,0.28,1.001,-0.022,-0.008,
39754640,0.77,0.14,-0.56,1.003,-0.021,-0.007,
39754660,0.77,1.12,-0.7,1.002,-0.021,-0.008,
39754670,0.84,1.33,-0.56,1,-0.021,-0.004,
39754690,0.56,0.63,-0.49,0.999,-0.021,-0.005,
39754710,0.35,-0.21,-0.49,1.001,-0.021,-0.005,
39754730,0.42,-0.56,-0.35,1.001,-0.021,-0.006,
39754750,0.42,-0.56,-0.35,1.001,-0.021,-0.006,
39754770,0.56,-0.63,-0.28,1.002,-0.022,-0.006,
39754790,0.49,-0.7,-0.21,1,-0.021,-0.004,
39754810,0.07,-1.33,-0.07,1,-0.021,-0.003,
39754830,-0.35,-2.03,0,1.001,-0.023,-0.007,
39754850,0,-2.03,0,1,-0.023,-0.006,
39754870,0.21,-2.38,-0.28,1.001,-0.023,-0.007,
39754890,0.49,-2.24,-0.7,1.001,-0.021,-0.008,
39754910,0.63,-2.17,-0.84,1.002,-0.022,-0.008,
39754920,0.35,-2.03,-0.77,1.002,-0.019,-0.007,
39754940,-0.14,-2.03,-0.28,1.001,-0.019,-0.006,
39754960,-0.7,-2.31,0.14,1.001,-0.023,-0.013,
39754980,0.21,-1.75,0.21,1.003,-0.021,-0.011,
39755000,0.49,-0.84,0,1.003,-0.02,-0.01,
39755020,0.42,-0.28,-0.07,1.001,-0.021,-0.01,
39755040,0.49,0.14,-0.28,1.001,-0.021,-0.008,
39755060,0.21,-0.14,-0.42,1,-0.021,-0.007,
39755080,0,-0.56,-0.63,1.002,-0.021,-0.009,
39755100,0.21,-0.21,-0.7,1.003,-0.021,-0.01,
39755120,0.35,0.42,-0.56,1,-0.021,-0.007,
39755140,0,-0.56,-0.35,1,-0.021,-0.007,
39755160,-0.21,-1.33,-0.14,1.001,-0.022,-0.008,
39755170,-0.07,-1.26,-0.21,1.001,-0.021,-0.009,
39755190,-0.07,-0.42,-0.35,1.001,-0.021,-0.007,
39755210,-0.21,-0.56,-0.42,1,-0.021,-0.008,
39755230,-0.21,-1.05,-0.28,1,-0.022,-0.008,
39755250,0,-1.68,-0.21,1.002,-0.022,-0.009,
39755270,0,-1.33,-0.35,1.001,-0.021,-0.008,
39755290,0,-0.77,-0.49,1.002,-0.021,-0.01,
39755310,0.21,-0.42,-0.49,1.001,-0.021,-0.008,
39755330,0.14,-0.56,-0.28,1.001,-0.021,-0.008,
39755350,0.14,-0.63,-0.28,1.001,-0.021,-0.008,
39755370,0.14,-0.42,-0.56,1.001,-0.02,-0.008,
39755390,0.07,-0.28,-0.56,1,-0.021,-0.007,
39755410,-0.07,-0.7,-0.35,1.003,-0.021,-0.009,
39755420,0.21,-0.42,-0.07,1,-0.021,-0.008,
39755440,0.28,-0.7,-0.07,1,-0.021,-0.007,
39755460,0.14,-1.05,-0.35,1.001,-0.021,-0.008,
39755480,0.35,-0.56,-0.49,1.002,-0.021,-0.008,
39755500,0.35,-0.56,-0.49,1.002,-0.021,-0.008,
39755520,0.7,0,-0.49,1.002,-0.021,-0.008,
39755540,0.77,0.42,-0.63,1.002,-0.021,-0.006,
39755560,0.56,0.56,-0.84,0.999,-0.019,-0.005,
39755580,0.42,0.14,-0.7,1.001,-0.02,-0.005,
39755600,0.07,-0.21,-0.63,1,-0.02,-0.005,
39755620,0,-0.21,-0.77,1.001,-0.02,-0.006,
39755630,0.14,0.21,-0.56,1.001,-0.021,-0.006,
39755650,0.21,0,-0.42,1.001,-0.02,-0.005,
39755670,0.14,-0.49,-0.42,1.001,-0.021,-0.005,
39755690,0.21,-0.77,-0.42,1.001,-0.02,-0.006,
39755710,0.35,-0.91,-0.42,1.001,-0.02,-0.005,
39755730,0.28,-0.91,-0.28,1.001,-0.02,-0.005,
39755750,0.21,-0.91,-0.42,1,-0.02,-0.005,
39755770,0.28,-0.63,-0.63,1.001,-0.02,-0.005,
39755790,0.07,-0.56,-0.56,1,-0.02,-0.005,
39755810,0.14,-0.84,-0.56,1.003,-0.02,-0.006,
39755830,0.28,-0.77,-0.42,1.001,-0.02,-0.006,
39755850,0.42,-0.84,-0.49,1,-0.021,-0.006,
39755860,0.49,-0.98,-0.84,1.001,-0.02,-0.006,
39755880,0.63,-0.21,-0.98,1.001,-0.018,-0.005,
39755900,0.49,0,-0.7,1.001,-0.018,-0.004,
39755920,0.35,-0.14,-0.63,1.002,-0.019,-0.005,
39755940,0.42,0,-0.63,1,-0.019,-0.005,
39755960,0.28,0.21,-1.05,1.001,-0.018,-0.002,
39755980,-0.07,-0.35,-1.33,1.002,-0.019,-0.003,
39756000,0.14,-0.84,-1.47,1.001,-0.018,-0.004,
39756020,0.14,-0.91,-1.47,1,-0.017,-0.004,
39756040,0.21,-0.49,-1.26,1.001,-0.018,-0.006,
39756060,0.63,-0.21,-1.33,1.003,-0.017,-0.005,
39756080,0.98,0.28,-1.54,1.002,-0.022,-0.002,
39756090,-0.14,-1.12,-4.9,1.001,-0.011,-0.004,
39756110,-0.07,-0.7,-3.64,0.999,-0.022,-0.001,
