#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40132010,-41.16,2.17,-2.31,1.001,-0.043,-0.028
40132020,-38.15,0.7,-1.47,1.001,-0.039,-0.035
40132040,-36.89,0.91,-0.49,1.001,-0.035,-0.047
40132060,-43.33,3.22,1.33,0.999,-0.045,-0.034
40132080,-44.1,3.22,0.77,1.002,-0.042,-0.037
40132100,-46.97,3.29,1.26,1,-0.038,-0.027
40132120,-44.8,2.45,1.89,1,-0.044,-0.035
40132140,-42.14,3.22,1.4,0.999,-0.041,-0.035
40132160,-42.91,3.5,1.61,1,-0.04,-0.013
40132180,-41.3,0,1.82,1,-0.041,-0.032
40132200,-45.71,-0.07,2.8,1.001,-0.034,-0.027
40132220,-45.71,-0.84,4.06,0.999,-0.051,-0.027
40132240,-41.79,-1.68,3.57,1,-0.041,-0.026
40132250,-35.21,-2.38,3.71,0.998,-0.044,-0.037
